concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Muros;Poligonal Cabazo;27847;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27920;ES1110012.0067;1.0;V;4030;4030;;Queirogais secos europeos;8700.33680321
Muros;Poligonal Cabazo;27848;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27921;ES1110012.0067;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;8700.33680321
Muros;Poligonal Cabazo;27849;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27919;ES1110012.0067;5.0;V;4030;4030;;Queirogais secos europeos;8700.33680321
Muros;Poligonal Cabazo;27850;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27918;ES1110012.0067;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;8700.33680321
Muros;Poligonal Cabazo;27851;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27917;ES1110012.0067;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;8700.33680321
Muros;Poligonal Cabazo;27852;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27916;ES1110012.0067;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;8700.33680321
Muros;Poligonal Cabazo;27853;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27915;ES1110012.0067;5.0;P;4030;4030;;Queirogais secos europeos;8700.33680321
Muros;Poligonal Cabazo;27854;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27922;ES1110012.0067;1.0;S;8310;8310;;Covas non explotadas polo turismo;8700.33680321
Muros;Poligonal Cabazo;27866;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27934;ES1110012.0073;5.0;P;4030;4030;;Queirogais secos europeos;10616.6662526
Muros;Poligonal Cabazo;27867;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27935;ES1110012.0073;4.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;10616.6662526
Muros;Poligonal Cabazo;27868;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27936;ES1110012.0073;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;10616.6662526
Muros;Poligonal Cabazo;27869;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27937;ES1110012.0073;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;10616.6662526
Muros;Poligonal Cabazo;27870;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27938;ES1110012.0073;3.0;V;4030;4030;;Queirogais secos europeos;10616.6662526
Muros;Poligonal Cabazo;27871;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27939;ES1110012.0073;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;10616.6662526
Muros;Poligonal Cabazo;27872;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27940;ES1110012.0073;1.0;S;8310;8310;;Covas non explotadas polo turismo;10616.6662526
Muros;Poligonal Cabazo;27878;24627;ES1110012.0076;UA162;47.8178521583;UA100;5377.08246715;27950;ES1110012.0076;1.0;V;4030;4030;;Queirogais secos europeos;5377.08246715
