concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Muxía;Poligonal Berdoias;10048;11325;ES1110005.0051;UA111;673.354819388;UA100;36079.0868098;10117;ES1110005.0051;;A;1160;1160;;Grandes calas e baías pouco fondas;36079.0868098
Muxía;Poligonal Berdoias;10049;11325;ES1110005.0051;UA111;673.354819388;UA100;36079.0868098;10118;ES1110005.0051;;A;1110;1110;;Bancos de area cubertos permanentemente por auga mariña;36079.0868098
Muxía;Poligonal Berdoias;10050;11325;ES1110005.0051;UA111;673.354819388;UA100;36079.0868098;10119;ES1110005.0051;;A;1140;1140;;Chairas lamacentas ou areosas non cubertos pola auga na baixamar;36079.0868098
Muxía;Poligonal Berdoias;10051;11325;ES1110005.0051;UA111;673.354819388;UA100;36079.0868098;10120;ES1110005.0051;;A;1140;1140;;Chairas lamacentas ou areosas non cubertos pola auga na baixamar;36079.0868098
Muxía;Poligonal Berdoias;10052;11325;ES1110005.0051;UA111;673.354819388;UA100;36079.0868098;10116;ES1110005.0051;;A;1160;1160;;Grandes calas e baías pouco fondas;36079.0868098
Muxía;Poligonal Berdoias;10479;11436;ES1110005.0172;UA161;6.04788906249;UA100;4902.12302401;10549;ES1110005.0172;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;4902.12302401
Muxía;Poligonal Berdoias;10480;11436;ES1110005.0172;UA161;6.04788906249;UA100;4902.12302401;10547;ES1110005.0172;5.0;P;1230;1230;;Cantís con vexetación das costas atlánticas e bálticas;4902.12302401
Muxía;Poligonal Berdoias;10481;11436;ES1110005.0172;UA161;6.04788906249;UA100;4902.12302401;10548;ES1110005.0172;1.0;V;8330;8330;;Furnas mariñas;4902.12302401
Muxía;Poligonal Berdoias;15561;13986;ES1110005.2845;UA162;5.15074304436;UA100;1069.11615393;15629;ES1110005.2845;5.0;P;4030;4030;;Queirogais secos europeos;1069.11615393
Muxía;Poligonal Berdoias;15562;13986;ES1110005.2845;UA162;5.15074304436;UA100;1069.11615393;15630;ES1110005.2845;5.0;V;4030;4030;;Queirogais secos europeos;1069.11615393
Muxía;Poligonal Berdoias;15563;13986;ES1110005.2845;UA162;5.15074304436;UA100;1069.11615393;15631;ES1110005.2845;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1069.11615393
