concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Nogais, As;;40068;33386;Es1120001.0436;UA220;2.8449043723;UA200;28744.4094858;40136;Es1120001.0436;5.0;P;3260;3260;;Ríos dos pisos basal a montano;28744.4094858
Nogais, As;;40069;33386;Es1120001.0436;UA220;2.8449043723;UA200;28744.4094858;40137;Es1120001.0436;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;28744.4094858
Nogais, As;;40070;33386;Es1120001.0436;UA220;2.8449043723;UA200;28744.4094858;40138;Es1120001.0436;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;28744.4094858
Nogais, As;;43563;34292;Es1120001.1368;UA310;83.1684823807;UA300;12593.3522261;43635;Es1120001.1368;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;12593.3522261
Nogais, As;;43564;34292;Es1120001.1368;UA310;83.1684823807;UA300;12593.3522261;43637;Es1120001.1368;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;12593.3522261
Nogais, As;;43565;34292;Es1120001.1368;UA310;83.1684823807;UA300;12593.3522261;43638;Es1120001.1368;1.0;S;8310;8310;;Covas non explotadas polo turismo;12593.3522261
Nogais, As;;43566;34292;Es1120001.1368;UA310;83.1684823807;UA300;12593.3522261;43636;Es1120001.1368;1.0;S;3260;3260;;Ríos dos pisos basal a montano;12593.3522261
Nogais, As;;43567;34292;Es1120001.1368;UA310;83.1684823807;UA300;12593.3522261;43633;Es1120001.1368;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;12593.3522261
Nogais, As;;43568;34292;Es1120001.1368;UA310;83.1684823807;UA300;12593.3522261;43632;Es1120001.1368;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;12593.3522261
Nogais, As;;43569;34292;Es1120001.1368;UA310;83.1684823807;UA300;12593.3522261;43631;Es1120001.1368;5.0;P;4030;4030;;Queirogais secos europeos;12593.3522261
Nogais, As;;43570;34292;Es1120001.1368;UA310;83.1684823807;UA300;12593.3522261;43634;Es1120001.1368;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;12593.3522261
