concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Noia;Poligonal Cova da vella,Poligonal P.E HURACÁN;26729;23992;ES1110011.0379;UA631;102.219223018;UA600;7977.2399742;26797;ES1110011.0379;1.0;S;4030;4030;;Queirogais secos europeos;7977.2399742
Noia;Poligonal Cova da vella,Poligonal P.E HURACÁN;26731;23992;ES1110011.0379;UA631;102.219223018;UA600;7977.2399742;26799;ES1110011.0379;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7977.2399742
Noia;Poligonal Cova da vella,Poligonal P.E HURACÁN;26926;23230;ES1110011.0479;UA220;4.78061619353;UA200;23904.3838632;26995;ES1110011.0479;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;23904.3838632
Noia;Poligonal Cova da vella,Poligonal P.E HURACÁN;27075;23589;ES1110011.0551;UA631;51.5599329656;UA600;6654.33272642;27143;ES1110011.0551;1.0;S;4030;4030;;Queirogais secos europeos;6654.33272642
Noia;Poligonal Cova da vella,Poligonal P.E HURACÁN;27077;23589;ES1110011.0551;UA631;51.5599329656;UA600;6654.33272642;27145;ES1110011.0551;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;6654.33272642
Noia;Poligonal Cova da vella,Poligonal P.E HURACÁN;27694;23990;ES1110011.0813;UA220;0.953919781998;UA200;3192.77859746;27762;ES1110011.0813;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3192.77859746
Noia;Poligonal Cova da vella,Poligonal P.E HURACÁN;27718;23974;ES1110011.0838;UA220;1.03183085949;UA200;3450.48642255;27786;ES1110011.0838;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3450.48642255
Noia;Poligonal Cova da vella,Poligonal P.E HURACÁN;27720;23974;ES1110011.0838;UA220;1.03183085949;UA200;3450.48642255;27788;ES1110011.0838;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3450.48642255
Noia;Poligonal Cova da vella,Poligonal P.E HURACÁN;27722;23991;ES1110011.0839;UA631;23.7028758786;UA600;4257.26220757;27789;ES1110011.0839;1.0;S;4030;4030;;Queirogais secos europeos;4257.26220757
Noia;Poligonal P.E HURACÁN;26761;23981;ES1110011.0389;UA411;47.9781153106;UA400;6410.8109435;26833;ES1110011.0389;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6410.8109435
Noia;Poligonal P.E HURACÁN;26762;23981;ES1110011.0389;UA411;47.9781153106;UA400;6410.8109435;26829;ES1110011.0389;5.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;6410.8109435
Noia;Poligonal P.E HURACÁN;26763;23981;ES1110011.0389;UA411;47.9781153106;UA400;6410.8109435;26830;ES1110011.0389;1.0;V;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;6410.8109435
Noia;Poligonal P.E HURACÁN;26764;23981;ES1110011.0389;UA411;47.9781153106;UA400;6410.8109435;26831;ES1110011.0389;1.0;V;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;6410.8109435
Noia;Poligonal P.E HURACÁN;26765;23981;ES1110011.0389;UA411;47.9781153106;UA400;6410.8109435;26832;ES1110011.0389;1.0;S;3260;3260;;Ríos dos pisos basal a montano;6410.8109435
Noia;Poligonal P.E HURACÁN;26766;23972;ES1110011.0390;UA411;9.44057738705;UA400;3377.06239906;26837;ES1110011.0390;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3377.06239906
Noia;Poligonal P.E HURACÁN;26767;23972;ES1110011.0390;UA411;9.44057738705;UA400;3377.06239906;26836;ES1110011.0390;1.0;V;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;3377.06239906
Noia;Poligonal P.E HURACÁN;26768;23972;ES1110011.0390;UA411;9.44057738705;UA400;3377.06239906;26835;ES1110011.0390;1.0;V;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;3377.06239906
Noia;Poligonal P.E HURACÁN;26769;23972;ES1110011.0390;UA411;9.44057738705;UA400;3377.06239906;26834;ES1110011.0390;5.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;3377.06239906
Noia;Poligonal P.E HURACÁN;27087;23569;ES1110011.0556;UA220;1.60043061999;UA200;8009.94694995;27155;ES1110011.0556;5.0;P;3260;3260;;Ríos dos pisos basal a montano;8009.94694995
Noia;Poligonal P.E HURACÁN;27088;23569;ES1110011.0556;UA220;1.60043061999;UA200;8009.94694995;27156;ES1110011.0556;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8009.94694995
Noia;Poligonal P.E HURACÁN;27089;23569;ES1110011.0556;UA220;1.60043061999;UA200;8009.94694995;27157;ES1110011.0556;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8009.94694995
Noia;Poligonal P.E HURACÁN,Poligonal Cova da vella;26730;23992;ES1110011.0379;UA631;102.219223018;UA600;7977.2399742;26798;ES1110011.0379;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;7977.2399742
Noia;Poligonal P.E HURACÁN,Poligonal Cova da vella;26925;23230;ES1110011.0479;UA220;4.78061619353;UA200;23904.3838632;26994;ES1110011.0479;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;23904.3838632
Noia;Poligonal P.E HURACÁN,Poligonal Cova da vella;26927;23230;ES1110011.0479;UA220;4.78061619353;UA200;23904.3838632;26993;ES1110011.0479;5.0;P;3260;3260;;Ríos dos pisos basal a montano;23904.3838632
Noia;Poligonal P.E HURACÁN,Poligonal Cova da vella;27076;23589;ES1110011.0551;UA631;51.5599329656;UA600;6654.33272642;27144;ES1110011.0551;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;6654.33272642
Noia;Poligonal P.E HURACÁN,Poligonal Cova da vella;27693;23990;ES1110011.0813;UA220;0.953919781998;UA200;3192.77859746;27761;ES1110011.0813;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3192.77859746
Noia;Poligonal P.E HURACÁN,Poligonal Cova da vella;27695;23990;ES1110011.0813;UA220;0.953919781998;UA200;3192.77859746;27763;ES1110011.0813;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3192.77859746
Noia;Poligonal P.E HURACÁN,Poligonal Cova da vella;27719;23974;ES1110011.0838;UA220;1.03183085949;UA200;3450.48642255;27787;ES1110011.0838;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3450.48642255
Noia;Poligonal P.E HURACÁN,Poligonal Cova da vella;27721;23991;ES1110011.0839;UA631;23.7028758786;UA600;4257.26220757;27791;ES1110011.0839;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4257.26220757
Noia;Poligonal P.E HURACÁN,Poligonal Cova da vella;27723;23991;ES1110011.0839;UA631;23.7028758786;UA600;4257.26220757;27790;ES1110011.0839;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;4257.26220757
