concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Ordes;MONTE MAIOR;35394;31371;ES1110016.1360;UA220;6.59430690777;UA200;21924.970828;35462;ES1110016.1360;5.0;P;3260;3260;;Ríos dos pisos basal a montano;21924.970828
Ordes;MONTE MAIOR;35395;31371;ES1110016.1360;UA220;6.59430690777;UA200;21924.970828;35463;ES1110016.1360;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;21924.970828
Ordes;MONTE MAIOR;35396;31371;ES1110016.1360;UA220;6.59430690777;UA200;21924.970828;35464;ES1110016.1360;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;21924.970828
Ordes;MONTE MAIOR;35874;31517;ES1110016.1638;UA220;12.4739794321;UA200;41572.6579902;35943;ES1110016.1638;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;41572.6579902
Ordes;MONTE MAIOR;35875;31517;ES1110016.1638;UA220;12.4739794321;UA200;41572.6579902;35944;ES1110016.1638;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;41572.6579902
Ordes;MONTE MAIOR;35876;31517;ES1110016.1638;UA220;12.4739794321;UA200;41572.6579902;35942;ES1110016.1638;5.0;P;3260;3260;;Ríos dos pisos basal a montano;41572.6579902
Ordes;MONTE MAIOR;35894;31532;ES1110016.1653;UA220;2.03461498307;UA200;3150.17485615;35963;ES1110016.1653;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3150.17485615
Ordes;MONTE MAIOR;35895;31532;ES1110016.1653;UA220;2.03461498307;UA200;3150.17485615;35964;ES1110016.1653;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3150.17485615
Ordes;MONTE MAIOR;35896;31532;ES1110016.1653;UA220;2.03461498307;UA200;3150.17485615;35962;ES1110016.1653;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3150.17485615
Ordes;MONTE MAIOR;36027;28712;ES1110016.1732;UA260;0.0923280056248;UA200;130.113046631;36097;ES1110016.1732;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;130.113046631
Ordes;MONTE MAIOR;36028;28712;ES1110016.1732;UA260;0.0923280056248;UA200;130.113046631;36095;ES1110016.1732;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;130.113046631
Ordes;MONTE MAIOR;36029;28712;ES1110016.1732;UA260;0.0923280056248;UA200;130.113046631;36096;ES1110016.1732;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;130.113046631
Ordes;MONTE MAIOR;36063;28739;ES1110016.1763;UA530;13.7410598384;UA500;4353.50963541;36133;ES1110016.1763;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4353.50963541
Ordes;MONTE MAIOR;36064;28739;ES1110016.1763;UA530;13.7410598384;UA500;4353.50963541;36131;ES1110016.1763;1.0;V;6510;6510;;Prados de sega de baixa altitude;4353.50963541
Ordes;MONTE MAIOR;36065;28739;ES1110016.1763;UA530;13.7410598384;UA500;4353.50963541;36132;ES1110016.1763;3.0;V;6510;6510;;Prados de sega de baixa altitude;4353.50963541
