concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Ourol;MURAS II;99766;69165;ES1120015.1074;UA630;25.4255433369;UA600;4148.41566081;99834;ES1120015.1074;1.0;S;7110*;7110;X;Turbeiras altas activas;4148.41566081
Ourol;MURAS II;99767;69165;ES1120015.1074;UA630;25.4255433369;UA600;4148.41566081;99835;ES1120015.1074;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4148.41566081
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Leste;99879;69335;ES1120015.1113;UA270;13.2644606164;UA200;4353.29975691;99952;ES1120015.1113;1.0;V;7110*;7110;X;Turbeiras altas activas;4353.29975691
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Leste;99880;69335;ES1120015.1113;UA270;13.2644606164;UA200;4353.29975691;99953;ES1120015.1113;1.0;V;7110*;7110;X;Turbeiras altas activas;4353.29975691
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Leste;99881;69335;ES1120015.1113;UA270;13.2644606164;UA200;4353.29975691;99951;ES1120015.1113;1.0;V;6230*;6230;X;Formacións herbáceas con Nardus;4353.29975691
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Leste;99882;69335;ES1120015.1113;UA270;13.2644606164;UA200;4353.29975691;99949;ES1120015.1113;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;4353.29975691
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Leste;99883;69335;ES1120015.1113;UA270;13.2644606164;UA200;4353.29975691;99948;ES1120015.1113;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;4353.29975691
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Leste;99884;69335;ES1120015.1113;UA270;13.2644606164;UA200;4353.29975691;99947;ES1120015.1113;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4353.29975691
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Leste;99885;69335;ES1120015.1113;UA270;13.2644606164;UA200;4353.29975691;99954;ES1120015.1113;1.0;V;7110*;7110;X;Turbeiras altas activas;4353.29975691
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Leste;99886;69335;ES1120015.1113;UA270;13.2644606164;UA200;4353.29975691;99950;ES1120015.1113;1.0;V;7110*;7110;X;Turbeiras altas activas;4353.29975691
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Leste;99887;69339;ES1120015.1114;UA240;32.3430137768;UA200;4064.90703428;99955;ES1120015.1114;5.0;P;7120;7120;;Turbeiras altas degradadas;4064.90703428
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Leste;99888;69339;ES1120015.1114;UA240;32.3430137768;UA200;4064.90703428;99956;ES1120015.1114;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4064.90703428
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Leste;103722;69329;ES1120015.2659;UA240;15.0784501144;UA200;1771.46059429;103790;ES1120015.2659;5.0;P;7120;7120;;Turbeiras altas degradadas;1771.46059429
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Leste;103723;69329;ES1120015.2659;UA240;15.0784501144;UA200;1771.46059429;103791;ES1120015.2659;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1771.46059429
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Leste;104523;69334;ES1120015.2973;UA270;0.499029057437;UA200;427.340775761;104591;ES1120015.2973;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;427.340775761
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Leste;104524;69334;ES1120015.2973;UA270;0.499029057437;UA200;427.340775761;104592;ES1120015.2973;1.0;V;6230*;6230;X;Formacións herbáceas con Nardus;427.340775761
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Mareiro,Parque Eólico Álabe-Leste,Parque Eólico Álabe-Mareiro,Pedra Chantada y Pena Luisa;102595;69453;ES1120015.2326;UA270;542.996956382;UA200;39342.7383106;102652;ES1120015.2326;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;39342.7383106
Ourol;Parque Eólico Álabe-Leste,Parque Eólico Álabe-Mareiro,Parque Eólico Álabe-Mareiro,Parque Eólico Álabe-Leste,Pedra Chantada y Pena Luisa;102586;69453;ES1120015.2326;UA270;542.996956382;UA200;39342.7383106;102661;ES1120015.2326;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;39342.7383106
