concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Padrón;Monte Piquiño;179391;104631;ES1140001.0787;UA220;1.86588386185;UA200;6231.41010269;179468;ES1140001.0787;5.0;P;3260;3260;;Ríos dos pisos basal a montano;6231.41010269
Padrón;Monte Piquiño;179392;104631;ES1140001.0787;UA220;1.86588386185;UA200;6231.41010269;179469;ES1140001.0787;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6231.41010269
Padrón;Monte Piquiño;179393;104631;ES1140001.0787;UA220;1.86588386185;UA200;6231.41010269;179470;ES1140001.0787;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6231.41010269
Padrón;Monte Piquiño;179406;104621;ES1140001.0793;UA220;5.14092598469;UA200;17142.3011271;179485;ES1140001.0793;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;17142.3011271
Padrón;Monte Piquiño;179407;104621;ES1140001.0793;UA220;5.14092598469;UA200;17142.3011271;179483;ES1140001.0793;5.0;P;3260;3260;;Ríos dos pisos basal a montano;17142.3011271
Padrón;Monte Piquiño;179408;104621;ES1140001.0793;UA220;5.14092598469;UA200;17142.3011271;179484;ES1140001.0793;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;17142.3011271
Padrón;Monte Piquiño;181241;105048;ES1140001.1406;UA220;5.30683569629;UA200;17689.7331384;181318;ES1140001.1406;5.0;P;3260;3260;;Ríos dos pisos basal a montano;17689.7331384
Padrón;Monte Piquiño;181242;105048;ES1140001.1406;UA220;5.30683569629;UA200;17689.7331384;181319;ES1140001.1406;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;17689.7331384
Padrón;Monte Piquiño;182792;105095;ES1140001.1974;UA220;5.84378455211;UA200;19488.2767545;182869;ES1140001.1974;5.0;P;3260;3260;;Ríos dos pisos basal a montano;19488.2767545
Padrón;Monte Piquiño;182793;105095;ES1140001.1974;UA220;5.84378455211;UA200;19488.2767545;182871;ES1140001.1974;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;19488.2767545
Padrón;Monte Piquiño;182794;105095;ES1140001.1974;UA220;5.84378455211;UA200;19488.2767545;182870;ES1140001.1974;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;19488.2767545
Padrón;Monte Piquiño;182798;105100;ES1140001.1976;UA220;1.84921434459;UA200;6170.30238728;182875;ES1140001.1976;5.0;P;3260;3260;;Ríos dos pisos basal a montano;6170.30238728
Padrón;Monte Piquiño;182799;105100;ES1140001.1976;UA220;1.84921434459;UA200;6170.30238728;182876;ES1140001.1976;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6170.30238728
Padrón;Monte Piquiño;182800;105100;ES1140001.1976;UA220;1.84921434459;UA200;6170.30238728;182877;ES1140001.1976;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6170.30238728
Padrón;Olerón;179517;105040;ES1140001.0823;UA220;6.9793175542;UA200;23269.1090376;179594;ES1140001.0823;5.0;P;3260;3260;;Ríos dos pisos basal a montano;23269.1090376
Padrón;Olerón;179518;105040;ES1140001.0823;UA220;6.9793175542;UA200;23269.1090376;179595;ES1140001.0823;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;23269.1090376
Padrón;Poligonal;180022;104120;ES1140001.1012;UA220;2.56069278406;UA200;8542.52094902;180101;ES1140001.1012;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8542.52094902
Padrón;Poligonal;180023;104120;ES1140001.1012;UA220;2.56069278406;UA200;8542.52094902;180100;ES1140001.1012;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8542.52094902
Padrón;Poligonal;180024;104120;ES1140001.1012;UA220;2.56069278406;UA200;8542.52094902;180099;ES1140001.1012;5.0;P;3260;3260;;Ríos dos pisos basal a montano;8542.52094902
