concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Parada de Sil;Ampliación Meda;94984;64286;ES1120014.1085;UA532;17.2771458491;UA500;3487.9789259;95052;ES1120014.1085;4.0;V;6510;6510;;Prados de sega de baixa altitude;3487.9789259
Parada de Sil;Ampliación Meda;94985;64286;ES1120014.1085;UA532;17.2771458491;UA500;3487.9789259;95053;ES1120014.1085;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3487.9789259
Parada de Sil;Ampliación Meda;94986;64286;ES1120014.1085;UA532;17.2771458491;UA500;3487.9789259;95054;ES1120014.1085;1.0;S;6410;6410;;Prados con Molinia;3487.9789259
Parada de Sil;Ampliación Meda;95020;64282;ES1120014.1112;UA425;98.8179019577;UA400;22387.4207923;95088;ES1120014.1112;5.0;P;9260;9260;;Soutos;22387.4207923
Parada de Sil;Ampliación Meda;95021;64282;ES1120014.1112;UA425;98.8179019577;UA400;22387.4207923;95092;ES1120014.1112;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;22387.4207923
Parada de Sil;Ampliación Meda;95022;64282;ES1120014.1112;UA425;98.8179019577;UA400;22387.4207923;95091;ES1120014.1112;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;22387.4207923
Parada de Sil;Ampliación Meda;95023;64282;ES1120014.1112;UA425;98.8179019577;UA400;22387.4207923;95090;ES1120014.1112;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;22387.4207923
Parada de Sil;Ampliación Meda;95024;64282;ES1120014.1112;UA425;98.8179019577;UA400;22387.4207923;95089;ES1120014.1112;1.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;22387.4207923
Parada de Sil;Ampliación Meda;95099;64290;ES1120014.1289;UA220;0.769809641362;UA200;4000.45119757;95168;ES1120014.1289;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4000.45119757
Parada de Sil;Ampliación Meda;95100;64290;ES1120014.1289;UA220;0.769809641362;UA200;4000.45119757;95169;ES1120014.1289;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4000.45119757
Parada de Sil;Ampliación Meda;95101;64290;ES1120014.1289;UA220;0.769809641362;UA200;4000.45119757;95167;ES1120014.1289;5.0;P;3260;3260;;Ríos dos pisos basal a montano;4000.45119757
Parada de Sil;Ampliación Meda;95326;64288;ES1120014.1421;UA425;55.6201110372;UA400;14243.7637917;95395;ES1120014.1421;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;14243.7637917
Parada de Sil;Ampliación Meda;95327;64288;ES1120014.1421;UA425;55.6201110372;UA400;14243.7637917;95394;ES1120014.1421;5.0;P;9260;9260;;Soutos;14243.7637917
Parada de Sil;Ampliación Meda;95328;64289;ES1120014.1422;UA425;24.2865102428;UA400;5896.48767879;95396;ES1120014.1422;5.0;P;9260;9260;;Soutos;5896.48767879
Parada de Sil;Ampliación Meda;95329;64289;ES1120014.1422;UA425;24.2865102428;UA400;5896.48767879;95397;ES1120014.1422;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5896.48767879
Parada de Sil;Ampliación Meda;95330;64283;ES1120014.1423;UA425;3.79164370697;UA400;1888.83551274;95399;ES1120014.1423;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1888.83551274
Parada de Sil;Ampliación Meda;95331;64283;ES1120014.1423;UA425;3.79164370697;UA400;1888.83551274;95398;ES1120014.1423;5.0;P;9260;9260;;Soutos;1888.83551274
Parada de Sil;Ampliación Meda;95365;64284;ES1120014.1448;UA532;23.3297338663;UA500;4239.29776782;95433;ES1120014.1448;4.0;V;6510;6510;;Prados de sega de baixa altitude;4239.29776782
Parada de Sil;Ampliación Meda;95366;64284;ES1120014.1448;UA532;23.3297338663;UA500;4239.29776782;95434;ES1120014.1448;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4239.29776782
Parada de Sil;Ampliación Meda;95367;64284;ES1120014.1448;UA532;23.3297338663;UA500;4239.29776782;95435;ES1120014.1448;1.0;S;6410;6410;;Prados con Molinia;4239.29776782
Parada de Sil;Ampliación Meda;95428;64511;ES1120014.1473;UA220;0.605994781541;UA200;2074.98044723;95496;ES1120014.1473;5.0;P;3260;3260;;Ríos dos pisos basal a montano;2074.98044723
Parada de Sil;Ampliación Meda;95429;64511;ES1120014.1473;UA220;0.605994781541;UA200;2074.98044723;95497;ES1120014.1473;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2074.98044723
Parada de Sil;Ampliación Meda;95430;64511;ES1120014.1473;UA220;0.605994781541;UA200;2074.98044723;95498;ES1120014.1473;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2074.98044723
