concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade;16532;16960;ES1110006.0119;UA162;25.4217799872;UA100;6946.24759271;16603;ES1110006.0119;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;6946.24759271
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade;16533;16960;ES1110006.0119;UA162;25.4217799872;UA100;6946.24759271;16600;ES1110006.0119;5.0;P;4030;4030;;Queirogais secos europeos;6946.24759271
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade;16534;16960;ES1110006.0119;UA162;25.4217799872;UA100;6946.24759271;16601;ES1110006.0119;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;6946.24759271
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade;16535;16960;ES1110006.0119;UA162;25.4217799872;UA100;6946.24759271;16602;ES1110006.0119;5.0;V;4030;4030;;Queirogais secos europeos;6946.24759271
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade;16556;15696;ES1110006.0142;UA162;7.05018437501;UA100;1905.47287124;16624;ES1110006.0142;5.0;P;4030;4030;;Queirogais secos europeos;1905.47287124
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade;16557;15696;ES1110006.0142;UA162;7.05018437501;UA100;1905.47287124;16625;ES1110006.0142;5.0;V;4030;4030;;Queirogais secos europeos;1905.47287124
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade;16558;15696;ES1110006.0142;UA162;7.05018437501;UA100;1905.47287124;16626;ES1110006.0142;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1905.47287124
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade;19660;17955;ES1110006.2048;UA320;58.3595542956;UA300;7058.72146804;19732;ES1110006.2048;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7058.72146804
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade;19661;17955;ES1110006.2048;UA320;58.3595542956;UA300;7058.72146804;19728;ES1110006.2048;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;7058.72146804
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade;19662;17955;ES1110006.2048;UA320;58.3595542956;UA300;7058.72146804;19729;ES1110006.2048;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;7058.72146804
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade;19663;17955;ES1110006.2048;UA320;58.3595542956;UA300;7058.72146804;19730;ES1110006.2048;4.0;V;4030;4030;;Queirogais secos europeos;7058.72146804
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade;19664;17955;ES1110006.2048;UA320;58.3595542956;UA300;7058.72146804;19731;ES1110006.2048;2.0;V;4030;4030;;Queirogais secos europeos;7058.72146804
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade,San Vicente de Noal;16547;16041;ES1110006.0137;UA162;84.650751727;UA100;14011.5969929;16618;ES1110006.0137;4.0;V;4030;4030;;Queirogais secos europeos;14011.5969929
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade,San Vicente de Noal;16549;16041;ES1110006.0137;UA162;84.650751727;UA100;14011.5969929;16616;ES1110006.0137;2.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;14011.5969929
Porto do Son;Parque Eólico Graiade,Parque Eólico Graiade,San Vicente de Noal;16551;16041;ES1110006.0137;UA162;84.650751727;UA100;14011.5969929;16619;ES1110006.0137;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;14011.5969929
Porto do Son;Parque Eólico Graiade,San Vicente de Noal,Parque Eólico Graiade;16548;16041;ES1110006.0137;UA162;84.650751727;UA100;14011.5969929;16617;ES1110006.0137;2.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;14011.5969929
Porto do Son;San Vicente de Noal;16553;16418;ES1110006.0140;UA531;49.1170326725;UA500;8039.33567774;16621;ES1110006.0140;4.0;V;6510;6510;;Prados de sega de baixa altitude;8039.33567774
Porto do Son;San Vicente de Noal;16554;16418;ES1110006.0140;UA531;49.1170326725;UA500;8039.33567774;16622;ES1110006.0140;1.0;V;6410;6410;;Prados con Molinia;8039.33567774
Porto do Son;San Vicente de Noal;16555;16418;ES1110006.0140;UA531;49.1170326725;UA500;8039.33567774;16623;ES1110006.0140;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8039.33567774
Porto do Son;San Vicente de Noal;16563;15971;ES1110006.0159;UA630;55.9561043585;UA600;7007.08937024;16631;ES1110006.0159;1.0;S;4030;4030;;Queirogais secos europeos;7007.08937024
Porto do Son;San Vicente de Noal,Parque Eólico Graiade,Parque Eólico Graiade;16550;16041;ES1110006.0137;UA162;84.650751727;UA100;14011.5969929;16615;ES1110006.0137;5.0;P;4030;4030;;Queirogais secos europeos;14011.5969929
