concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Ribeira;MONTE CASTRO;17021;16443;ES1110006.0459;UA531;9.63293975027;UA500;3202.33355012;17089;ES1110006.0459;1.0;V;6510;6510;;Prados de sega de baixa altitude;3202.33355012
Ribeira;MONTE CASTRO;17022;16443;ES1110006.0459;UA531;9.63293975027;UA500;3202.33355012;17090;ES1110006.0459;1.0;V;6410;6410;;Prados con Molinia;3202.33355012
Ribeira;MONTE CASTRO;17023;16443;ES1110006.0459;UA531;9.63293975027;UA500;3202.33355012;17091;ES1110006.0459;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3202.33355012
Ribeira;MONTE CASTRO;17051;16119;ES1110006.0478;UA320;5.43593228943;UA300;2181.13426175;17119;ES1110006.0478;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2181.13426175
Ribeira;MONTE CASTRO;17052;16119;ES1110006.0478;UA320;5.43593228943;UA300;2181.13426175;17120;ES1110006.0478;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2181.13426175
Ribeira;MONTE CASTRO;17053;16119;ES1110006.0478;UA320;5.43593228943;UA300;2181.13426175;17121;ES1110006.0478;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2181.13426175
Ribeira;MONTE CASTRO;17054;17078;ES1110006.0479;UA320;55.0316122849;UA300;10524.3308936;17124;ES1110006.0479;5.0;V;4030;4030;;Queirogais secos europeos;10524.3308936
Ribeira;MONTE CASTRO;17055;17078;ES1110006.0479;UA320;55.0316122849;UA300;10524.3308936;17125;ES1110006.0479;1.0;V;4030;4030;;Queirogais secos europeos;10524.3308936
Ribeira;MONTE CASTRO;17056;17078;ES1110006.0479;UA320;55.0316122849;UA300;10524.3308936;17122;ES1110006.0479;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;10524.3308936
Ribeira;MONTE CASTRO;17057;17078;ES1110006.0479;UA320;55.0316122849;UA300;10524.3308936;17126;ES1110006.0479;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;10524.3308936
Ribeira;MONTE CASTRO;17058;17078;ES1110006.0479;UA320;55.0316122849;UA300;10524.3308936;17123;ES1110006.0479;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;10524.3308936
Ribeira;MONTE CASTRO;17070;16117;ES1110006.0484;UA320;0.403180272956;UA300;325.434757659;17139;ES1110006.0484;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;325.434757659
Ribeira;MONTE CASTRO;17071;16117;ES1110006.0484;UA320;0.403180272956;UA300;325.434757659;17140;ES1110006.0484;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;325.434757659
Ribeira;MONTE CASTRO;17072;16117;ES1110006.0484;UA320;0.403180272956;UA300;325.434757659;17138;ES1110006.0484;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;325.434757659
Ribeira;MONTE CASTRO;17073;16118;ES1110006.0488;UA162;0.593865788763;UA100;354.89639765;17142;ES1110006.0488;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;354.89639765
Ribeira;MONTE CASTRO;17074;16118;ES1110006.0488;UA162;0.593865788763;UA100;354.89639765;17143;ES1110006.0488;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;354.89639765
Ribeira;MONTE CASTRO;17075;16118;ES1110006.0488;UA162;0.593865788763;UA100;354.89639765;17144;ES1110006.0488;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;354.89639765
Ribeira;MONTE CASTRO;17076;16118;ES1110006.0488;UA162;0.593865788763;UA100;354.89639765;17141;ES1110006.0488;5.0;P;4030;4030;;Queirogais secos europeos;354.89639765
Ribeira;MONTE CASTRO;17079;17074;ES1110006.0491;UA162;1.77127449693;UA100;961.178217663;17147;ES1110006.0491;5.0;P;4030;4030;;Queirogais secos europeos;961.178217663
Ribeira;MONTE CASTRO;17080;17074;ES1110006.0491;UA162;1.77127449693;UA100;961.178217663;17151;ES1110006.0491;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;961.178217663
Ribeira;MONTE CASTRO;17081;17074;ES1110006.0491;UA162;1.77127449693;UA100;961.178217663;17150;ES1110006.0491;4.0;V;4030;4030;;Queirogais secos europeos;961.178217663
Ribeira;MONTE CASTRO;17082;17074;ES1110006.0491;UA162;1.77127449693;UA100;961.178217663;17148;ES1110006.0491;3.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;961.178217663
Ribeira;MONTE CASTRO;17083;17074;ES1110006.0491;UA162;1.77127449693;UA100;961.178217663;17149;ES1110006.0491;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;961.178217663
Ribeira;MONTE CASTRO;17086;16141;ES1110006.0493;UA320;0.721079039811;UA300;413.504246709;17155;ES1110006.0493;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;413.504246709
