concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Samos;MNS PEO Oribio (Fase I),MNS PEO Oribio (Fase I);40254;33446;Es1120001.0498;UA220;0.648079722357;UA200;6670.73961427;40322;Es1120001.0498;5.0;P;3260;3260;;Ríos dos pisos basal a montano;6670.73961427
Samos;MNS PEO Oribio (Fase I),MNS PEO Oribio (Fase I);40255;33446;Es1120001.0498;UA220;0.648079722357;UA200;6670.73961427;40323;Es1120001.0498;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6670.73961427
Samos;MNS PEO Oribio (Fase I),MNS PEO Oribio (Fase I);40256;33446;Es1120001.0498;UA220;0.648079722357;UA200;6670.73961427;40324;Es1120001.0498;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6670.73961427
Samos;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;38986;33032;Es1120001.0072;UA220;0.488289702466;UA200;5090.90633963;39053;Es1120001.0072;5.0;P;3260;3260;;Ríos dos pisos basal a montano;5090.90633963
Samos;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;40108;33399;Es1120001.0449;UA220;1.55904587455;UA200;15732.3040158;40176;Es1120001.0449;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;15732.3040158
Samos;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;40265;33449;Es1120001.0501;UA220;1.03121712804;UA200;10326.5005973;40332;Es1120001.0501;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;10326.5005973
Samos;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;40813;33651;Es1120001.0705;UA422;7.33353931015;UA400;4537.49108159;40882;Es1120001.0705;1.0;V;9380;9380;;Bosques de Ilex aquifolium;4537.49108159
Samos;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;40989;33730;Es1120001.0785;UA422;25.3250595456;UA400;7851.04335424;41057;Es1120001.0785;1.0;V;9380;9380;;Bosques de Ilex aquifolium;7851.04335424
Samos;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;40991;33731;Es1120001.0786;UA422;3.64480312909;UA400;2135.13920059;41059;Es1120001.0786;1.0;V;9380;9380;;Bosques de Ilex aquifolium;2135.13920059
Samos;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;41008;33740;Es1120001.0795;UA422;16.9378884189;UA400;6828.91504039;41076;Es1120001.0795;1.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;6828.91504039
