concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Teo;Monte Piquiño;179406;104621;ES1140001.0793;UA220;5.14092598469;UA200;17142.3011271;179485;ES1140001.0793;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;17142.3011271
Teo;Monte Piquiño;179407;104621;ES1140001.0793;UA220;5.14092598469;UA200;17142.3011271;179483;ES1140001.0793;5.0;P;3260;3260;;Ríos dos pisos basal a montano;17142.3011271
Teo;Monte Piquiño;179408;104621;ES1140001.0793;UA220;5.14092598469;UA200;17142.3011271;179484;ES1140001.0793;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;17142.3011271
Teo;Monte Piquiño;181241;105048;ES1140001.1406;UA220;5.30683569629;UA200;17689.7331384;181318;ES1140001.1406;5.0;P;3260;3260;;Ríos dos pisos basal a montano;17689.7331384
Teo;Monte Piquiño;181242;105048;ES1140001.1406;UA220;5.30683569629;UA200;17689.7331384;181319;ES1140001.1406;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;17689.7331384
Teo;Monte Piquiño;182582;104180;ES1140001.1882;UA220;6.72444636734;UA200;22424.3859178;182659;ES1140001.1882;5.0;P;3260;3260;;Ríos dos pisos basal a montano;22424.3859178
Teo;Monte Piquiño;182583;104180;ES1140001.1882;UA220;6.72444636734;UA200;22424.3859178;182660;ES1140001.1882;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;22424.3859178
Teo;Monte Piquiño;182584;104180;ES1140001.1882;UA220;6.72444636734;UA200;22424.3859178;182661;ES1140001.1882;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;22424.3859178
Teo;Monte Piquiño;182792;105095;ES1140001.1974;UA220;5.84378455211;UA200;19488.2767545;182869;ES1140001.1974;5.0;P;3260;3260;;Ríos dos pisos basal a montano;19488.2767545
Teo;Monte Piquiño;182793;105095;ES1140001.1974;UA220;5.84378455211;UA200;19488.2767545;182871;ES1140001.1974;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;19488.2767545
Teo;Monte Piquiño;182794;105095;ES1140001.1974;UA220;5.84378455211;UA200;19488.2767545;182870;ES1140001.1974;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;19488.2767545
