concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Valadouro, O;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99315;68983;ES1120015.0913;UA320;3.67562954149;UA300;1048.25923455;99383;ES1120015.0913;5.0;V;4030;4030;;Queirogais secos europeos;1048.25923455
Valadouro, O;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99350;68980;ES1120015.0921;UA320;6.26017173674;UA300;1350.94639732;99418;ES1120015.0921;5.0;V;4030;4030;;Queirogais secos europeos;1350.94639732
Valadouro, O;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99374;68979;ES1120015.0927;UA320;0.647865282593;UA300;606.144338076;99442;ES1120015.0927;4.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;606.144338076
Valadouro, O;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99375;68979;ES1120015.0927;UA320;0.647865282593;UA300;606.144338076;99443;ES1120015.0927;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;606.144338076
Valadouro, O;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99376;68979;ES1120015.0927;UA320;0.647865282593;UA300;606.144338076;99444;ES1120015.0927;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;606.144338076
Valadouro, O;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99382;68978;ES1120015.0930;UA230;29.058197904;UA200;2737.9286667;99450;ES1120015.0930;5.0;P;7130;7130;;Turbeiras de cobertor (* para turbeiras activas);2737.9286667
Valadouro, O;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99383;68978;ES1120015.0930;UA230;29.058197904;UA200;2737.9286667;99451;ES1120015.0930;5.0;V;7140;7140;;Turbeiras de transición e inllós;2737.9286667
Valadouro, O;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99403;67148;ES1120015.0941;UA320;10.6697126012;UA300;2181.45649543;99473;ES1120015.0941;1.0;V;4030;4030;;Queirogais secos europeos;2181.45649543
Valadouro, O;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99404;67148;ES1120015.0941;UA320;10.6697126012;UA300;2181.45649543;99474;ES1120015.0941;1.0;V;4030;4030;;Queirogais secos europeos;2181.45649543
Valadouro, O;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99405;67148;ES1120015.0941;UA320;10.6697126012;UA300;2181.45649543;99471;ES1120015.0941;5.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;2181.45649543
Valadouro, O;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99406;67148;ES1120015.0941;UA320;10.6697126012;UA300;2181.45649543;99472;ES1120015.0941;1.0;V;4030;4030;;Queirogais secos europeos;2181.45649543
Valadouro, O;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99407;68964;ES1120015.0942;UA320;0.929304033743;UA300;1163.26219717;99475;ES1120015.0942;5.0;V;4030;4030;;Queirogais secos europeos;1163.26219717
