concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Valdoviño;Poligonal P.E BADULAQUE;3198;2595;ES1110002.0152;UA120;2.16500293297;UA100;3170.37598361;3266;ES1110002.0152;5.0;P;1130;1130;;Esteiros;3170.37598361
Valdoviño;Poligonal P.E BADULAQUE;4537;2598;ES1110002.0677;UA532;1.02056846262;UA500;879.292575949;4607;ES1110002.0677;1.0;S;6410;6410;;Prados con Molinia;879.292575949
Valdoviño;Poligonal P.E BADULAQUE;4538;2598;ES1110002.0677;UA532;1.02056846262;UA500;879.292575949;4605;ES1110002.0677;2.0;V;6510;6510;;Prados de sega de baixa altitude;879.292575949
Valdoviño;Poligonal P.E BADULAQUE;4539;2598;ES1110002.0677;UA532;1.02056846262;UA500;879.292575949;4606;ES1110002.0677;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;879.292575949
Valdoviño;Poligonal P.E BADULAQUE;4544;2594;ES1110002.0680;UA532;0.301187962098;UA500;369.114025887;4614;ES1110002.0680;1.0;S;6410;6410;;Prados con Molinia;369.114025887
Valdoviño;Poligonal P.E BADULAQUE;4545;2594;ES1110002.0680;UA532;0.301187962098;UA500;369.114025887;4612;ES1110002.0680;2.0;V;6510;6510;;Prados de sega de baixa altitude;369.114025887
Valdoviño;Poligonal P.E BADULAQUE;4546;2594;ES1110002.0680;UA532;0.301187962098;UA500;369.114025887;4613;ES1110002.0680;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;369.114025887
Valdoviño;Poligonal P.E BADULAQUE;4861;3600;ES1110002.0790;UA532;30.0321744305;UA500;5979.18809555;4929;ES1110002.0790;2.0;V;6510;6510;;Prados de sega de baixa altitude;5979.18809555
Valdoviño;Poligonal P.E BADULAQUE;4862;3600;ES1110002.0790;UA532;30.0321744305;UA500;5979.18809555;4930;ES1110002.0790;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5979.18809555
Valdoviño;Poligonal P.E BADULAQUE;4863;3600;ES1110002.0790;UA532;30.0321744305;UA500;5979.18809555;4931;ES1110002.0790;1.0;S;6410;6410;;Prados con Molinia;5979.18809555
Valdoviño;Poligonal P.E BADULAQUE;6249;3557;ES1110002.2204;UA532;15.0732976913;UA500;4218.86960452;6317;ES1110002.2204;2.0;V;6510;6510;;Prados de sega de baixa altitude;4218.86960452
Valdoviño;Poligonal P.E BADULAQUE;6250;3557;ES1110002.2204;UA532;15.0732976913;UA500;4218.86960452;6318;ES1110002.2204;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4218.86960452
Valdoviño;Poligonal P.E BADULAQUE;6251;3557;ES1110002.2204;UA532;15.0732976913;UA500;4218.86960452;6319;ES1110002.2204;1.0;S;6410;6410;;Prados con Molinia;4218.86960452
Valdoviño;Poligonal P.E BADULAQUE,Poligonal Parque;4886;2600;ES1110002.0798;UA532;53.6416730115;UA500;6295.02686709;4954;ES1110002.0798;2.0;V;6510;6510;;Prados de sega de baixa altitude;6295.02686709
Valdoviño;Poligonal P.E BADULAQUE,Poligonal Parque;4888;2600;ES1110002.0798;UA532;53.6416730115;UA500;6295.02686709;4956;ES1110002.0798;1.0;S;6410;6410;;Prados con Molinia;6295.02686709
Valdoviño;"Poligonal P.E Monteventoso
";5333;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5406;ES1110002.1699;2.0;V;4030;4030;;Queirogais secos europeos;68312.2748712
Valdoviño;"Poligonal P.E Monteventoso
";5334;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5407;ES1110002.1699;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;68312.2748712
Valdoviño;"Poligonal P.E Monteventoso
";5335;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5405;ES1110002.1699;5.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;68312.2748712
Valdoviño;"Poligonal P.E Monteventoso
";5336;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5404;ES1110002.1699;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;68312.2748712
Valdoviño;"Poligonal P.E Monteventoso
";5337;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5403;ES1110002.1699;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;68312.2748712
Valdoviño;"Poligonal P.E Monteventoso
";5338;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5402;ES1110002.1699;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;68312.2748712
Valdoviño;"Poligonal P.E Monteventoso
";5339;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5401;ES1110002.1699;5.0;P;4030;4030;;Queirogais secos europeos;68312.2748712
Valdoviño;"Poligonal P.E Monteventoso
";5340;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5408;ES1110002.1699;1.0;V;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;68312.2748712
Valdoviño;Poligonal Parque,Poligonal P.E BADULAQUE;4887;2600;ES1110002.0798;UA532;53.6416730115;UA500;6295.02686709;4955;ES1110002.0798;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6295.02686709
