concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Veiga, A;Serra do Eixe;164639;98324;ES1130007.0260;UA220;0.0697810843569;UA200;878.113936555;164718;ES1130007.0260;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;878.113936555
Veiga, A;Serra do Eixe;164640;98324;ES1130007.0260;UA220;0.0697810843569;UA200;878.113936555;164716;ES1130007.0260;5.0;P;3260;3260;;Ríos dos pisos basal a montano;878.113936555
Veiga, A;Serra do Eixe;164641;98324;ES1130007.0260;UA220;0.0697810843569;UA200;878.113936555;164717;ES1130007.0260;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;878.113936555
Veiga, A;Serra do Eixe;164645;98326;ES1130007.0262;UA220;3.70038184912;UA200;14473.9227343;164722;ES1130007.0262;5.0;P;3260;3260;;Ríos dos pisos basal a montano;14473.9227343
Veiga, A;Serra do Eixe;164646;98326;ES1130007.0262;UA220;3.70038184912;UA200;14473.9227343;164723;ES1130007.0262;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;14473.9227343
Veiga, A;Serra do Eixe;164647;98326;ES1130007.0262;UA220;3.70038184912;UA200;14473.9227343;164724;ES1130007.0262;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;14473.9227343
Veiga, A;Serra do Eixe;165780;98609;ES1130007.0555;UA320;2.23089220817;UA300;1811.05378511;165857;ES1130007.0555;5.0;V;4030;4030;;Queirogais secos europeos;1811.05378511
Veiga, A;Serra do Eixe;165781;98609;ES1130007.0555;UA320;2.23089220817;UA300;1811.05378511;165858;ES1130007.0555;1.0;V;6230*;6230;X;Formacións herbáceas con Nardus;1811.05378511
Veiga, A;Serra do Eixe;166256;98746;ES1130007.0693;UA320;4.32891517863;UA300;1443.0090378;166336;ES1130007.0693;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1443.0090378
Veiga, A;Serra do Eixe;166257;98746;ES1130007.0693;UA320;4.32891517863;UA300;1443.0090378;166335;ES1130007.0693;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1443.0090378
Veiga, A;Serra do Eixe;166258;98746;ES1130007.0693;UA320;4.32891517863;UA300;1443.0090378;166334;ES1130007.0693;4.0;V;4030;4030;;Queirogais secos europeos;1443.0090378
Veiga, A;Serra do Eixe;166259;98746;ES1130007.0693;UA320;4.32891517863;UA300;1443.0090378;166333;ES1130007.0693;2.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1443.0090378
Veiga, A;Serra do Eixe;166260;98747;ES1130007.0694;UA320;48.7558165768;UA300;4729.48173466;166343;ES1130007.0694;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4729.48173466
Veiga, A;Serra do Eixe;166261;98747;ES1130007.0694;UA320;48.7558165768;UA300;4729.48173466;166337;ES1130007.0694;2.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;4729.48173466
Veiga, A;Serra do Eixe;166262;98747;ES1130007.0694;UA320;48.7558165768;UA300;4729.48173466;166344;ES1130007.0694;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4729.48173466
Veiga, A;Serra do Eixe;166263;98747;ES1130007.0694;UA320;48.7558165768;UA300;4729.48173466;166342;ES1130007.0694;1.0;V;4030;4030;;Queirogais secos europeos;4729.48173466
Veiga, A;Serra do Eixe;166264;98747;ES1130007.0694;UA320;48.7558165768;UA300;4729.48173466;166341;ES1130007.0694;4.0;V;4030;4030;;Queirogais secos europeos;4729.48173466
Veiga, A;Serra do Eixe;166265;98747;ES1130007.0694;UA320;48.7558165768;UA300;4729.48173466;166340;ES1130007.0694;1.0;V;8310;8310;;Covas non explotadas polo turismo;4729.48173466
Veiga, A;Serra do Eixe;166266;98747;ES1130007.0694;UA320;48.7558165768;UA300;4729.48173466;166339;ES1130007.0694;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;4729.48173466
Veiga, A;Serra do Eixe;166267;98747;ES1130007.0694;UA320;48.7558165768;UA300;4729.48173466;166338;ES1130007.0694;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;4729.48173466
Veiga, A;Serra do Eixe;166268;98747;ES1130007.0694;UA320;48.7558165768;UA300;4729.48173466;166345;ES1130007.0694;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4729.48173466
Veiga, A;Serra do Eixe;166269;98748;ES1130007.0695;UA320;0.946034584656;UA300;974.090832083;166346;ES1130007.0695;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;974.090832083
Veiga, A;Serra do Eixe;166270;98748;ES1130007.0695;UA320;0.946034584656;UA300;974.090832083;166347;ES1130007.0695;5.0;V;4030;4030;;Queirogais secos europeos;974.090832083
Veiga, A;Serra do Eixe;166275;98751;ES1130007.0698;UA320;35.949938491;UA300;4141.12496625;166356;ES1130007.0698;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4141.12496625
Veiga, A;Serra do Eixe;166276;98751;ES1130007.0698;UA320;35.949938491;UA300;4141.12496625;166355;ES1130007.0698;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4141.12496625
Veiga, A;Serra do Eixe;166277;98751;ES1130007.0698;UA320;35.949938491;UA300;4141.12496625;166352;ES1130007.0698;2.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;4141.12496625
Veiga, A;Serra do Eixe;166278;98751;ES1130007.0698;UA320;35.949938491;UA300;4141.12496625;166354;ES1130007.0698;1.0;V;4030;4030;;Queirogais secos europeos;4141.12496625
Veiga, A;Serra do Eixe;166279;98751;ES1130007.0698;UA320;35.949938491;UA300;4141.12496625;166353;ES1130007.0698;4.0;V;4030;4030;;Queirogais secos europeos;4141.12496625
Veiga, A;Serra do Eixe;166280;98752;ES1130007.0699;UA320;97.2045065755;UA300;7062.41999475;166362;ES1130007.0699;1.0;V;4030;4030;;Queirogais secos europeos;7062.41999475
Veiga, A;Serra do Eixe;166281;98752;ES1130007.0699;UA320;97.2045065755;UA300;7062.41999475;166365;ES1130007.0699;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7062.41999475
Veiga, A;Serra do Eixe;166282;98752;ES1130007.0699;UA320;97.2045065755;UA300;7062.41999475;166363;ES1130007.0699;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7062.41999475
Veiga, A;Serra do Eixe;166283;98752;ES1130007.0699;UA320;97.2045065755;UA300;7062.41999475;166361;ES1130007.0699;4.0;V;4030;4030;;Queirogais secos europeos;7062.41999475
Veiga, A;Serra do Eixe;166284;98752;ES1130007.0699;UA320;97.2045065755;UA300;7062.41999475;166360;ES1130007.0699;1.0;V;8310;8310;;Covas non explotadas polo turismo;7062.41999475
Veiga, A;Serra do Eixe;166285;98752;ES1130007.0699;UA320;97.2045065755;UA300;7062.41999475;166359;ES1130007.0699;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;7062.41999475
Veiga, A;Serra do Eixe;166286;98752;ES1130007.0699;UA320;97.2045065755;UA300;7062.41999475;166358;ES1130007.0699;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;7062.41999475
