concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Vila de Cruces;MIRÓN SEIXAS;181184;104796;ES1140001.1382;UA220;13.1902737689;UA200;43908.500533;181261;ES1140001.1382;5.0;P;3260;3260;;Ríos dos pisos basal a montano;43908.500533
Vila de Cruces;MIRÓN SEIXAS;181185;104796;ES1140001.1382;UA220;13.1902737689;UA200;43908.500533;181262;ES1140001.1382;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;43908.500533
Vila de Cruces;MIRÓN SEIXAS;181186;104796;ES1140001.1382;UA220;13.1902737689;UA200;43908.500533;181263;ES1140001.1382;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;43908.500533
Vila de Cruces;MIRÓN SEIXAS;181197;104797;ES1140001.1386;UA220;0.444516222808;UA200;1491.68998283;181274;ES1140001.1386;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1491.68998283
Vila de Cruces;MIRÓN SEIXAS;181198;104797;ES1140001.1386;UA220;0.444516222808;UA200;1491.68998283;181275;ES1140001.1386;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1491.68998283
Vila de Cruces;MIRÓN SEIXAS;181199;104797;ES1140001.1386;UA220;0.444516222808;UA200;1491.68998283;181276;ES1140001.1386;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1491.68998283
Vila de Cruces;MIRÓN SEIXAS;182249;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182326;ES1140001.1775;1.0;V;6510;6510;;Prados de sega de baixa altitude;9434.83431205
Vila de Cruces;MIRÓN SEIXAS;182250;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182327;ES1140001.1775;4.0;V;6510;6510;;Prados de sega de baixa altitude;9434.83431205
Vila de Cruces;MIRÓN SEIXAS;182251;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182328;ES1140001.1775;1.0;S;3260;3260;;Ríos dos pisos basal a montano;9434.83431205
Vila de Cruces;MIRÓN SEIXAS;182252;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182329;ES1140001.1775;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;9434.83431205
Vila de Cruces;MIRÓN SEIXAS;182253;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182330;ES1140001.1775;1.0;S;6410;6410;;Prados con Molinia;9434.83431205
Vila de Cruces;MIRÓN SEIXAS;182254;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182331;ES1140001.1775;1.0;S;4030;4030;;Queirogais secos europeos;9434.83431205
Vila de Cruces;MIRÓN SEIXAS;182255;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182332;ES1140001.1775;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;9434.83431205
Vila de Cruces;MIRÓN SEIXAS;182256;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182333;ES1140001.1775;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;9434.83431205
Vila de Cruces;MIRÓN SEIXAS;182257;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182334;ES1140001.1775;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;9434.83431205
Vila de Cruces;MIRÓN SEIXAS;182320;104919;ES1140001.1797;UA320;9.46709887109;UA300;1860.53180831;182401;ES1140001.1797;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1860.53180831
Vila de Cruces;MIRÓN SEIXAS;182321;104919;ES1140001.1797;UA320;9.46709887109;UA300;1860.53180831;182403;ES1140001.1797;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1860.53180831
Vila de Cruces;MIRÓN SEIXAS;182322;104919;ES1140001.1797;UA320;9.46709887109;UA300;1860.53180831;182402;ES1140001.1797;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1860.53180831
Vila de Cruces;MIRÓN SEIXAS;182323;104919;ES1140001.1797;UA320;9.46709887109;UA300;1860.53180831;182399;ES1140001.1797;5.0;V;4030;4030;;Queirogais secos europeos;1860.53180831
Vila de Cruces;MIRÓN SEIXAS;182324;104919;ES1140001.1797;UA320;9.46709887109;UA300;1860.53180831;182398;ES1140001.1797;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1860.53180831
Vila de Cruces;MIRÓN SEIXAS;182325;104919;ES1140001.1797;UA320;9.46709887109;UA300;1860.53180831;182397;ES1140001.1797;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1860.53180831
Vila de Cruces;MIRÓN SEIXAS;182326;104919;ES1140001.1797;UA320;9.46709887109;UA300;1860.53180831;182400;ES1140001.1797;1.0;V;4030;4030;;Queirogais secos europeos;1860.53180831
Vila de Cruces;MIRÓN SEIXAS;182541;104762;ES1140001.1870;UA421;3.37329021108;UA400;1654.49382129;182618;ES1140001.1870;5.0;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1654.49382129
Vila de Cruces;MIRÓN SEIXAS;182542;104762;ES1140001.1870;UA421;3.37329021108;UA400;1654.49382129;182622;ES1140001.1870;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1654.49382129
Vila de Cruces;MIRÓN SEIXAS;182543;104762;ES1140001.1870;UA421;3.37329021108;UA400;1654.49382129;182621;ES1140001.1870;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1654.49382129
Vila de Cruces;MIRÓN SEIXAS;182544;104762;ES1140001.1870;UA421;3.37329021108;UA400;1654.49382129;182619;ES1140001.1870;1.0;S;4030;4030;;Queirogais secos europeos;1654.49382129
Vila de Cruces;MIRÓN SEIXAS;182545;104762;ES1140001.1870;UA421;3.37329021108;UA400;1654.49382129;182620;ES1140001.1870;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;1654.49382129
Vila de Cruces;MIRÓN SEIXAS;183072;104758;ES1140001.2098;UA520;11.0635480937;UA500;1778.46402067;183151;ES1140001.2098;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1778.46402067
Vila de Cruces;MIRÓN SEIXAS;183073;104758;ES1140001.2098;UA520;11.0635480937;UA500;1778.46402067;183157;ES1140001.2098;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1778.46402067
Vila de Cruces;MIRÓN SEIXAS;183074;104758;ES1140001.2098;UA520;11.0635480937;UA500;1778.46402067;183156;ES1140001.2098;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1778.46402067
Vila de Cruces;MIRÓN SEIXAS;183075;104758;ES1140001.2098;UA520;11.0635480937;UA500;1778.46402067;183155;ES1140001.2098;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;1778.46402067
Vila de Cruces;MIRÓN SEIXAS;183076;104758;ES1140001.2098;UA520;11.0635480937;UA500;1778.46402067;183154;ES1140001.2098;1.0;S;4030;4030;;Queirogais secos europeos;1778.46402067
Vila de Cruces;MIRÓN SEIXAS;183077;104758;ES1140001.2098;UA520;11.0635480937;UA500;1778.46402067;183153;ES1140001.2098;1.0;S;6410;6410;;Prados con Molinia;1778.46402067
Vila de Cruces;MIRÓN SEIXAS;183078;104758;ES1140001.2098;UA520;11.0635480937;UA500;1778.46402067;183150;ES1140001.2098;4.0;V;6510;6510;;Prados de sega de baixa altitude;1778.46402067
Vila de Cruces;MIRÓN SEIXAS;183079;104758;ES1140001.2098;UA520;11.0635480937;UA500;1778.46402067;183149;ES1140001.2098;1.0;V;6510;6510;;Prados de sega de baixa altitude;1778.46402067
Vila de Cruces;MIRÓN SEIXAS;183080;104758;ES1140001.2098;UA520;11.0635480937;UA500;1778.46402067;183152;ES1140001.2098;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1778.46402067
Vila de Cruces;MIRÓN SEIXAS;183081;104760;ES1140001.2100;UA520;41.4632535037;UA500;6648.31709104;183167;ES1140001.2100;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;6648.31709104
Vila de Cruces;MIRÓN SEIXAS;183082;104760;ES1140001.2100;UA520;41.4632535037;UA500;6648.31709104;183158;ES1140001.2100;1.0;V;6510;6510;;Prados de sega de baixa altitude;6648.31709104
Vila de Cruces;MIRÓN SEIXAS;183083;104760;ES1140001.2100;UA520;41.4632535037;UA500;6648.31709104;183159;ES1140001.2100;4.0;V;6510;6510;;Prados de sega de baixa altitude;6648.31709104
Vila de Cruces;MIRÓN SEIXAS;183084;104760;ES1140001.2100;UA520;41.4632535037;UA500;6648.31709104;183160;ES1140001.2100;1.0;S;3260;3260;;Ríos dos pisos basal a montano;6648.31709104
Vila de Cruces;MIRÓN SEIXAS;183085;104760;ES1140001.2100;UA520;41.4632535037;UA500;6648.31709104;183161;ES1140001.2100;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6648.31709104
Vila de Cruces;MIRÓN SEIXAS;183086;104760;ES1140001.2100;UA520;41.4632535037;UA500;6648.31709104;183162;ES1140001.2100;1.0;S;6410;6410;;Prados con Molinia;6648.31709104
Vila de Cruces;MIRÓN SEIXAS;183087;104760;ES1140001.2100;UA520;41.4632535037;UA500;6648.31709104;183163;ES1140001.2100;1.0;S;4030;4030;;Queirogais secos europeos;6648.31709104
Vila de Cruces;MIRÓN SEIXAS;183088;104760;ES1140001.2100;UA520;41.4632535037;UA500;6648.31709104;183164;ES1140001.2100;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;6648.31709104
Vila de Cruces;MIRÓN SEIXAS;183089;104760;ES1140001.2100;UA520;41.4632535037;UA500;6648.31709104;183165;ES1140001.2100;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;6648.31709104
Vila de Cruces;MIRÓN SEIXAS;183090;104760;ES1140001.2100;UA520;41.4632535037;UA500;6648.31709104;183166;ES1140001.2100;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;6648.31709104
Vila de Cruces;MIRÓN SEIXAS;183144;104759;ES1140001.2119;UA220;0.162878741131;UA200;552.199441885;183221;ES1140001.2119;5.0;P;3260;3260;;Ríos dos pisos basal a montano;552.199441885
Vila de Cruces;MIRÓN SEIXAS;183145;104759;ES1140001.2119;UA220;0.162878741131;UA200;552.199441885;183222;ES1140001.2119;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;552.199441885
Vila de Cruces;MIRÓN SEIXAS;183146;104759;ES1140001.2119;UA220;0.162878741131;UA200;552.199441885;183223;ES1140001.2119;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;552.199441885
Vila de Cruces;MIRÓN SEIXAS;183147;104761;ES1140001.2120;UA421;0.920774097941;UA400;906.652827174;183224;ES1140001.2120;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;906.652827174
Vila de Cruces;MIRÓN SEIXAS;183148;104761;ES1140001.2120;UA421;0.920774097941;UA400;906.652827174;183225;ES1140001.2120;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;906.652827174
