concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10182;11360;ES1110005.0091;UA161;7.77574883553;UA100;5517.68928295;10250;ES1110005.0091;5.0;P;1230;1230;;Cantís con vexetación das costas atlánticas e bálticas;5517.68928295
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10183;11360;ES1110005.0091;UA161;7.77574883553;UA100;5517.68928295;10251;ES1110005.0091;1.0;V;1170;1170;;Arrecifes;5517.68928295
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10184;11360;ES1110005.0091;UA161;7.77574883553;UA100;5517.68928295;10252;ES1110005.0091;1.0;V;1170;1170;;Arrecifes;5517.68928295
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10185;11360;ES1110005.0091;UA161;7.77574883553;UA100;5517.68928295;10253;ES1110005.0091;1.0;V;8330;8330;;Furnas mariñas;5517.68928295
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10186;11360;ES1110005.0091;UA161;7.77574883553;UA100;5517.68928295;10254;ES1110005.0091;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;5517.68928295
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10187;11360;ES1110005.0091;UA161;7.77574883553;UA100;5517.68928295;10255;ES1110005.0091;1.0;V;7220*;7220;X;Mananciais petrificantes con formación de “tuf” (Cratoneurion);5517.68928295
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10803;11585;ES1110005.0324;UA162;0.441232812494;UA100;312.786962147;10872;ES1110005.0324;5.0;V;4030;4030;;Queirogais secos europeos;312.786962147
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10804;11585;ES1110005.0324;UA162;0.441232812494;UA100;312.786962147;10871;ES1110005.0324;5.0;P;4030;4030;;Queirogais secos europeos;312.786962147
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10805;11586;ES1110005.0325;UA162;32.6964304986;UA100;8601.07840674;10877;ES1110005.0325;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;8601.07840674
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10806;11586;ES1110005.0325;UA162;32.6964304986;UA100;8601.07840674;10876;ES1110005.0325;5.0;V;4030;4030;;Queirogais secos europeos;8601.07840674
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10807;11586;ES1110005.0325;UA162;32.6964304986;UA100;8601.07840674;10875;ES1110005.0325;2.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;8601.07840674
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10808;11586;ES1110005.0325;UA162;32.6964304986;UA100;8601.07840674;10873;ES1110005.0325;5.0;P;4030;4030;;Queirogais secos europeos;8601.07840674
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10809;11586;ES1110005.0325;UA162;32.6964304986;UA100;8601.07840674;10874;ES1110005.0325;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;8601.07840674
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10817;11588;ES1110005.0327;UA162;18.0138049346;UA100;4072.22657183;10888;ES1110005.0327;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4072.22657183
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10818;11588;ES1110005.0327;UA162;18.0138049346;UA100;4072.22657183;10885;ES1110005.0327;5.0;P;4030;4030;;Queirogais secos europeos;4072.22657183
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10819;11588;ES1110005.0327;UA162;18.0138049346;UA100;4072.22657183;10886;ES1110005.0327;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;4072.22657183
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;10820;11588;ES1110005.0327;UA162;18.0138049346;UA100;4072.22657183;10887;ES1110005.0327;5.0;V;4030;4030;;Queirogais secos europeos;4072.22657183
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12173;12098;ES1110005.0874;UA162;31.8748507813;UA100;9263.53538087;12241;ES1110005.0874;5.0;P;4030;4030;;Queirogais secos europeos;9263.53538087
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12174;12098;ES1110005.0874;UA162;31.8748507813;UA100;9263.53538087;12246;ES1110005.0874;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;9263.53538087
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12175;12098;ES1110005.0874;UA162;31.8748507813;UA100;9263.53538087;12245;ES1110005.0874;1.0;V;4030;4030;;Queirogais secos europeos;9263.53538087
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12176;12098;ES1110005.0874;UA162;31.8748507813;UA100;9263.53538087;12244;ES1110005.0874;1.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;9263.53538087
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12177;12098;ES1110005.0874;UA162;31.8748507813;UA100;9263.53538087;12242;ES1110005.0874;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;9263.53538087
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12178;12098;ES1110005.0874;UA162;31.8748507813;UA100;9263.53538087;12247;ES1110005.0874;1.0;V;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;9263.53538087
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12179;12098;ES1110005.0874;UA162;31.8748507813;UA100;9263.53538087;12243;ES1110005.0874;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;9263.53538087
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12248;12113;ES1110005.0892;UA162;9.49174921876;UA100;2015.34374991;12316;ES1110005.0892;5.0;P;4030;4030;;Queirogais secos europeos;2015.34374991
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12249;12113;ES1110005.0892;UA162;9.49174921876;UA100;2015.34374991;12317;ES1110005.0892;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2015.34374991
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12250;12113;ES1110005.0892;UA162;9.49174921876;UA100;2015.34374991;12318;ES1110005.0892;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;2015.34374991
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12251;12113;ES1110005.0892;UA162;9.49174921876;UA100;2015.34374991;12319;ES1110005.0892;1.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2015.34374991
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12252;12113;ES1110005.0892;UA162;9.49174921876;UA100;2015.34374991;12320;ES1110005.0892;1.0;V;4030;4030;;Queirogais secos europeos;2015.34374991
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12253;12113;ES1110005.0892;UA162;9.49174921876;UA100;2015.34374991;12321;ES1110005.0892;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2015.34374991
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12352;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12420;ES1110005.0914;5.0;P;4030;4030;;Queirogais secos europeos;11993.8588243
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12353;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12421;ES1110005.0914;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;11993.8588243
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12354;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12422;ES1110005.0914;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;11993.8588243
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12355;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12423;ES1110005.0914;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;11993.8588243
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12356;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12424;ES1110005.0914;1.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;11993.8588243
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12357;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12425;ES1110005.0914;1.0;V;4030;4030;;Queirogais secos europeos;11993.8588243
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12358;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12426;ES1110005.0914;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;11993.8588243
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12396;12144;ES1110005.0923;UA162;18.8616602637;UA100;4091.34403355;12469;ES1110005.0923;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4091.34403355
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12397;12144;ES1110005.0923;UA162;18.8616602637;UA100;4091.34403355;12470;ES1110005.0923;1.0;V;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;4091.34403355
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12398;12144;ES1110005.0923;UA162;18.8616602637;UA100;4091.34403355;12468;ES1110005.0923;1.0;V;4030;4030;;Queirogais secos europeos;4091.34403355
Vimianzo;Parque Eólico Pena Forcada Modificado Num1;12399;12144;ES1110005.0923;UA162;18.8616602637;UA100;4091.34403355;12467;ES1110005.0923;1.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4091.34403355
