concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Xove;Parque Eólico Buio;101995;67752;ES1120015.2115;UA631;24.1118383716;UA600;4947.85929054;102063;ES1120015.2115;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4947.85929054
Xove;Parque Eólico Buio;102212;67803;ES1120015.2205;UA420;9.74403814768;UA400;2981.86292034;102281;ES1120015.2205;1.0;V;9380;9380;;Bosques de Ilex aquifolium;2981.86292034
Xove;Parque Eólico Buio;102213;67803;ES1120015.2205;UA420;9.74403814768;UA400;2981.86292034;102280;ES1120015.2205;5.0;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;2981.86292034
Xove;Parque Eólico Buio;102220;68925;ES1120015.2212;UA240;50.5497140478;UA200;3829.58734415;102288;ES1120015.2212;5.0;P;7120;7120;;Turbeiras altas degradadas;3829.58734415
Xove;Parque Eólico Buio;102221;68925;ES1120015.2212;UA240;50.5497140478;UA200;3829.58734415;102289;ES1120015.2212;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;3829.58734415
Xove;Parque Eólico Buio,Parque Eólico Rioboo;102004;68953;ES1120015.2123;UA230;197.699549069;UA200;21330.5122962;102072;ES1120015.2123;5.0;V;7140;7140;;Turbeiras de transición e inllós;21330.5122962
Xove;Parque Eólico Buio,Parque Eólico Rioboo;102916;68951;ES1120015.2442;UA630;304.199045374;UA600;22785.0687975;102984;ES1120015.2442;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;22785.0687975
Xove;Parque Eólico Buio,Parque Eólico Rioboo;105980;68930;ES1120015.3451;UA230;188.022693333;UA200;29843.4144876;106047;ES1120015.3451;5.0;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);29843.4144876
Xove;Parque Eólico Buio,Parque Eólico Rioboo;105992;68923;ES1120015.3454;UA320;3.52607792464;UA300;783.028957937;106059;ES1120015.3454;5.0;V;4030;4030;;Queirogais secos europeos;783.028957937
Xove;Parque Eólico Buio,Parque Eólico Rioboo;105994;68922;ES1120015.3455;UA320;14.2929981334;UA300;1881.82185234;106062;ES1120015.3455;2.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1881.82185234
Xove;"Parque Eólico Buio,Poligonal P.E PIAGO
,Parque Eólico Rioboo";102214;67869;ES1120015.2207;UA631;138.946919761;UA600;9855.52799341;102282;ES1120015.2207;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;9855.52799341
Xove;Parque Eólico Rioboo;88521;58340;ES1120009.0029;UA532;0.114023486259;UA500;176.981060299;88589;ES1120009.0029;5.0;V;6510;6510;;Prados de sega de baixa altitude;176.981060299
Xove;Parque Eólico Rioboo;88522;58340;ES1120009.0029;UA532;0.114023486259;UA500;176.981060299;88590;ES1120009.0029;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;176.981060299
Xove;Parque Eólico Rioboo;88523;58341;ES1120009.0030;UA532;0.257192218506;UA500;229.088831989;88591;ES1120009.0030;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;229.088831989
Xove;Parque Eólico Rioboo;88703;58432;ES1120009.0130;UA532;0.45937865281;UA500;335.159609357;88771;ES1120009.0130;5.0;V;6510;6510;;Prados de sega de baixa altitude;335.159609357
Xove;Parque Eólico Rioboo;88704;58432;ES1120009.0130;UA532;0.45937865281;UA500;335.159609357;88772;ES1120009.0130;1.0;S;6410;6410;;Prados con Molinia;335.159609357
Xove;Parque Eólico Rioboo;88708;58434;ES1120009.0133;UA532;11.9203626975;UA500;2527.0327669;88777;ES1120009.0133;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2527.0327669
Xove;Parque Eólico Rioboo;88709;58434;ES1120009.0133;UA532;11.9203626975;UA500;2527.0327669;88776;ES1120009.0133;5.0;V;6510;6510;;Prados de sega de baixa altitude;2527.0327669
