concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Alfoz;3;98198;67034;ES1120015.0618;UA320;4.70037958509;UA300;1295.48211435;98272;ES1120015.0618;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1295.48211435
Alfoz;3;98199;67034;ES1120015.0618;UA320;4.70037958509;UA300;1295.48211435;98273;ES1120015.0618;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1295.48211435
Alfoz;3;98200;67034;ES1120015.0618;UA320;4.70037958509;UA300;1295.48211435;98271;ES1120015.0618;1;V;4030;4030;;Queirogais secos europeos;1295.48211435
Alfoz;3;98201;67034;ES1120015.0618;UA320;4.70037958509;UA300;1295.48211435;98270;ES1120015.0618;1;V;4030;4030;;Queirogais secos europeos;1295.48211435
Alfoz;3;98202;67034;ES1120015.0618;UA320;4.70037958509;UA300;1295.48211435;98268;ES1120015.0618;1;V;8310;8310;;Covas non explotadas polo turismo;1295.48211435
Alfoz;3;98203;67034;ES1120015.0618;UA320;4.70037958509;UA300;1295.48211435;98267;ES1120015.0618;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1295.48211435
Alfoz;3;98204;67034;ES1120015.0618;UA320;4.70037958509;UA300;1295.48211435;98266;ES1120015.0618;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1295.48211435
Alfoz;3;98205;67034;ES1120015.0618;UA320;4.70037958509;UA300;1295.48211435;98269;ES1120015.0618;2;V;4030;4030;;Queirogais secos europeos;1295.48211435
Alfoz;3;98253;67039;ES1120015.0629;UA320;16.0118010649;UA300;3212.59935041;98321;ES1120015.0629;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;3212.59935041
Alfoz;3;98254;67039;ES1120015.0629;UA320;16.0118010649;UA300;3212.59935041;98322;ES1120015.0629;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;3212.59935041
Alfoz;3;98255;67039;ES1120015.0629;UA320;16.0118010649;UA300;3212.59935041;98323;ES1120015.0629;1;V;8310;8310;;Covas non explotadas polo turismo;3212.59935041
Alfoz;3;98256;67039;ES1120015.0629;UA320;16.0118010649;UA300;3212.59935041;98324;ES1120015.0629;2;V;4030;4030;;Queirogais secos europeos;3212.59935041
