concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Beariz;50;201593;119504;ES1140013.0677;UA320;1291.46888081;UA300;96319.8899917;201602;ES1140013.0677;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;96319.8899917
Beariz;50;201594;119504;ES1140013.0677;UA320;1291.46888081;UA300;96319.8899917;201608;ES1140013.0677;4;V;4030;4030;;Queirogais secos europeos;96319.8899917
Beariz;50;201595;119504;ES1140013.0677;UA320;1291.46888081;UA300;96319.8899917;201611;ES1140013.0677;1;S;3260;3260;;Ríos dos pisos basal a montano;96319.8899917
Beariz;50;201596;119504;ES1140013.0677;UA320;1291.46888081;UA300;96319.8899917;201610;ES1140013.0677;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;96319.8899917
Beariz;50;201597;119504;ES1140013.0677;UA320;1291.46888081;UA300;96319.8899917;201609;ES1140013.0677;2;V;4030;4030;;Queirogais secos europeos;96319.8899917
Beariz;50;201598;119504;ES1140013.0677;UA320;1291.46888081;UA300;96319.8899917;201607;ES1140013.0677;1;V;4030;4030;;Queirogais secos europeos;96319.8899917
Beariz;50;201599;119504;ES1140013.0677;UA320;1291.46888081;UA300;96319.8899917;201606;ES1140013.0677;1;V;4030;4030;;Queirogais secos europeos;96319.8899917
Beariz;50;201600;119504;ES1140013.0677;UA320;1291.46888081;UA300;96319.8899917;201605;ES1140013.0677;1;V;8310;8310;;Covas non explotadas polo turismo;96319.8899917
Beariz;50;201601;119504;ES1140013.0677;UA320;1291.46888081;UA300;96319.8899917;201603;ES1140013.0677;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;96319.8899917
Beariz;50;201602;119504;ES1140013.0677;UA320;1291.46888081;UA300;96319.8899917;201604;ES1140013.0677;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;96319.8899917
Beariz;4;201603;119080;ES1140013.0679;UA320;134.848237624;UA300;15642.4845528;201616;ES1140013.0679;1;V;4030;4030;;Queirogais secos europeos;15642.4845528
Beariz;4;201604;119080;ES1140013.0679;UA320;134.848237624;UA300;15642.4845528;201618;ES1140013.0679;4;V;4030;4030;;Queirogais secos europeos;15642.4845528
