concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Camariñas;2;10987;11627;ES1110005.0367;UA162;8.17889320134;UA100;1154.96470447;11057;ES1110005.0367;1;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1154.96470447
Camariñas;2;10988;11627;ES1110005.0367;UA162;8.17889320134;UA100;1154.96470447;11062;ES1110005.0367;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1154.96470447
Camariñas;2;10989;11627;ES1110005.0367;UA162;8.17889320134;UA100;1154.96470447;11061;ES1110005.0367;3;V;2150*;2150;X;Dunas fixas descalcificadas atlánticas (Calluno-Ulicetea);1154.96470447
Camariñas;2;10990;11627;ES1110005.0367;UA162;8.17889320134;UA100;1154.96470447;11060;ES1110005.0367;1;V;2260;2260;;Dunas con vexetación esclerófila do Cisto-Lavanduletalia;1154.96470447
Camariñas;2;10991;11627;ES1110005.0367;UA162;8.17889320134;UA100;1154.96470447;11058;ES1110005.0367;1;V;4030;4030;;Queirogais secos europeos;1154.96470447
Camariñas;2;10992;11627;ES1110005.0367;UA162;8.17889320134;UA100;1154.96470447;11056;ES1110005.0367;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1154.96470447
Camariñas;2;10993;11627;ES1110005.0367;UA162;8.17889320134;UA100;1154.96470447;11055;ES1110005.0367;5;P;4030;4030;;Queirogais secos europeos;1154.96470447
Camariñas;2;10994;11627;ES1110005.0367;UA162;8.17889320134;UA100;1154.96470447;11059;ES1110005.0367;4;V;4030;4030;;Queirogais secos europeos;1154.96470447
Camariñas;4;11769;11946;ES1110005.0715;UA162;231.974280159;UA100;46654.6393254;11839;ES1110005.0715;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;46654.6393254
Camariñas;4;11770;11946;ES1110005.0715;UA162;231.974280159;UA100;46654.6393254;11844;ES1110005.0715;1;V;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;46654.6393254
Camariñas;4;11771;11946;ES1110005.0715;UA162;231.974280159;UA100;46654.6393254;11843;ES1110005.0715;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;46654.6393254
Camariñas;4;11772;11946;ES1110005.0715;UA162;231.974280159;UA100;46654.6393254;11842;ES1110005.0715;3;V;4030;4030;;Queirogais secos europeos;46654.6393254
Camariñas;4;11773;11946;ES1110005.0715;UA162;231.974280159;UA100;46654.6393254;11840;ES1110005.0715;2;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;46654.6393254
Camariñas;4;11774;11946;ES1110005.0715;UA162;231.974280159;UA100;46654.6393254;11838;ES1110005.0715;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;46654.6393254
Camariñas;4;11775;11946;ES1110005.0715;UA162;231.974280159;UA100;46654.6393254;11837;ES1110005.0715;5;P;4030;4030;;Queirogais secos europeos;46654.6393254
Camariñas;4;11776;11946;ES1110005.0715;UA162;231.974280159;UA100;46654.6393254;11841;ES1110005.0715;1;V;4030;4030;;Queirogais secos europeos;46654.6393254
Camariñas;1;12352;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12420;ES1110005.0914;5;P;4030;4030;;Queirogais secos europeos;11993.8588243
Camariñas;1;12353;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12421;ES1110005.0914;5;V;8230;8230;;Rochedos silíceos con vexetación pioneira;11993.8588243
Camariñas;1;12354;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12422;ES1110005.0914;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;11993.8588243
Camariñas;1;12355;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12423;ES1110005.0914;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;11993.8588243
Camariñas;1;12356;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12424;ES1110005.0914;1;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;11993.8588243
Camariñas;1;12357;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12425;ES1110005.0914;1;V;4030;4030;;Queirogais secos europeos;11993.8588243
Camariñas;1;12358;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12426;ES1110005.0914;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;11993.8588243
Camariñas;2;12756;12209;ES1110005.0988;UA320;24.4292203125;UA300;5185.94799082;12824;ES1110005.0988;5;V;8230;8230;;Rochedos silíceos con vexetación pioneira;5185.94799082
Camariñas;2;12757;12209;ES1110005.0988;UA320;24.4292203125;UA300;5185.94799082;12825;ES1110005.0988;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;5185.94799082
Camariñas;2;12758;12209;ES1110005.0988;UA320;24.4292203125;UA300;5185.94799082;12826;ES1110005.0988;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;5185.94799082
Camariñas;2;12759;12209;ES1110005.0988;UA320;24.4292203125;UA300;5185.94799082;12827;ES1110005.0988;1;V;8310;8310;;Covas non explotadas polo turismo;5185.94799082
Camariñas;2;12760;12209;ES1110005.0988;UA320;24.4292203125;UA300;5185.94799082;12828;ES1110005.0988;1;V;4030;4030;;Queirogais secos europeos;5185.94799082
