concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Carballeda de Valdeorras;4;168410;101849;ES1130007.1310;UA320;15.1253864968;UA300;1909.53189207;168489;ES1130007.1310;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1909.53189207
Carballeda de Valdeorras;4;168411;101849;ES1130007.1310;UA320;15.1253864968;UA300;1909.53189207;168496;ES1130007.1310;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1909.53189207
Carballeda de Valdeorras;4;168412;101849;ES1130007.1310;UA320;15.1253864968;UA300;1909.53189207;168495;ES1130007.1310;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1909.53189207
Carballeda de Valdeorras;4;168413;101849;ES1130007.1310;UA320;15.1253864968;UA300;1909.53189207;168494;ES1130007.1310;1;S;7110*;7110;X;Turbeiras altas activas;1909.53189207
Carballeda de Valdeorras;4;168414;101849;ES1130007.1310;UA320;15.1253864968;UA300;1909.53189207;168493;ES1130007.1310;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1909.53189207
Carballeda de Valdeorras;4;168415;101849;ES1130007.1310;UA320;15.1253864968;UA300;1909.53189207;168492;ES1130007.1310;2;V;4030;4030;;Queirogais secos europeos;1909.53189207
Carballeda de Valdeorras;4;168416;101849;ES1130007.1310;UA320;15.1253864968;UA300;1909.53189207;168490;ES1130007.1310;1;V;8310;8310;;Covas non explotadas polo turismo;1909.53189207
Carballeda de Valdeorras;4;168417;101849;ES1130007.1310;UA320;15.1253864968;UA300;1909.53189207;168488;ES1130007.1310;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;1909.53189207
Carballeda de Valdeorras;4;168418;101849;ES1130007.1310;UA320;15.1253864968;UA300;1909.53189207;168487;ES1130007.1310;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1909.53189207
Carballeda de Valdeorras;4;168419;101849;ES1130007.1310;UA320;15.1253864968;UA300;1909.53189207;168491;ES1130007.1310;2;V;4030;4030;;Queirogais secos europeos;1909.53189207
Carballeda de Valdeorras;2;168456;101850;ES1130007.1319;UA320;23.3264763449;UA300;2948.67974493;168542;ES1130007.1319;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2948.67974493
Carballeda de Valdeorras;2;168457;101850;ES1130007.1319;UA320;23.3264763449;UA300;2948.67974493;168533;ES1130007.1319;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2948.67974493
Carballeda de Valdeorras;2;168458;101850;ES1130007.1319;UA320;23.3264763449;UA300;2948.67974493;168534;ES1130007.1319;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;2948.67974493
Carballeda de Valdeorras;2;168459;101850;ES1130007.1319;UA320;23.3264763449;UA300;2948.67974493;168535;ES1130007.1319;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2948.67974493
Carballeda de Valdeorras;2;168460;101850;ES1130007.1319;UA320;23.3264763449;UA300;2948.67974493;168536;ES1130007.1319;1;V;8310;8310;;Covas non explotadas polo turismo;2948.67974493
