concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Carballedo;1;87908;57968;ES1120008.0034;UA630;7.76986133937;UA600;2572.21581567;87976;ES1120008.0034;1;S;4030;4030;;Queirogais secos europeos;2572.21581567
Carballedo;1;87909;57968;ES1120008.0034;UA630;7.76986133937;UA600;2572.21581567;87977;ES1120008.0034;1;S;4030;4030;;Queirogais secos europeos;2572.21581567
Carballedo;3;87971;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88048;ES1120008.0070;1;S;3260;3260;;Ríos dos pisos basal a montano;46740.1354075
Carballedo;3;87972;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88049;ES1120008.0070;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;46740.1354075
Carballedo;3;87973;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88047;ES1120008.0070;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;46740.1354075
Carballedo;3;87974;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88046;ES1120008.0070;1;V;4030;4030;;Queirogais secos europeos;46740.1354075
Carballedo;3;87975;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88045;ES1120008.0070;1;V;4030;4030;;Queirogais secos europeos;46740.1354075
Carballedo;3;87976;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88043;ES1120008.0070;2;V;4030;4030;;Queirogais secos europeos;46740.1354075
Carballedo;3;87977;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88042;ES1120008.0070;1;V;8310;8310;;Covas non explotadas polo turismo;46740.1354075
Carballedo;3;87978;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88041;ES1120008.0070;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;46740.1354075
Carballedo;3;87979;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88040;ES1120008.0070;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;46740.1354075
Carballedo;3;87980;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88039;ES1120008.0070;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;46740.1354075
Carballedo;3;87981;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88044;ES1120008.0070;5;V;4030;4030;;Queirogais secos europeos;46740.1354075
Carballedo;1;88015;57997;ES1120008.0094;UA320;204.0069985;UA300;14790.9538787;88088;ES1120008.0094;1;V;4030;4030;;Queirogais secos europeos;14790.9538787
Carballedo;1;88016;57997;ES1120008.0094;UA320;204.0069985;UA300;14790.9538787;88091;ES1120008.0094;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;14790.9538787
Carballedo;1;88017;57997;ES1120008.0094;UA320;204.0069985;UA300;14790.9538787;88089;ES1120008.0094;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;14790.9538787
Carballedo;1;88018;57997;ES1120008.0094;UA320;204.0069985;UA300;14790.9538787;88087;ES1120008.0094;5;V;4030;4030;;Queirogais secos europeos;14790.9538787
Carballedo;1;88019;57997;ES1120008.0094;UA320;204.0069985;UA300;14790.9538787;88086;ES1120008.0094;1;V;8310;8310;;Covas non explotadas polo turismo;14790.9538787
Carballedo;1;88020;57997;ES1120008.0094;UA320;204.0069985;UA300;14790.9538787;88085;ES1120008.0094;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;14790.9538787
Carballedo;1;88021;57997;ES1120008.0094;UA320;204.0069985;UA300;14790.9538787;88084;ES1120008.0094;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;14790.9538787
Carballedo;1;88022;57997;ES1120008.0094;UA320;204.0069985;UA300;14790.9538787;88083;ES1120008.0094;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;14790.9538787
Carballedo;1;88023;57997;ES1120008.0094;UA320;204.0069985;UA300;14790.9538787;88090;ES1120008.0094;1;S;3260;3260;;Ríos dos pisos basal a montano;14790.9538787
Carballedo;6;88025;58079;ES1120008.0096;UA630;31.5377213164;UA600;5160.7371966;88093;ES1120008.0096;1;S;4030;4030;;Queirogais secos europeos;5160.7371966
Carballedo;6;88026;58079;ES1120008.0096;UA630;31.5377213164;UA600;5160.7371966;88094;ES1120008.0096;2;S;4030;4030;;Queirogais secos europeos;5160.7371966
