concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Carnota;14;22891;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22964;ES1110008.0034;1;S;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;38597.4804219
Carnota;14;22892;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22966;ES1110008.0034;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;38597.4804219
Carnota;14;22893;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22960;ES1110008.0034;5;V;4030;4030;;Queirogais secos europeos;38597.4804219
Carnota;14;22894;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22965;ES1110008.0034;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;38597.4804219
Carnota;14;22895;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22967;ES1110008.0034;1;S;6510;6510;;Prados de sega de baixa altitude;38597.4804219
Carnota;14;22896;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22963;ES1110008.0034;1;S;7140;7140;;Turbeiras de transición e inllós;38597.4804219
Carnota;14;22897;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22961;ES1110008.0034;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;38597.4804219
Carnota;14;22898;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22959;ES1110008.0034;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;38597.4804219
Carnota;14;22899;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22962;ES1110008.0034;1;S;7110*;7110;X;Turbeiras altas activas;38597.4804219
Carnota;32;23100;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23168;ES1110008.0181;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;52700.1994466
Carnota;32;23101;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23172;ES1110008.0181;1;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;52700.1994466
Carnota;32;23102;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23171;ES1110008.0181;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;52700.1994466
Carnota;32;23103;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23170;ES1110008.0181;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;52700.1994466
Carnota;32;23104;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23169;ES1110008.0181;5;V;4030;4030;;Queirogais secos europeos;52700.1994466
Carnota;1;27866;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27934;ES1110012.0073;5;P;4030;4030;;Queirogais secos europeos;10616.6662526
Carnota;1;27867;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27935;ES1110012.0073;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;10616.6662526
Carnota;1;27868;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27936;ES1110012.0073;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;10616.6662526
Carnota;1;27869;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27937;ES1110012.0073;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;10616.6662526
Carnota;1;27870;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27938;ES1110012.0073;3;V;4030;4030;;Queirogais secos europeos;10616.6662526
Carnota;1;27871;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27939;ES1110012.0073;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;10616.6662526
Carnota;1;27872;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27940;ES1110012.0073;1;S;8310;8310;;Covas non explotadas polo turismo;10616.6662526
Carnota;1;28207;24799;ES1110012.0218;UA631;40.5618879402;UA600;5480.48724168;28275;ES1110012.0218;3;S;4030;4030;;Queirogais secos europeos;5480.48724168
Carnota;1;28208;24799;ES1110012.0218;UA631;40.5618879402;UA600;5480.48724168;28276;ES1110012.0218;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;5480.48724168
