concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Cee;2;10600;11527;ES1110005.0265;UA162;49.4806273141;UA100;11839.7596022;10668;ES1110005.0265;5;P;4030;4030;;Queirogais secos europeos;11839.7596022
Cee;2;10601;11527;ES1110005.0265;UA162;49.4806273141;UA100;11839.7596022;10669;ES1110005.0265;5;V;4030;4030;;Queirogais secos europeos;11839.7596022
Cee;2;10602;11527;ES1110005.0265;UA162;49.4806273141;UA100;11839.7596022;10670;ES1110005.0265;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;11839.7596022
Cee;1;22850;20661;ES1110008.0002;UA320;29.1671636142;UA300;3014.73763451;22918;ES1110008.0002;5;V;4030;4030;;Queirogais secos europeos;3014.73763451
Cee;14;22891;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22964;ES1110008.0034;1;S;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;38597.4804219
Cee;14;22892;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22966;ES1110008.0034;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;38597.4804219
Cee;14;22893;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22960;ES1110008.0034;5;V;4030;4030;;Queirogais secos europeos;38597.4804219
Cee;14;22894;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22965;ES1110008.0034;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;38597.4804219
Cee;14;22895;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22967;ES1110008.0034;1;S;6510;6510;;Prados de sega de baixa altitude;38597.4804219
Cee;14;22896;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22963;ES1110008.0034;1;S;7140;7140;;Turbeiras de transición e inllós;38597.4804219
Cee;14;22897;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22961;ES1110008.0034;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;38597.4804219
Cee;14;22898;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22959;ES1110008.0034;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;38597.4804219
Cee;14;22899;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22962;ES1110008.0034;1;S;7110*;7110;X;Turbeiras altas activas;38597.4804219
