concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Ferrol;2;3680;2833;ES1110002.0357;UA162;31.4230109375;UA100;4896.57885347;3748;ES1110002.0357;5;P;4030;4030;;Queirogais secos europeos;4896.57885347
Ferrol;2;3681;2833;ES1110002.0357;UA162;31.4230109375;UA100;4896.57885347;3749;ES1110002.0357;5;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4896.57885347
Ferrol;2;3682;2833;ES1110002.0357;UA162;31.4230109375;UA100;4896.57885347;3750;ES1110002.0357;2;V;4030;4030;;Queirogais secos europeos;4896.57885347
Ferrol;2;4041;3151;ES1110002.0518;UA162;3.37199843746;UA100;853.951784077;4109;ES1110002.0518;5;P;4030;4030;;Queirogais secos europeos;853.951784077
Ferrol;2;4042;3151;ES1110002.0518;UA162;3.37199843746;UA100;853.951784077;4112;ES1110002.0518;1;V;4030;4030;;Queirogais secos europeos;853.951784077
Ferrol;2;4043;3151;ES1110002.0518;UA162;3.37199843746;UA100;853.951784077;4110;ES1110002.0518;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;853.951784077
Ferrol;2;4044;3151;ES1110002.0518;UA162;3.37199843746;UA100;853.951784077;4111;ES1110002.0518;5;V;4030;4030;;Queirogais secos europeos;853.951784077
Ferrol;2;4209;3160;ES1110002.0570;UA162;8.84191093751;UA100;1687.48493759;4280;ES1110002.0570;1;V;4030;4030;;Queirogais secos europeos;1687.48493759
Ferrol;2;4210;3160;ES1110002.0570;UA162;8.84191093751;UA100;1687.48493759;4277;ES1110002.0570;5;P;4030;4030;;Queirogais secos europeos;1687.48493759
Ferrol;2;4211;3160;ES1110002.0570;UA162;8.84191093751;UA100;1687.48493759;4278;ES1110002.0570;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1687.48493759
Ferrol;2;4212;3160;ES1110002.0570;UA162;8.84191093751;UA100;1687.48493759;4279;ES1110002.0570;5;V;4030;4030;;Queirogais secos europeos;1687.48493759
Ferrol;2;4431;3897;ES1110002.0642;UA320;108.374546036;UA300;18323.1979167;4500;ES1110002.0642;1;V;8310;8310;;Covas non explotadas polo turismo;18323.1979167
Ferrol;2;4432;3897;ES1110002.0642;UA320;108.374546036;UA300;18323.1979167;4503;ES1110002.0642;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;18323.1979167
Ferrol;2;4433;3897;ES1110002.0642;UA320;108.374546036;UA300;18323.1979167;4499;ES1110002.0642;3;V;8230;8230;;Rochedos silíceos con vexetación pioneira;18323.1979167
Ferrol;2;4434;3897;ES1110002.0642;UA320;108.374546036;UA300;18323.1979167;4501;ES1110002.0642;4;V;4030;4030;;Queirogais secos europeos;18323.1979167
Ferrol;2;4435;3897;ES1110002.0642;UA320;108.374546036;UA300;18323.1979167;4502;ES1110002.0642;1;V;4030;4030;;Queirogais secos europeos;18323.1979167
Ferrol;4;5333;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5406;ES1110002.1699;2;V;4030;4030;;Queirogais secos europeos;68312.2748712
Ferrol;4;5334;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5407;ES1110002.1699;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;68312.2748712
Ferrol;4;5335;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5405;ES1110002.1699;5;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;68312.2748712
Ferrol;4;5336;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5404;ES1110002.1699;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;68312.2748712
Ferrol;4;5337;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5403;ES1110002.1699;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;68312.2748712
Ferrol;4;5338;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5402;ES1110002.1699;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;68312.2748712
Ferrol;4;5339;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5401;ES1110002.1699;5;P;4030;4030;;Queirogais secos europeos;68312.2748712
Ferrol;4;5340;3767;ES1110002.1699;UA162;665.654666556;UA100;68312.2748712;5408;ES1110002.1699;1;V;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;68312.2748712
Ferrol;10;5404;3252;ES1110002.1730;UA310;82.5482337281;UA300;20272.0259453;5474;ES1110002.1730;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;20272.0259453
Ferrol;10;5405;3252;ES1110002.1730;UA310;82.5482337281;UA300;20272.0259453;5472;ES1110002.1730;5;P;4030;4030;;Queirogais secos europeos;20272.0259453
Ferrol;10;5406;3252;ES1110002.1730;UA310;82.5482337281;UA300;20272.0259453;5473;ES1110002.1730;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;20272.0259453
