concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Melide;10;31441;26784;ES1110014.0784;UA310;1122.14205139;UA300;53303.033919;31509;ES1110014.0784;5;P;4030;4030;;Queirogais secos europeos;53303.033919
Melide;10;31442;26784;ES1110014.0784;UA310;1122.14205139;UA300;53303.033919;31510;ES1110014.0784;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;53303.033919
Melide;10;31443;26784;ES1110014.0784;UA310;1122.14205139;UA300;53303.033919;31511;ES1110014.0784;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;53303.033919
Melide;10;31444;26784;ES1110014.0784;UA310;1122.14205139;UA300;53303.033919;31512;ES1110014.0784;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;53303.033919
Melide;10;31445;26784;ES1110014.0784;UA310;1122.14205139;UA300;53303.033919;31513;ES1110014.0784;1;S;7110*;7110;X;Turbeiras altas activas;53303.033919
Melide;10;31446;26784;ES1110014.0784;UA310;1122.14205139;UA300;53303.033919;31514;ES1110014.0784;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;53303.033919
Melide;12;31487;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31555;ES1110014.0806;5;P;4030;4030;;Queirogais secos europeos;54528.4293608
Melide;12;31488;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31556;ES1110014.0806;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;54528.4293608
Melide;12;31489;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31557;ES1110014.0806;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;54528.4293608
Melide;12;31490;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31558;ES1110014.0806;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;54528.4293608
Melide;12;31491;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31559;ES1110014.0806;1;S;7110*;7110;X;Turbeiras altas activas;54528.4293608
Melide;12;31492;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31560;ES1110014.0806;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;54528.4293608
Melide;8;32223;26947;ES1110014.1264;UA531;138.867826805;UA500;11709.4791122;32292;ES1110014.1264;2;V;6510;6510;;Prados de sega de baixa altitude;11709.4791122
Melide;8;32224;26947;ES1110014.1264;UA531;138.867826805;UA500;11709.4791122;32293;ES1110014.1264;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;11709.4791122
Melide;8;32225;26947;ES1110014.1264;UA531;138.867826805;UA500;11709.4791122;32294;ES1110014.1264;2;S;6410;6410;;Prados con Molinia;11709.4791122
Melide;8;32226;26947;ES1110014.1264;UA531;138.867826805;UA500;11709.4791122;32295;ES1110014.1264;2;S;6410;6410;;Prados con Molinia;11709.4791122
Melide;8;32227;26947;ES1110014.1264;UA531;138.867826805;UA500;11709.4791122;32291;ES1110014.1264;2;V;6410;6410;;Prados con Molinia;11709.4791122
