concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Mondoñedo;2;97041;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97113;ES1120015.0356;1;V;4030;4030;;Queirogais secos europeos;1456.64182117
Mondoñedo;2;97042;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97109;ES1120015.0356;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1456.64182117
Mondoñedo;2;97043;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97116;ES1120015.0356;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1456.64182117
Mondoñedo;2;97044;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97114;ES1120015.0356;1;V;4030;4030;;Queirogais secos europeos;1456.64182117
Mondoñedo;2;97045;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97112;ES1120015.0356;2;V;4030;4030;;Queirogais secos europeos;1456.64182117
Mondoñedo;2;97046;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97111;ES1120015.0356;1;V;8310;8310;;Covas non explotadas polo turismo;1456.64182117
Mondoñedo;2;97047;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97110;ES1120015.0356;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1456.64182117
Mondoñedo;2;97048;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97115;ES1120015.0356;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1456.64182117
Mondoñedo;1;97083;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97152;ES1120015.0365;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;593.58779649
Mondoñedo;1;97084;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97153;ES1120015.0365;1;V;8310;8310;;Covas non explotadas polo turismo;593.58779649
Mondoñedo;1;97085;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97154;ES1120015.0365;2;V;4030;4030;;Queirogais secos europeos;593.58779649
Mondoñedo;1;97086;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97155;ES1120015.0365;1;V;4030;4030;;Queirogais secos europeos;593.58779649
Mondoñedo;1;97087;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97156;ES1120015.0365;1;V;4030;4030;;Queirogais secos europeos;593.58779649
Mondoñedo;1;97088;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97157;ES1120015.0365;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;593.58779649
Mondoñedo;1;97089;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97158;ES1120015.0365;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;593.58779649
Mondoñedo;1;97090;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97151;ES1120015.0365;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;593.58779649
Mondoñedo;9;97955;69741;ES1120015.0557;UA270;104.266415712;UA200;23360.4707991;98028;ES1120015.0557;1;V;7110*;7110;X;Turbeiras altas activas;23360.4707991
Mondoñedo;9;97956;69741;ES1120015.0557;UA270;104.266415712;UA200;23360.4707991;98036;ES1120015.0557;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;23360.4707991
Mondoñedo;9;97957;69741;ES1120015.0557;UA270;104.266415712;UA200;23360.4707991;98035;ES1120015.0557;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;23360.4707991
Mondoñedo;9;97958;69741;ES1120015.0557;UA270;104.266415712;UA200;23360.4707991;98034;ES1120015.0557;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;23360.4707991
Mondoñedo;9;97959;69741;ES1120015.0557;UA270;104.266415712;UA200;23360.4707991;98033;ES1120015.0557;1;S;4030;4030;;Queirogais secos europeos;23360.4707991
Mondoñedo;9;97960;69741;ES1120015.0557;UA270;104.266415712;UA200;23360.4707991;98032;ES1120015.0557;1;V;3160;3160;;Lagos e charcas distróficos naturais;23360.4707991
Mondoñedo;9;97961;69741;ES1120015.0557;UA270;104.266415712;UA200;23360.4707991;98031;ES1120015.0557;1;V;7140;7140;;Turbeiras de transición e inllós;23360.4707991
Mondoñedo;9;97962;69741;ES1120015.0557;UA270;104.266415712;UA200;23360.4707991;98029;ES1120015.0557;1;V;7110*;7110;X;Turbeiras altas activas;23360.4707991
Mondoñedo;9;97963;69741;ES1120015.0557;UA270;104.266415712;UA200;23360.4707991;98027;ES1120015.0557;1;V;6230*;6230;X;Formacións herbáceas con Nardus;23360.4707991
Mondoñedo;9;97964;69741;ES1120015.0557;UA270;104.266415712;UA200;23360.4707991;98026;ES1120015.0557;1;V;7110*;7110;X;Turbeiras altas activas;23360.4707991
Mondoñedo;9;97965;69741;ES1120015.0557;UA270;104.266415712;UA200;23360.4707991;98025;ES1120015.0557;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;23360.4707991
Mondoñedo;9;97966;69741;ES1120015.0557;UA270;104.266415712;UA200;23360.4707991;98024;ES1120015.0557;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;23360.4707991
Mondoñedo;9;97967;69741;ES1120015.0557;UA270;104.266415712;UA200;23360.4707991;98023;ES1120015.0557;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;23360.4707991
Mondoñedo;9;97968;69741;ES1120015.0557;UA270;104.266415712;UA200;23360.4707991;98030;ES1120015.0557;1;V;7110*;7110;X;Turbeiras altas activas;23360.4707991
Mondoñedo;25;100015;69788;ES1120015.1150;UA270;1191.95386319;UA200;117734.870033;100093;ES1120015.1150;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;117734.870033
Mondoñedo;25;100016;69788;ES1120015.1150;UA270;1191.95386319;UA200;117734.870033;100097;ES1120015.1150;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;117734.870033
