concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Muras;3;96407;66984;ES1120015.0207;UA630;27.610339817;UA600;2131.18049592;96466;ES1120015.0207;1;S;7110*;7110;X;Turbeiras altas activas;2131.18049592
Muras;3;96408;66984;ES1120015.0207;UA630;27.610339817;UA600;2131.18049592;96467;ES1120015.0207;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2131.18049592
Muras;1;96409;66985;ES1120015.0208;UA320;0.678591243655;UA300;332.260240603;96471;ES1120015.0208;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;332.260240603
Muras;1;96410;66985;ES1120015.0208;UA320;0.678591243655;UA300;332.260240603;96469;ES1120015.0208;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;332.260240603
Muras;1;96411;66985;ES1120015.0208;UA320;0.678591243655;UA300;332.260240603;96468;ES1120015.0208;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;332.260240603
Muras;1;96412;66985;ES1120015.0208;UA320;0.678591243655;UA300;332.260240603;96470;ES1120015.0208;2;V;4030;4030;;Queirogais secos europeos;332.260240603
Muras;43;96425;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96577;ES1120015.0215;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;112112.603515
Muras;43;96426;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96487;ES1120015.0215;1;V;7110*;7110;X;Turbeiras altas activas;112112.603515
Muras;43;96427;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96574;ES1120015.0215;1;V;3160;3160;;Lagos e charcas distróficos naturais;112112.603515
Muras;43;96428;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96576;ES1120015.0215;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;112112.603515
Muras;43;96429;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96578;ES1120015.0215;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;112112.603515
Muras;43;96430;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96575;ES1120015.0215;1;S;4030;4030;;Queirogais secos europeos;112112.603515
Muras;43;96431;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96491;ES1120015.0215;1;V;7110*;7110;X;Turbeiras altas activas;112112.603515
Muras;43;96432;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96490;ES1120015.0215;1;V;7110*;7110;X;Turbeiras altas activas;112112.603515
Muras;43;96433;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96492;ES1120015.0215;1;V;7140;7140;;Turbeiras de transición e inllós;112112.603515
Muras;43;96434;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96489;ES1120015.0215;1;V;7110*;7110;X;Turbeiras altas activas;112112.603515
Muras;43;96435;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96486;ES1120015.0215;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;112112.603515
Muras;43;96436;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96485;ES1120015.0215;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;112112.603515
Muras;43;96437;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96484;ES1120015.0215;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;112112.603515
Muras;43;96438;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96488;ES1120015.0215;1;V;6230*;6230;X;Formacións herbáceas con Nardus;112112.603515
Muras;1;96439;66986;ES1120015.0216;UA532;0.570013151968;UA500;297.10807536;96579;ES1120015.0216;3;V;6510;6510;;Prados de sega de baixa altitude;297.10807536
Muras;1;96539;69825;ES1120015.0242;UA320;0.515151673729;UA300;336.843073066;96682;ES1120015.0242;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;336.843073066
Muras;1;96540;69825;ES1120015.0242;UA320;0.515151673729;UA300;336.843073066;96681;ES1120015.0242;2;V;4030;4030;;Queirogais secos europeos;336.843073066
