concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Ourol;16;88864;58520;ES1120009.0166;UA270;561.362461396;UA200;56639.5190235;88939;ES1120009.0166;1;V;7140;7140;;Turbeiras de transición e inllós;56639.5190235
Ourol;16;88865;58520;ES1120009.0166;UA270;561.362461396;UA200;56639.5190235;88944;ES1120009.0166;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;56639.5190235
Ourol;16;88866;58520;ES1120009.0166;UA270;561.362461396;UA200;56639.5190235;88945;ES1120009.0166;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;56639.5190235
Ourol;16;88867;58520;ES1120009.0166;UA270;561.362461396;UA200;56639.5190235;88943;ES1120009.0166;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;56639.5190235
Ourol;16;88868;58520;ES1120009.0166;UA270;561.362461396;UA200;56639.5190235;88942;ES1120009.0166;1;S;4030;4030;;Queirogais secos europeos;56639.5190235
Ourol;16;88869;58520;ES1120009.0166;UA270;561.362461396;UA200;56639.5190235;88941;ES1120009.0166;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;56639.5190235
Ourol;16;88870;58520;ES1120009.0166;UA270;561.362461396;UA200;56639.5190235;88940;ES1120009.0166;1;V;7120;7120;;Turbeiras altas degradadas;56639.5190235
Ourol;16;88871;58520;ES1120009.0166;UA270;561.362461396;UA200;56639.5190235;88938;ES1120009.0166;1;V;7110*;7110;X;Turbeiras altas activas;56639.5190235
Ourol;16;88872;58520;ES1120009.0166;UA270;561.362461396;UA200;56639.5190235;88937;ES1120009.0166;1;V;7110*;7110;X;Turbeiras altas activas;56639.5190235
Ourol;16;88873;58520;ES1120009.0166;UA270;561.362461396;UA200;56639.5190235;88936;ES1120009.0166;1;V;7110*;7110;X;Turbeiras altas activas;56639.5190235
Ourol;16;88874;58520;ES1120009.0166;UA270;561.362461396;UA200;56639.5190235;88935;ES1120009.0166;1;V;7110*;7110;X;Turbeiras altas activas;56639.5190235
Ourol;16;88875;58520;ES1120009.0166;UA270;561.362461396;UA200;56639.5190235;88934;ES1120009.0166;1;V;6230*;6230;X;Formacións herbáceas con Nardus;56639.5190235
Ourol;16;88876;58520;ES1120009.0166;UA270;561.362461396;UA200;56639.5190235;88932;ES1120009.0166;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;56639.5190235
Ourol;16;88877;58520;ES1120009.0166;UA270;561.362461396;UA200;56639.5190235;88933;ES1120009.0166;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;56639.5190235
Ourol;1;91971;62450;ES1120012.0438;UA631;113.820881523;UA600;9922.55516229;92042;ES1120012.0438;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;9922.55516229
Ourol;1;91972;62450;ES1120012.0438;UA631;113.820881523;UA600;9922.55516229;92039;ES1120012.0438;1;S;4030;4030;;Queirogais secos europeos;9922.55516229
Ourol;1;91973;62450;ES1120012.0438;UA631;113.820881523;UA600;9922.55516229;92040;ES1120012.0438;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;9922.55516229
Ourol;1;91974;62450;ES1120012.0438;UA631;113.820881523;UA600;9922.55516229;92041;ES1120012.0438;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;9922.55516229
Ourol;1;99374;68979;ES1120015.0927;UA320;0.647865282593;UA300;606.144338076;99442;ES1120015.0927;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;606.144338076
Ourol;1;99375;68979;ES1120015.0927;UA320;0.647865282593;UA300;606.144338076;99443;ES1120015.0927;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;606.144338076
Ourol;1;99376;68979;ES1120015.0927;UA320;0.647865282593;UA300;606.144338076;99444;ES1120015.0927;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;606.144338076
Ourol;4;99382;68978;ES1120015.0930;UA230;29.058197904;UA200;2737.9286667;99450;ES1120015.0930;5;P;7130;7130;;Turbeiras de cobertor (* para turbeiras activas);2737.9286667
Ourol;4;99383;68978;ES1120015.0930;UA230;29.058197904;UA200;2737.9286667;99451;ES1120015.0930;5;V;7140;7140;;Turbeiras de transición e inllós;2737.9286667
Ourol;2;99403;67148;ES1120015.0941;UA320;10.6697126012;UA300;2181.45649543;99473;ES1120015.0941;1;V;4030;4030;;Queirogais secos europeos;2181.45649543
Ourol;2;99404;67148;ES1120015.0941;UA320;10.6697126012;UA300;2181.45649543;99474;ES1120015.0941;1;V;4030;4030;;Queirogais secos europeos;2181.45649543
Ourol;2;99405;67148;ES1120015.0941;UA320;10.6697126012;UA300;2181.45649543;99471;ES1120015.0941;5;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;2181.45649543
Ourol;2;99406;67148;ES1120015.0941;UA320;10.6697126012;UA300;2181.45649543;99472;ES1120015.0941;1;V;4030;4030;;Queirogais secos europeos;2181.45649543
Ourol;3;99419;68977;ES1120015.0947;UA230;8.71688486775;UA200;1668.3631983;99487;ES1120015.0947;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);1668.3631983
Ourol;3;99420;68977;ES1120015.0947;UA230;8.71688486775;UA200;1668.3631983;99488;ES1120015.0947;1;V;3160;3160;;Lagos e charcas distróficos naturais;1668.3631983
Ourol;1;99453;69470;ES1120015.0957;UA230;15.1585044768;UA200;3941.28393729;99521;ES1120015.0957;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);3941.28393729
Ourol;1;99454;69470;ES1120015.0957;UA230;15.1585044768;UA200;3941.28393729;99522;ES1120015.0957;1;V;3160;3160;;Lagos e charcas distróficos naturais;3941.28393729
Ourol;1;99505;69484;ES1120015.0973;UA230;6.21180695978;UA200;1938.50163918;99573;ES1120015.0973;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);1938.50163918
Ourol;1;99506;69484;ES1120015.0973;UA230;6.21180695978;UA200;1938.50163918;99574;ES1120015.0973;1;V;3160;3160;;Lagos e charcas distróficos naturais;1938.50163918
Ourol;1;99524;69191;ES1120015.0977;UA320;2.71358218908;UA300;1242.48740461;99597;ES1120015.0977;1;V;4030;4030;;Queirogais secos europeos;1242.48740461
Ourol;1;99525;69191;ES1120015.0977;UA320;2.71358218908;UA300;1242.48740461;99594;ES1120015.0977;1;V;8310;8310;;Covas non explotadas polo turismo;1242.48740461
Ourol;1;99526;69191;ES1120015.0977;UA320;2.71358218908;UA300;1242.48740461;99599;ES1120015.0977;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1242.48740461
Ourol;1;99527;69191;ES1120015.0977;UA320;2.71358218908;UA300;1242.48740461;99598;ES1120015.0977;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1242.48740461
