concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
San Sadurniño;2;28680;24977;ES1110013.0142;UA320;37.3461107887;UA300;6878.68750095;28754;ES1110013.0142;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;6878.68750095
San Sadurniño;2;28681;24977;ES1110013.0142;UA320;37.3461107887;UA300;6878.68750095;28749;ES1110013.0142;1;V;8310;8310;;Covas non explotadas polo turismo;6878.68750095
San Sadurniño;2;28682;24977;ES1110013.0142;UA320;37.3461107887;UA300;6878.68750095;28750;ES1110013.0142;2;V;4030;4030;;Queirogais secos europeos;6878.68750095
San Sadurniño;2;28683;24977;ES1110013.0142;UA320;37.3461107887;UA300;6878.68750095;28751;ES1110013.0142;1;V;4030;4030;;Queirogais secos europeos;6878.68750095
San Sadurniño;2;28684;24977;ES1110013.0142;UA320;37.3461107887;UA300;6878.68750095;28752;ES1110013.0142;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;6878.68750095
San Sadurniño;2;28685;24977;ES1110013.0142;UA320;37.3461107887;UA300;6878.68750095;28753;ES1110013.0142;1;S;3260;3260;;Ríos dos pisos basal a montano;6878.68750095
San Sadurniño;2;28686;24977;ES1110013.0142;UA320;37.3461107887;UA300;6878.68750095;28748;ES1110013.0142;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;6878.68750095
San Sadurniño;2;29118;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29189;ES1110013.0347;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;74193.3341881
San Sadurniño;2;29119;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29196;ES1110013.0347;1;V;7110*;7110;X;Turbeiras altas activas;74193.3341881
San Sadurniño;2;29120;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29202;ES1110013.0347;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;74193.3341881
San Sadurniño;2;29121;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29201;ES1110013.0347;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;74193.3341881
San Sadurniño;2;29122;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29200;ES1110013.0347;1;S;3260;3260;;Ríos dos pisos basal a montano;74193.3341881
San Sadurniño;2;29123;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29199;ES1110013.0347;1;V;7120;7120;;Turbeiras altas degradadas;74193.3341881
San Sadurniño;2;29124;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29203;ES1110013.0347;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;74193.3341881
San Sadurniño;2;29125;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29198;ES1110013.0347;1;V;3160;3160;;Lagos e charcas distróficos naturais;74193.3341881
San Sadurniño;2;29126;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29197;ES1110013.0347;1;V;3130;3130;;Augas oligotróficas ou mesotróficas;74193.3341881
San Sadurniño;2;29127;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29195;ES1110013.0347;1;V;7110*;7110;X;Turbeiras altas activas;74193.3341881
San Sadurniño;2;29128;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29194;ES1110013.0347;1;V;7110*;7110;X;Turbeiras altas activas;74193.3341881
San Sadurniño;2;29129;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29193;ES1110013.0347;1;V;6410;6410;;Prados con Molinia;74193.3341881
San Sadurniño;2;29130;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29192;ES1110013.0347;1;V;7110*;7110;X;Turbeiras altas activas;74193.3341881
San Sadurniño;2;29131;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29190;ES1110013.0347;1;V;7110*;7110;X;Turbeiras altas activas;74193.3341881
San Sadurniño;2;29132;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29188;ES1110013.0347;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;74193.3341881
San Sadurniño;2;29133;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29187;ES1110013.0347;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;74193.3341881
San Sadurniño;2;29134;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29186;ES1110013.0347;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;74193.3341881
San Sadurniño;2;29135;25736;ES1110013.0347;UA270;701.176612869;UA200;74193.3341881;29191;ES1110013.0347;1;V;6230*;6230;X;Formacións herbáceas con Nardus;74193.3341881
San Sadurniño;9;29309;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29385;ES1110013.0378;1;V;3160;3160;;Lagos e charcas distróficos naturais;32090.9650999
San Sadurniño;9;29310;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29377;ES1110013.0378;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;32090.9650999
San Sadurniño;9;29311;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29389;ES1110013.0378;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;32090.9650999
San Sadurniño;9;29312;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29390;ES1110013.0378;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;32090.9650999
San Sadurniño;9;29313;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29388;ES1110013.0378;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;32090.9650999
San Sadurniño;9;29314;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29387;ES1110013.0378;1;S;3260;3260;;Ríos dos pisos basal a montano;32090.9650999
San Sadurniño;9;29315;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29386;ES1110013.0378;1;V;7120;7120;;Turbeiras altas degradadas;32090.9650999
San Sadurniño;9;29316;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29384;ES1110013.0378;1;V;3130;3130;;Augas oligotróficas ou mesotróficas;32090.9650999
San Sadurniño;9;29317;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29383;ES1110013.0378;1;V;7140;7140;;Turbeiras de transición e inllós;32090.9650999
San Sadurniño;9;29318;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29382;ES1110013.0378;1;V;7110*;7110;X;Turbeiras altas activas;32090.9650999
San Sadurniño;9;29319;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29381;ES1110013.0378;1;V;6410;6410;;Prados con Molinia;32090.9650999
San Sadurniño;9;29320;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29380;ES1110013.0378;1;V;6230*;6230;X;Formacións herbáceas con Nardus;32090.9650999
San Sadurniño;9;29321;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29378;ES1110013.0378;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;32090.9650999
San Sadurniño;9;29322;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29379;ES1110013.0378;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;32090.9650999
