concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Silleda;1;195599;116673;ES1140008.0488;UA531;4.10378016767;UA500;963.33947925;195608;ES1140008.0488;2;V;6510;6510;;Prados de sega de baixa altitude;963.33947925
Silleda;1;195600;116673;ES1140008.0488;UA531;4.10378016767;UA500;963.33947925;195609;ES1140008.0488;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;963.33947925
Silleda;1;195601;116673;ES1140008.0488;UA531;4.10378016767;UA500;963.33947925;195610;ES1140008.0488;1;S;6410;6410;;Prados con Molinia;963.33947925
Silleda;2;195705;116832;ES1140008.0531;UA531;12.6314381758;UA500;3875.38093433;195714;ES1140008.0531;1;V;6510;6510;;Prados de sega de baixa altitude;3875.38093433
Silleda;2;195706;116832;ES1140008.0531;UA531;12.6314381758;UA500;3875.38093433;195717;ES1140008.0531;1;S;4030;4030;;Queirogais secos europeos;3875.38093433
Silleda;2;195707;116832;ES1140008.0531;UA531;12.6314381758;UA500;3875.38093433;195715;ES1140008.0531;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3875.38093433
Silleda;2;195708;116832;ES1140008.0531;UA531;12.6314381758;UA500;3875.38093433;195716;ES1140008.0531;1;S;6410;6410;;Prados con Molinia;3875.38093433
Silleda;2;195769;116702;ES1140008.0554;UA531;12.5432286444;UA500;2288.14319464;195778;ES1140008.0554;2;V;6510;6510;;Prados de sega de baixa altitude;2288.14319464
Silleda;2;195770;116702;ES1140008.0554;UA531;12.5432286444;UA500;2288.14319464;195784;ES1140008.0554;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2288.14319464
Silleda;2;195771;116702;ES1140008.0554;UA531;12.5432286444;UA500;2288.14319464;195783;ES1140008.0554;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2288.14319464
Silleda;2;195772;116702;ES1140008.0554;UA531;12.5432286444;UA500;2288.14319464;195782;ES1140008.0554;1;S;4030;4030;;Queirogais secos europeos;2288.14319464
Silleda;2;195773;116702;ES1140008.0554;UA531;12.5432286444;UA500;2288.14319464;195781;ES1140008.0554;1;S;6410;6410;;Prados con Molinia;2288.14319464
Silleda;2;195774;116702;ES1140008.0554;UA531;12.5432286444;UA500;2288.14319464;195779;ES1140008.0554;1;S;3260;3260;;Ríos dos pisos basal a montano;2288.14319464
Silleda;2;195775;116702;ES1140008.0554;UA531;12.5432286444;UA500;2288.14319464;195780;ES1140008.0554;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2288.14319464
Silleda;1;195778;116707;ES1140008.0557;UA531;2.0673844867;UA500;1326.79656271;195787;ES1140008.0557;2;V;6510;6510;;Prados de sega de baixa altitude;1326.79656271
Silleda;1;195779;116707;ES1140008.0557;UA531;2.0673844867;UA500;1326.79656271;195788;ES1140008.0557;1;S;4030;4030;;Queirogais secos europeos;1326.79656271
Silleda;1;195859;116895;ES1140008.0590;UA531;2.69443973848;UA500;669.302978203;195868;ES1140008.0590;3;V;6510;6510;;Prados de sega de baixa altitude;669.302978203
Silleda;1;195860;116895;ES1140008.0590;UA531;2.69443973848;UA500;669.302978203;195869;ES1140008.0590;2;V;6510;6510;;Prados de sega de baixa altitude;669.302978203
Silleda;1;196190;116724;ES1140008.0682;UA320;11.4677348912;UA300;1556.38568632;196199;ES1140008.0682;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1556.38568632
Silleda;1;196191;116724;ES1140008.0682;UA320;11.4677348912;UA300;1556.38568632;196200;ES1140008.0682;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1556.38568632
