concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Sobrado;12;31487;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31555;ES1110014.0806;5;P;4030;4030;;Queirogais secos europeos;54528.4293608
Sobrado;12;31488;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31556;ES1110014.0806;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;54528.4293608
Sobrado;12;31489;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31557;ES1110014.0806;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;54528.4293608
Sobrado;12;31490;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31558;ES1110014.0806;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;54528.4293608
Sobrado;12;31491;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31559;ES1110014.0806;1;S;7110*;7110;X;Turbeiras altas activas;54528.4293608
Sobrado;12;31492;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31560;ES1110014.0806;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;54528.4293608
Sobrado;2;32130;26893;ES1110014.1197;UA320;7.90239326791;UA300;1787.74899729;32203;ES1110014.1197;1;S;6410;6410;;Prados con Molinia;1787.74899729
Sobrado;2;32131;26893;ES1110014.1197;UA320;7.90239326791;UA300;1787.74899729;32198;ES1110014.1197;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1787.74899729
Sobrado;2;32132;26893;ES1110014.1197;UA320;7.90239326791;UA300;1787.74899729;32199;ES1110014.1197;5;V;4030;4030;;Queirogais secos europeos;1787.74899729
Sobrado;2;32133;26893;ES1110014.1197;UA320;7.90239326791;UA300;1787.74899729;32200;ES1110014.1197;1;V;4030;4030;;Queirogais secos europeos;1787.74899729
Sobrado;2;32134;26893;ES1110014.1197;UA320;7.90239326791;UA300;1787.74899729;32201;ES1110014.1197;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1787.74899729
Sobrado;2;32135;26893;ES1110014.1197;UA320;7.90239326791;UA300;1787.74899729;32202;ES1110014.1197;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1787.74899729
Sobrado;8;32223;26947;ES1110014.1264;UA531;138.867826805;UA500;11709.4791122;32292;ES1110014.1264;2;V;6510;6510;;Prados de sega de baixa altitude;11709.4791122
Sobrado;8;32224;26947;ES1110014.1264;UA531;138.867826805;UA500;11709.4791122;32293;ES1110014.1264;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;11709.4791122
Sobrado;8;32225;26947;ES1110014.1264;UA531;138.867826805;UA500;11709.4791122;32294;ES1110014.1264;2;S;6410;6410;;Prados con Molinia;11709.4791122
Sobrado;8;32226;26947;ES1110014.1264;UA531;138.867826805;UA500;11709.4791122;32295;ES1110014.1264;2;S;6410;6410;;Prados con Molinia;11709.4791122
Sobrado;8;32227;26947;ES1110014.1264;UA531;138.867826805;UA500;11709.4791122;32291;ES1110014.1264;2;V;6410;6410;;Prados con Molinia;11709.4791122
