concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Triacastela;8;42536;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42605;Es1120001.1188;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;162005.158118
Triacastela;8;42537;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42610;Es1120001.1188;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;162005.158118
Triacastela;8;42538;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42611;Es1120001.1188;1;S;8310;8310;;Covas non explotadas polo turismo;162005.158118
Triacastela;8;42539;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42609;Es1120001.1188;1;S;3260;3260;;Ríos dos pisos basal a montano;162005.158118
Triacastela;8;42540;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42608;Es1120001.1188;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;162005.158118
Triacastela;8;42541;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42606;Es1120001.1188;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;162005.158118
Triacastela;8;42542;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42604;Es1120001.1188;5;P;4030;4030;;Queirogais secos europeos;162005.158118
Triacastela;8;42543;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42607;Es1120001.1188;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;162005.158118
Triacastela;2;53607;37121;Es1120001.4248;UA320;118.812025009;UA300;13836.3278776;53679;Es1120001.4248;1;V;4030;4030;;Queirogais secos europeos;13836.3278776
Triacastela;2;53608;37121;Es1120001.4248;UA320;118.812025009;UA300;13836.3278776;53685;Es1120001.4248;1;S;3260;3260;;Ríos dos pisos basal a montano;13836.3278776
Triacastela;2;53609;37121;Es1120001.4248;UA320;118.812025009;UA300;13836.3278776;53684;Es1120001.4248;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;13836.3278776
Triacastela;2;53610;37121;Es1120001.4248;UA320;118.812025009;UA300;13836.3278776;53683;Es1120001.4248;1;V;4030;4030;;Queirogais secos europeos;13836.3278776
Triacastela;2;53611;37121;Es1120001.4248;UA320;118.812025009;UA300;13836.3278776;53682;Es1120001.4248;1;V;4030;4030;;Queirogais secos europeos;13836.3278776
Triacastela;2;53612;37121;Es1120001.4248;UA320;118.812025009;UA300;13836.3278776;53675;Es1120001.4248;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;13836.3278776
Triacastela;2;53613;37121;Es1120001.4248;UA320;118.812025009;UA300;13836.3278776;53680;Es1120001.4248;1;V;4030;4030;;Queirogais secos europeos;13836.3278776
Triacastela;2;53614;37121;Es1120001.4248;UA320;118.812025009;UA300;13836.3278776;53678;Es1120001.4248;1;V;8310;8310;;Covas non explotadas polo turismo;13836.3278776
Triacastela;2;53615;37121;Es1120001.4248;UA320;118.812025009;UA300;13836.3278776;53677;Es1120001.4248;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;13836.3278776
Triacastela;2;53616;37121;Es1120001.4248;UA320;118.812025009;UA300;13836.3278776;53676;Es1120001.4248;3;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;13836.3278776
Triacastela;2;53617;37121;Es1120001.4248;UA320;118.812025009;UA300;13836.3278776;53681;Es1120001.4248;1;V;4030;4030;;Queirogais secos europeos;13836.3278776
Triacastela;1;57495;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57567;Es1120001.4604;1;V;4030;4030;;Queirogais secos europeos;2102.99957684
Triacastela;1;57496;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57572;Es1120001.4604;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2102.99957684
Triacastela;1;57497;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57571;Es1120001.4604;1;V;4030;4030;;Queirogais secos europeos;2102.99957684
Triacastela;1;57498;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57570;Es1120001.4604;1;V;4030;4030;;Queirogais secos europeos;2102.99957684
Triacastela;1;57499;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57573;Es1120001.4604;1;S;3260;3260;;Ríos dos pisos basal a montano;2102.99957684
Triacastela;1;57500;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57566;Es1120001.4604;1;V;8310;8310;;Covas non explotadas polo turismo;2102.99957684
Triacastela;1;57501;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57565;Es1120001.4604;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;2102.99957684
Triacastela;1;57502;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57564;Es1120001.4604;3;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2102.99957684
Triacastela;1;57503;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57563;Es1120001.4604;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2102.99957684
Triacastela;1;57504;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57569;Es1120001.4604;1;V;4030;4030;;Queirogais secos europeos;2102.99957684
Triacastela;1;57505;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57568;Es1120001.4604;1;V;4030;4030;;Queirogais secos europeos;2102.99957684
