concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Valadouro, O;3;98768;69003;ES1120015.0760;UA230;10.1480053397;UA200;1547.77213065;98836;ES1120015.0760;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);1547.77213065
Valadouro, O;3;98769;69003;ES1120015.0760;UA230;10.1480053397;UA200;1547.77213065;98837;ES1120015.0760;1;V;3160;3160;;Lagos e charcas distróficos naturais;1547.77213065
Valadouro, O;3;98891;69004;ES1120015.0779;UA230;28.7844735107;UA200;2908.80419944;98961;ES1120015.0779;1;S;6410;6410;;Prados con Molinia;2908.80419944
Valadouro, O;3;98892;69004;ES1120015.0779;UA230;28.7844735107;UA200;2908.80419944;98959;ES1120015.0779;5;P;7130;7130;;Turbeiras de cobertor (* para turbeiras activas);2908.80419944
Valadouro, O;3;98893;69004;ES1120015.0779;UA230;28.7844735107;UA200;2908.80419944;98960;ES1120015.0779;5;V;7140;7140;;Turbeiras de transición e inllós;2908.80419944
Valadouro, O;1;99374;68979;ES1120015.0927;UA320;0.647865282593;UA300;606.144338076;99442;ES1120015.0927;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;606.144338076
Valadouro, O;1;99375;68979;ES1120015.0927;UA320;0.647865282593;UA300;606.144338076;99443;ES1120015.0927;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;606.144338076
Valadouro, O;1;99376;68979;ES1120015.0927;UA320;0.647865282593;UA300;606.144338076;99444;ES1120015.0927;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;606.144338076
Valadouro, O;4;99382;68978;ES1120015.0930;UA230;29.058197904;UA200;2737.9286667;99450;ES1120015.0930;5;P;7130;7130;;Turbeiras de cobertor (* para turbeiras activas);2737.9286667
Valadouro, O;4;99383;68978;ES1120015.0930;UA230;29.058197904;UA200;2737.9286667;99451;ES1120015.0930;5;V;7140;7140;;Turbeiras de transición e inllós;2737.9286667
Valadouro, O;2;99403;67148;ES1120015.0941;UA320;10.6697126012;UA300;2181.45649543;99473;ES1120015.0941;1;V;4030;4030;;Queirogais secos europeos;2181.45649543
Valadouro, O;2;99404;67148;ES1120015.0941;UA320;10.6697126012;UA300;2181.45649543;99474;ES1120015.0941;1;V;4030;4030;;Queirogais secos europeos;2181.45649543
Valadouro, O;2;99405;67148;ES1120015.0941;UA320;10.6697126012;UA300;2181.45649543;99471;ES1120015.0941;5;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;2181.45649543
Valadouro, O;2;99406;67148;ES1120015.0941;UA320;10.6697126012;UA300;2181.45649543;99472;ES1120015.0941;1;V;4030;4030;;Queirogais secos europeos;2181.45649543
Valadouro, O;3;99419;68977;ES1120015.0947;UA230;8.71688486775;UA200;1668.3631983;99487;ES1120015.0947;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);1668.3631983
Valadouro, O;3;99420;68977;ES1120015.0947;UA230;8.71688486775;UA200;1668.3631983;99488;ES1120015.0947;1;V;3160;3160;;Lagos e charcas distróficos naturais;1668.3631983
Valadouro, O;1;99453;69470;ES1120015.0957;UA230;15.1585044768;UA200;3941.28393729;99521;ES1120015.0957;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);3941.28393729
Valadouro, O;1;99454;69470;ES1120015.0957;UA230;15.1585044768;UA200;3941.28393729;99522;ES1120015.0957;1;V;3160;3160;;Lagos e charcas distróficos naturais;3941.28393729
Valadouro, O;1;99505;69484;ES1120015.0973;UA230;6.21180695978;UA200;1938.50163918;99573;ES1120015.0973;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);1938.50163918
Valadouro, O;1;99506;69484;ES1120015.0973;UA230;6.21180695978;UA200;1938.50163918;99574;ES1120015.0973;1;V;3160;3160;;Lagos e charcas distróficos naturais;1938.50163918
Valadouro, O;2;99538;69491;ES1120015.0982;UA530;18.5268816013;UA500;3660.71722597;99606;ES1120015.0982;5;V;6510;6510;;Prados de sega de baixa altitude;3660.71722597
Valadouro, O;2;99539;69491;ES1120015.0982;UA530;18.5268816013;UA500;3660.71722597;99607;ES1120015.0982;1;S;6410;6410;;Prados con Molinia;3660.71722597
Valadouro, O;1;99711;67164;ES1120015.1048;UA270;48.2945629988;UA200;6192.67907869;99784;ES1120015.1048;1;V;7110*;7110;X;Turbeiras altas activas;6192.67907869
Valadouro, O;1;99712;67164;ES1120015.1048;UA270;48.2945629988;UA200;6192.67907869;99787;ES1120015.1048;1;V;7140;7140;;Turbeiras de transición e inllós;6192.67907869
Valadouro, O;1;99713;67164;ES1120015.1048;UA270;48.2945629988;UA200;6192.67907869;99786;ES1120015.1048;1;V;7110*;7110;X;Turbeiras altas activas;6192.67907869
Valadouro, O;1;99714;67164;ES1120015.1048;UA270;48.2945629988;UA200;6192.67907869;99785;ES1120015.1048;1;V;7110*;7110;X;Turbeiras altas activas;6192.67907869
Valadouro, O;1;99715;67164;ES1120015.1048;UA270;48.2945629988;UA200;6192.67907869;99780;ES1120015.1048;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;6192.67907869
Valadouro, O;1;99716;67164;ES1120015.1048;UA270;48.2945629988;UA200;6192.67907869;99781;ES1120015.1048;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;6192.67907869
Valadouro, O;1;99717;67164;ES1120015.1048;UA270;48.2945629988;UA200;6192.67907869;99782;ES1120015.1048;1;V;7110*;7110;X;Turbeiras altas activas;6192.67907869
Valadouro, O;1;99718;67164;ES1120015.1048;UA270;48.2945629988;UA200;6192.67907869;99779;ES1120015.1048;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;6192.67907869
Valadouro, O;1;99719;67164;ES1120015.1048;UA270;48.2945629988;UA200;6192.67907869;99783;ES1120015.1048;1;V;6230*;6230;X;Formacións herbáceas con Nardus;6192.67907869
Valadouro, O;2;99804;67175;ES1120015.1093;UA320;14.1859235042;UA300;1977.31776794;99874;ES1120015.1093;1;V;8310;8310;;Covas non explotadas polo turismo;1977.31776794
Valadouro, O;2;99805;67175;ES1120015.1093;UA320;14.1859235042;UA300;1977.31776794;99879;ES1120015.1093;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1977.31776794
Valadouro, O;2;99806;67175;ES1120015.1093;UA320;14.1859235042;UA300;1977.31776794;99878;ES1120015.1093;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1977.31776794
Valadouro, O;2;99807;67175;ES1120015.1093;UA320;14.1859235042;UA300;1977.31776794;99877;ES1120015.1093;1;V;4030;4030;;Queirogais secos europeos;1977.31776794
Valadouro, O;2;99808;67175;ES1120015.1093;UA320;14.1859235042;UA300;1977.31776794;99876;ES1120015.1093;1;V;4030;4030;;Queirogais secos europeos;1977.31776794
Valadouro, O;2;99809;67175;ES1120015.1093;UA320;14.1859235042;UA300;1977.31776794;99873;ES1120015.1093;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1977.31776794
Valadouro, O;2;99810;67175;ES1120015.1093;UA320;14.1859235042;UA300;1977.31776794;99872;ES1120015.1093;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1977.31776794
Valadouro, O;2;99811;67175;ES1120015.1093;UA320;14.1859235042;UA300;1977.31776794;99875;ES1120015.1093;2;V;4030;4030;;Queirogais secos europeos;1977.31776794
Valadouro, O;1;99836;69032;ES1120015.1104;UA320;0.770071895726;UA300;573.115327722;99906;ES1120015.1104;2;V;4030;4030;;Queirogais secos europeos;573.115327722
Valadouro, O;1;99837;69032;ES1120015.1104;UA320;0.770071895726;UA300;573.115327722;99907;ES1120015.1104;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;573.115327722
Valadouro, O;1;99838;69032;ES1120015.1104;UA320;0.770071895726;UA300;573.115327722;99904;ES1120015.1104;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;573.115327722
Valadouro, O;1;99839;69032;ES1120015.1104;UA320;0.770071895726;UA300;573.115327722;99905;ES1120015.1104;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;573.115327722
