concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Vimianzo;1;12352;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12420;ES1110005.0914;5;P;4030;4030;;Queirogais secos europeos;11993.8588243
Vimianzo;1;12353;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12421;ES1110005.0914;5;V;8230;8230;;Rochedos silíceos con vexetación pioneira;11993.8588243
Vimianzo;1;12354;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12422;ES1110005.0914;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;11993.8588243
Vimianzo;1;12355;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12423;ES1110005.0914;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;11993.8588243
Vimianzo;1;12356;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12424;ES1110005.0914;1;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;11993.8588243
Vimianzo;1;12357;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12425;ES1110005.0914;1;V;4030;4030;;Queirogais secos europeos;11993.8588243
Vimianzo;1;12358;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12426;ES1110005.0914;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;11993.8588243
Vimianzo;2;12756;12209;ES1110005.0988;UA320;24.4292203125;UA300;5185.94799082;12824;ES1110005.0988;5;V;8230;8230;;Rochedos silíceos con vexetación pioneira;5185.94799082
Vimianzo;2;12757;12209;ES1110005.0988;UA320;24.4292203125;UA300;5185.94799082;12825;ES1110005.0988;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;5185.94799082
Vimianzo;2;12758;12209;ES1110005.0988;UA320;24.4292203125;UA300;5185.94799082;12826;ES1110005.0988;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;5185.94799082
Vimianzo;2;12759;12209;ES1110005.0988;UA320;24.4292203125;UA300;5185.94799082;12827;ES1110005.0988;1;V;8310;8310;;Covas non explotadas polo turismo;5185.94799082
Vimianzo;2;12760;12209;ES1110005.0988;UA320;24.4292203125;UA300;5185.94799082;12828;ES1110005.0988;1;V;4030;4030;;Queirogais secos europeos;5185.94799082
Vimianzo;2;12761;12209;ES1110005.0988;UA320;24.4292203125;UA300;5185.94799082;12829;ES1110005.0988;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;5185.94799082
Vimianzo;2;12762;12209;ES1110005.0988;UA320;24.4292203125;UA300;5185.94799082;12830;ES1110005.0988;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;5185.94799082
Vimianzo;2;12812;12219;ES1110005.0998;UA320;31.7072859133;UA300;5172.46585135;12884;ES1110005.0998;1;V;4030;4030;;Queirogais secos europeos;5172.46585135
Vimianzo;2;12813;12219;ES1110005.0998;UA320;31.7072859133;UA300;5172.46585135;12880;ES1110005.0998;5;V;8230;8230;;Rochedos silíceos con vexetación pioneira;5172.46585135
Vimianzo;2;12814;12219;ES1110005.0998;UA320;31.7072859133;UA300;5172.46585135;12885;ES1110005.0998;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;5172.46585135
Vimianzo;2;12815;12219;ES1110005.0998;UA320;31.7072859133;UA300;5172.46585135;12886;ES1110005.0998;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;5172.46585135
Vimianzo;2;12816;12219;ES1110005.0998;UA320;31.7072859133;UA300;5172.46585135;12883;ES1110005.0998;1;V;8310;8310;;Covas non explotadas polo turismo;5172.46585135
