concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Xove;1;88613;58399;ES1120009.0091;UA320;0.911009766083;UA300;529.374333785;88681;ES1120009.0091;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;529.374333785
Xove;1;88614;58399;ES1120009.0091;UA320;0.911009766083;UA300;529.374333785;88682;ES1120009.0091;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;529.374333785
Xove;1;88615;58399;ES1120009.0091;UA320;0.911009766083;UA300;529.374333785;88683;ES1120009.0091;1;V;8310;8310;;Covas non explotadas polo turismo;529.374333785
Xove;1;88616;58399;ES1120009.0091;UA320;0.911009766083;UA300;529.374333785;88684;ES1120009.0091;3;V;4030;4030;;Queirogais secos europeos;529.374333785
Xove;1;88617;58399;ES1120009.0091;UA320;0.911009766083;UA300;529.374333785;88685;ES1120009.0091;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;529.374333785
Xove;1;88667;58414;ES1120009.0109;UA320;1.48902001717;UA300;1173.08753555;88736;ES1120009.0109;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1173.08753555
Xove;1;88668;58414;ES1120009.0109;UA320;1.48902001717;UA300;1173.08753555;88737;ES1120009.0109;1;V;8310;8310;;Covas non explotadas polo turismo;1173.08753555
Xove;1;88669;58414;ES1120009.0109;UA320;1.48902001717;UA300;1173.08753555;88738;ES1120009.0109;3;V;4030;4030;;Queirogais secos europeos;1173.08753555
Xove;1;88670;58414;ES1120009.0109;UA320;1.48902001717;UA300;1173.08753555;88739;ES1120009.0109;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1173.08753555
Xove;1;88671;58414;ES1120009.0109;UA320;1.48902001717;UA300;1173.08753555;88735;ES1120009.0109;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1173.08753555
