concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Aranga;21998;18552;ES1110007.1117;UA531;0.692731697;UA500;364.3734786;22066.0;ES1110007.1117;3;V;6510;6510;;Prados de sega de baixa altitude;364.3734786;
Aranga;21999;18552;ES1110007.1117;UA531;0.692731697;UA500;364.3734786;22067.0;ES1110007.1117;1;S;6410;6410;;Prados con Molinia;364.3734786;
Aranga;22086;20053;ES1110007.1215;UA220;17.64360103;UA200;44188.97059;22154.0;ES1110007.1215;5;P;3260;3260;;Ríos dos pisos basal a montano;44188.97059;
Aranga;22087;20053;ES1110007.1215;UA220;17.64360103;UA200;44188.97059;22155.0;ES1110007.1215;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;44188.97059;
Aranga;22220;18975;ES1110007.1367;UA420;26.77994383;UA400;6281.55052;22288.0;ES1110007.1367;5;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;6281.55052;
Aranga;22243;18856;ES1110007.1389;UA260;1.939764943;UA200;3367.519173;22311.0;ES1110007.1389;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3367.519173;
Aranga;22244;18856;ES1110007.1389;UA260;1.939764943;UA200;3367.519173;22312.0;ES1110007.1389;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3367.519173;
Aranga;22245;18854;ES1110007.1390;UA531;13.30679299;UA500;2219.544444;22313.0;ES1110007.1390;3;V;6510;6510;;Prados de sega de baixa altitude;2219.544444;
Aranga;22246;18854;ES1110007.1390;UA531;13.30679299;UA500;2219.544444;22314.0;ES1110007.1390;1;S;6410;6410;;Prados con Molinia;2219.544444;
Aranga;22450;18850;ES1110007.1568;UA260;0.764728472;UA200;939.6569597;22518.0;ES1110007.1568;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;939.6569597;
Aranga;22451;18850;ES1110007.1568;UA260;0.764728472;UA200;939.6569597;22519.0;ES1110007.1568;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;939.6569597;
Aranga;22463;18671;ES1110007.1575;UA220;1.035542751;UA200;3153.221493;22531.0;ES1110007.1575;5;P;3260;3260;;Ríos dos pisos basal a montano;3153.221493;
Aranga;22464;18671;ES1110007.1575;UA220;1.035542751;UA200;3153.221493;22532.0;ES1110007.1575;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3153.221493;
Aranga;22465;18671;ES1110007.1575;UA220;1.035542751;UA200;3153.221493;22533.0;ES1110007.1575;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3153.221493;
Aranga;22694;18852;ES1110007.1704;UA531;2.488255877;UA500;1054.472787;22763.0;ES1110007.1704;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1054.472787;
Aranga;22695;18852;ES1110007.1704;UA531;2.488255877;UA500;1054.472787;22764.0;ES1110007.1704;1;S;6410;6410;;Prados con Molinia;1054.472787;
Aranga;22696;18852;ES1110007.1704;UA531;2.488255877;UA500;1054.472787;22762.0;ES1110007.1704;3;V;6510;6510;;Prados de sega de baixa altitude;1054.472787;
Aranga;22703;18866;ES1110007.1708;UA260;2.14343812;UA200;4749.87481;22771.0;ES1110007.1708;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4749.87481;
Aranga;22704;18866;ES1110007.1708;UA260;2.14343812;UA200;4749.87481;22772.0;ES1110007.1708;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4749.87481;
Aranga;22705;18863;ES1110007.1709;UA260;2.442857641;UA200;4656.723587;22774.0;ES1110007.1709;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4656.723587;
Aranga;22706;18863;ES1110007.1709;UA260;2.442857641;UA200;4656.723587;22773.0;ES1110007.1709;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4656.723587;
