concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Arteixo;10039;11318;ES1110005.0044;UA111;1256.403325;UA100;85631.8373;10107.0;ES1110005.0044;;A;1110;1110;;Bancos de area cubertos permanentemente por auga mariña;85631.8373;
Arteixo;10737;11566;ES1110005.0304;UA162;28.85920257;UA100;6877.650296;10805.0;ES1110005.0304;5;P;4030;4030;;Queirogais secos europeos;6877.650296;
Arteixo;10738;11566;ES1110005.0304;UA162;28.85920257;UA100;6877.650296;10806.0;ES1110005.0304;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;6877.650296;
Arteixo;10739;11566;ES1110005.0304;UA162;28.85920257;UA100;6877.650296;10807.0;ES1110005.0304;5;V;4030;4030;;Queirogais secos europeos;6877.650296;
Arteixo;10740;11566;ES1110005.0304;UA162;28.85920257;UA100;6877.650296;10808.0;ES1110005.0304;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;6877.650296;
Arteixo;11394;11785;ES1110005.0541;UA150;5.30831168;UA100;2054.6168;11463.0;ES1110005.0541;1;V;1210;1210;;Vexetación anual sobre argazos;2054.6168;
Arteixo;11395;11785;ES1110005.0541;UA150;5.30831168;UA100;2054.6168;11462.0;ES1110005.0541;5;P;1140;1140;;Chairas lamacentas ou areosas non cubertos pola auga na baixamar;2054.6168;
Arteixo;14511;12626;ES1110005.1420;UA530;0.676039489;UA500;510.1371799;14581.0;ES1110005.1420;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;510.1371799;
Arteixo;14512;12626;ES1110005.1420;UA530;0.676039489;UA500;510.1371799;14580.0;ES1110005.1420;1;V;6410;6410;;Prados con Molinia;510.1371799;
Arteixo;14513;12626;ES1110005.1420;UA530;0.676039489;UA500;510.1371799;14579.0;ES1110005.1420;2;V;6510;6510;;Prados de sega de baixa altitude;510.1371799;
Arteixo;14514;12626;ES1110005.1420;UA530;0.676039489;UA500;510.1371799;14582.0;ES1110005.1420;1;S;6410;6410;;Prados con Molinia;510.1371799;
Arteixo;16035;14179;ES1110005.3056;UA151;3.116512117;UA100;1757.929852;16108.0;ES1110005.3056;1;V;2130*;2130;X;"Dunas costeiras fixas con vexetación herbácea (""dunas grises"")";1757.929852;
Arteixo;16036;14179;ES1110005.3056;UA151;3.116512117;UA100;1757.929852;16104.0;ES1110005.3056;1;V;2110;2110;;Dunas móbiles embrionarias;1757.929852;
Arteixo;16037;14179;ES1110005.3056;UA151;3.116512117;UA100;1757.929852;16105.0;ES1110005.3056;1;V;1210;1210;;Vexetación anual sobre argazos;1757.929852;
Arteixo;16038;14179;ES1110005.3056;UA151;3.116512117;UA100;1757.929852;16106.0;ES1110005.3056;5;V;2120;2120;;"Dunas móbiles litorais con Ammophila arenaria (""dunas brancas"")";1757.929852;
Arteixo;16039;14179;ES1110005.3056;UA151;3.116512117;UA100;1757.929852;16107.0;ES1110005.3056;1;V;2230;2230;;Dunas con céspedes de Malcomietalia;1757.929852;
Arteixo;16040;14179;ES1110005.3056;UA151;3.116512117;UA100;1757.929852;16103.0;ES1110005.3056;5;P;2120;2120;;"Dunas móbiles litorais con Ammophila arenaria (""dunas brancas"")";1757.929852;
