concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Baleira;83256;53616;ES1120004.0155;UA532;139.8805313;UA500;26723.31421;83324.0;ES1120004.0155;2;V;6510;6510;;Prados de sega de baixa altitude;26723.31421;
Baleira;83257;53616;ES1120004.0155;UA532;139.8805313;UA500;26723.31421;83325.0;ES1120004.0155;1;V;6410;6410;;Prados con Molinia;26723.31421;
Baleira;83258;53616;ES1120004.0155;UA532;139.8805313;UA500;26723.31421;83326.0;ES1120004.0155;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;26723.31421;
Baleira;83302;53368;ES1120004.0181;UA310;77.35666406;UA300;9519.169089;83372.0;ES1120004.0181;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;9519.169089;
Baleira;83303;53368;ES1120004.0181;UA310;77.35666406;UA300;9519.169089;83373.0;ES1120004.0181;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;9519.169089;
Baleira;83304;53368;ES1120004.0181;UA310;77.35666406;UA300;9519.169089;83371.0;ES1120004.0181;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;9519.169089;
Baleira;83305;53368;ES1120004.0181;UA310;77.35666406;UA300;9519.169089;83370.0;ES1120004.0181;5;P;4030;4030;;Queirogais secos europeos;9519.169089;
Baleira;83365;53412;ES1120004.0237;UA320;3.085246875;UA300;1997.378249;83433.0;ES1120004.0237;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1997.378249;
Baleira;83366;53412;ES1120004.0237;UA320;3.085246875;UA300;1997.378249;83434.0;ES1120004.0237;5;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1997.378249;
Baleira;83367;53412;ES1120004.0237;UA320;3.085246875;UA300;1997.378249;83435.0;ES1120004.0237;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1997.378249;
Baleira;83542;53636;ES1120004.0373;UA411;65.77999765;UA400;11787.92087;83613.0;ES1120004.0373;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;11787.92087;
Baleira;83543;53636;ES1120004.0373;UA411;65.77999765;UA400;11787.92087;83610.0;ES1120004.0373;5;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;11787.92087;
Baleira;83544;53636;ES1120004.0373;UA411;65.77999765;UA400;11787.92087;83611.0;ES1120004.0373;1;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;11787.92087;
Baleira;83545;53636;ES1120004.0373;UA411;65.77999765;UA400;11787.92087;83612.0;ES1120004.0373;1;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;11787.92087;
Baleira;83644;53627;ES1120004.0425;UA425;81.45069694;UA400;24272.80315;83712.0;ES1120004.0425;5;P;9260;9260;;Soutos;24272.80315;
Baleira;83645;53627;ES1120004.0425;UA425;81.45069694;UA400;24272.80315;83713.0;ES1120004.0425;2;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;24272.80315;
Baleira;83646;53627;ES1120004.0425;UA425;81.45069694;UA400;24272.80315;83714.0;ES1120004.0425;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;24272.80315;
Baleira;83652;53549;ES1120004.0428;UA425;3.641528426;UA400;1552.120895;83720.0;ES1120004.0428;5;P;9260;9260;;Soutos;1552.120895;
Baleira;83676;53560;ES1120004.0442;UA310;253.9485269;UA300;21283.96609;83745.0;ES1120004.0442;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;21283.96609;
Baleira;83677;53560;ES1120004.0442;UA310;253.9485269;UA300;21283.96609;83746.0;ES1120004.0442;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;21283.96609;
Baleira;83678;53560;ES1120004.0442;UA310;253.9485269;UA300;21283.96609;83747.0;ES1120004.0442;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;21283.96609;
Baleira;83679;53560;ES1120004.0442;UA310;253.9485269;UA300;21283.96609;83744.0;ES1120004.0442;5;P;4030;4030;;Queirogais secos europeos;21283.96609;
Baleira;83694;53563;ES1120004.0449;UA260;2.214271688;UA200;6793.749995;83762.0;ES1120004.0449;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6793.749995;
Baleira;83695;53563;ES1120004.0449;UA260;2.214271688;UA200;6793.749995;83763.0;ES1120004.0449;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6793.749995;
Baleira;83703;53629;ES1120004.0453;UA260;4.255190611;UA200;10770.42493;83771.0;ES1120004.0453;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;10770.42493;
Baleira;83704;53629;ES1120004.0453;UA260;4.255190611;UA200;10770.42493;83772.0;ES1120004.0453;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;10770.42493;
Baleira;83729;53734;ES1120004.0469;UA310;785.9456917;UA300;72126.1227;83797.0;ES1120004.0469;5;P;4030;4030;;Queirogais secos europeos;72126.1227;
Baleira;83730;53734;ES1120004.0469;UA310;785.9456917;UA300;72126.1227;83801.0;ES1120004.0469;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;72126.1227;
Baleira;83731;53734;ES1120004.0469;UA310;785.9456917;UA300;72126.1227;83800.0;ES1120004.0469;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;72126.1227;
Baleira;83732;53734;ES1120004.0469;UA310;785.9456917;UA300;72126.1227;83799.0;ES1120004.0469;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;72126.1227;
Baleira;83733;53734;ES1120004.0469;UA310;785.9456917;UA300;72126.1227;83798.0;ES1120004.0469;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;72126.1227;
Baleira;83738;53580;ES1120004.0473;UA425;17.66973904;UA400;5850.644478;83807.0;ES1120004.0473;1;S;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;5850.644478;
Baleira;83739;53580;ES1120004.0473;UA425;17.66973904;UA400;5850.644478;83808.0;ES1120004.0473;1;S;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5850.644478;
Baleira;83740;53580;ES1120004.0473;UA425;17.66973904;UA400;5850.644478;83806.0;ES1120004.0473;5;P;9260;9260;;Soutos;5850.644478;
Baleira;83856;53708;ES1120004.0532;UA220;1.989642174;UA200;7962.057341;83926.0;ES1120004.0532;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7962.057341;
Baleira;83857;53708;ES1120004.0532;UA220;1.989642174;UA200;7962.057341;83925.0;ES1120004.0532;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;7962.057341;
Baleira;83858;53708;ES1120004.0532;UA220;1.989642174;UA200;7962.057341;83924.0;ES1120004.0532;5;P;3260;3260;;Ríos dos pisos basal a montano;7962.057341;
