concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Barreiros;90581;61728;ES1120011.0175;UA320;0.78645514;UA300;457.373651;90649.0;ES1120011.0175;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;457.373651;
Barreiros;90582;61728;ES1120011.0175;UA320;0.78645514;UA300;457.373651;90650.0;ES1120011.0175;5;V;4030;4030;;Queirogais secos europeos;457.373651;
Barreiros;90583;61728;ES1120011.0175;UA320;0.78645514;UA300;457.373651;90651.0;ES1120011.0175;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;457.373651;
Barreiros;90584;61728;ES1120011.0175;UA320;0.78645514;UA300;457.373651;90652.0;ES1120011.0175;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;457.373651;
Barreiros;90587;61853;ES1120011.0178;UA530;79.94276109;UA500;9026.582845;90656.0;ES1120011.0178;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;9026.582845;
Barreiros;90588;61853;ES1120011.0178;UA530;79.94276109;UA500;9026.582845;90655.0;ES1120011.0178;5;V;6510;6510;;Prados de sega de baixa altitude;9026.582845;
Barreiros;90682;61994;ES1120011.0224;UA630;11.76682587;UA600;2026.203187;90750.0;ES1120011.0224;1;S;4030;4030;;Queirogais secos europeos;2026.203187;
Barreiros;90683;61994;ES1120011.0224;UA630;11.76682587;UA600;2026.203187;90751.0;ES1120011.0224;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2026.203187;
Barreiros;90684;61994;ES1120011.0224;UA630;11.76682587;UA600;2026.203187;90752.0;ES1120011.0224;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2026.203187;
Barreiros;90740;61464;ES1120011.0256;UA220;0.116908145;UA200;478.3172753;90808.0;ES1120011.0256;5;P;3260;3260;;Ríos dos pisos basal a montano;478.3172753;
Barreiros;90741;61464;ES1120011.0256;UA220;0.116908145;UA200;478.3172753;90809.0;ES1120011.0256;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;478.3172753;
Barreiros;90742;61694;ES1120011.0257;UA220;2.073561531;UA200;8309.816849;90810.0;ES1120011.0257;5;P;3260;3260;;Ríos dos pisos basal a montano;8309.816849;
Barreiros;90743;61694;ES1120011.0257;UA220;2.073561531;UA200;8309.816849;90811.0;ES1120011.0257;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8309.816849;
Barreiros;90746;61462;ES1120011.0259;UA220;0.414912326;UA200;1668.800896;90814.0;ES1120011.0259;5;P;3260;3260;;Ríos dos pisos basal a montano;1668.800896;
Barreiros;90747;61462;ES1120011.0259;UA220;0.414912326;UA200;1668.800896;90815.0;ES1120011.0259;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1668.800896;
Barreiros;90930;61990;ES1120011.0366;UA631;44.30988767;UA600;4908.684038;91000.0;ES1120011.0366;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4908.684038;
Barreiros;90931;61990;ES1120011.0366;UA631;44.30988767;UA600;4908.684038;90998.0;ES1120011.0366;1;S;4030;4030;;Queirogais secos europeos;4908.684038;
Barreiros;90932;61990;ES1120011.0366;UA631;44.30988767;UA600;4908.684038;90999.0;ES1120011.0366;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;4908.684038;
Barreiros;90934;61857;ES1120011.0368;UA530;13.36004019;UA500;2902.864528;91002.0;ES1120011.0368;1;V;6510;6510;;Prados de sega de baixa altitude;2902.864528;
Barreiros;90935;61857;ES1120011.0368;UA530;13.36004019;UA500;2902.864528;91003.0;ES1120011.0368;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2902.864528;
Barreiros;91170;61858;ES1120011.0526;UA260;0.554877168;UA200;1565.892234;91238.0;ES1120011.0526;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1565.892234;
Barreiros;91171;61858;ES1120011.0526;UA260;0.554877168;UA200;1565.892234;91239.0;ES1120011.0526;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1565.892234;
Barreiros;91181;61864;ES1120011.0531;UA220;10.05557699;UA200;23663.03811;91249.0;ES1120011.0531;5;P;3260;3260;;Ríos dos pisos basal a montano;23663.03811;
Barreiros;91182;61864;ES1120011.0531;UA220;10.05557699;UA200;23663.03811;91250.0;ES1120011.0531;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;23663.03811;
