concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Betanzos;22056;18457;ES1110007.1183;UA531;0.565209933;UA500;294.6052216;22125.0;ES1110007.1183;1;S;6410;6410;;Prados con Molinia;294.6052216;
Betanzos;22057;18457;ES1110007.1183;UA531;0.565209933;UA500;294.6052216;22124.0;ES1110007.1183;5;V;6510;6510;;Prados de sega de baixa altitude;294.6052216;
Betanzos;22095;18960;ES1110007.1225;UA531;47.26583104;UA500;8792.125237;22166.0;ES1110007.1225;1;S;6410;6410;;Prados con Molinia;8792.125237;
Betanzos;22096;18960;ES1110007.1225;UA531;47.26583104;UA500;8792.125237;22165.0;ES1110007.1225;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8792.125237;
Betanzos;22097;18960;ES1110007.1225;UA531;47.26583104;UA500;8792.125237;22164.0;ES1110007.1225;1;S;3260;3260;;Ríos dos pisos basal a montano;8792.125237;
Betanzos;22098;18960;ES1110007.1225;UA531;47.26583104;UA500;8792.125237;22163.0;ES1110007.1225;3;V;6510;6510;;Prados de sega de baixa altitude;8792.125237;
Betanzos;22100;18962;ES1110007.1232;UA531;23.41382812;UA500;3576.039542;22168.0;ES1110007.1232;3;V;6510;6510;;Prados de sega de baixa altitude;3576.039542;
Betanzos;22101;18962;ES1110007.1232;UA531;23.41382812;UA500;3576.039542;22169.0;ES1110007.1232;1;S;6410;6410;;Prados con Molinia;3576.039542;
Betanzos;22615;18777;ES1110007.1656;UA220;0.207288544;UA200;2736.986708;22683.0;ES1110007.1656;5;P;3260;3260;;Ríos dos pisos basal a montano;2736.986708;
Betanzos;22616;18777;ES1110007.1656;UA220;0.207288544;UA200;2736.986708;22685.0;ES1110007.1656;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2736.986708;
Betanzos;22617;18777;ES1110007.1656;UA220;0.207288544;UA200;2736.986708;22684.0;ES1110007.1656;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2736.986708;
Betanzos;22669;18829;ES1110007.1690;UA220;2.135430419;UA200;7642.43078;22737.0;ES1110007.1690;5;P;3260;3260;;Ríos dos pisos basal a montano;7642.43078;
Betanzos;22670;18829;ES1110007.1690;UA220;2.135430419;UA200;7642.43078;22738.0;ES1110007.1690;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;7642.43078;
Betanzos;22671;18829;ES1110007.1690;UA220;2.135430419;UA200;7642.43078;22739.0;ES1110007.1690;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7642.43078;
