concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Capela; A;6751;10759;ES1110003.0725;UA220;0.251894287;UA200;1277.853976;6819;ES1110003.0725;5;P;3260;3260;;Ríos dos pisos basal a montano;1277.853976
Capela; A;6752;10759;ES1110003.0725;UA220;0.251894287;UA200;1277.853976;6820;ES1110003.0725;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1277.853976
Capela; A;6753;10760;ES1110003.0726;UA220;0.135835903;UA200;689.7420262;6821;ES1110003.0726;5;P;3260;3260;;Ríos dos pisos basal a montano;689.7420262
Capela; A;6754;10760;ES1110003.0726;UA220;0.135835903;UA200;689.7420262;6822;ES1110003.0726;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;689.7420262
Capela; A;6843;8116;ES1110003.0771;UA220;0.279241299;UA200;1404.68999;6911;ES1110003.0771;5;P;3260;3260;;Ríos dos pisos basal a montano;1404.68999
Capela; A;6844;8116;ES1110003.0771;UA220;0.279241299;UA200;1404.68999;6912;ES1110003.0771;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1404.68999
Capela; A;6877;8133;ES1110003.0788;UA220;0.084945728;UA200;435.3138642;6945;ES1110003.0788;5;P;3260;3260;;Ríos dos pisos basal a montano;435.3138642
Capela; A;6878;8133;ES1110003.0788;UA220;0.084945728;UA200;435.3138642;6946;ES1110003.0788;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;435.3138642
Capela; A;6891;8140;ES1110003.0795;UA220;0.864447598;UA200;4329.78014;6960;ES1110003.0795;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4329.78014
Capela; A;6892;8140;ES1110003.0795;UA220;0.864447598;UA200;4329.78014;6959;ES1110003.0795;5;P;3260;3260;;Ríos dos pisos basal a montano;4329.78014
Capela; A;6946;8187;ES1110003.0853;UA220;1.952009733;UA200;3924.10415;7014;ES1110003.0853;5;P;3260;3260;;Ríos dos pisos basal a montano;3924.10415
Capela; A;6947;8188;ES1110003.0854;UA220;3.40362079;UA200;6826.869557;7015;ES1110003.0854;5;P;3260;3260;;Ríos dos pisos basal a montano;6826.869557
Capela; A;28772;25803;ES1110013.0168;UA270;61.59553204;UA200;10808.51407;28840;ES1110013.0168;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;10808.51407
Capela; A;28773;25803;ES1110013.0168;UA270;61.59553204;UA200;10808.51407;28848;ES1110013.0168;1;V;3160;3160;;Lagos e charcas distróficos naturais;10808.51407
Capela; A;28774;25803;ES1110013.0168;UA270;61.59553204;UA200;10808.51407;28853;ES1110013.0168;1;S;6510;6510;;Prados de sega de baixa altitude;10808.51407
Capela; A;28775;25803;ES1110013.0168;UA270;61.59553204;UA200;10808.51407;28852;ES1110013.0168;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;10808.51407
Capela; A;28776;25803;ES1110013.0168;UA270;61.59553204;UA200;10808.51407;28851;ES1110013.0168;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;10808.51407
Capela; A;28777;25803;ES1110013.0168;UA270;61.59553204;UA200;10808.51407;28850;ES1110013.0168;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;10808.51407
Capela; A;28778;25803;ES1110013.0168;UA270;61.59553204;UA200;10808.51407;28849;ES1110013.0168;1;S;3260;3260;;Ríos dos pisos basal a montano;10808.51407
Capela; A;28779;25803;ES1110013.0168;UA270;61.59553204;UA200;10808.51407;28847;ES1110013.0168;1;V;3130;3130;;Augas oligotróficas ou mesotróficas;10808.51407
Capela; A;28780;25803;ES1110013.0168;UA270;61.59553204;UA200;10808.51407;28846;ES1110013.0168;1;V;7140;7140;;Turbeiras de transición e inllós;10808.51407
Capela; A;28781;25803;ES1110013.0168;UA270;61.59553204;UA200;10808.51407;28845;ES1110013.0168;1;V;7110*;7110;X;Turbeiras altas activas;10808.51407
Capela; A;28782;25803;ES1110013.0168;UA270;61.59553204;UA200;10808.51407;28844;ES1110013.0168;1;V;6410;6410;;Prados con Molinia;10808.51407
Capela; A;28783;25803;ES1110013.0168;UA270;61.59553204;UA200;10808.51407;28843;ES1110013.0168;1;V;6230*;6230;X;Formacións herbáceas con Nardus;10808.51407
Capela; A;28784;25803;ES1110013.0168;UA270;61.59553204;UA200;10808.51407;28841;ES1110013.0168;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;10808.51407
Capela; A;28785;25803;ES1110013.0168;UA270;61.59553204;UA200;10808.51407;28842;ES1110013.0168;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;10808.51407
Capela; A;29208;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29282;ES1110013.0357;1;V;7140;7140;;Turbeiras de transición e inllós;3778.023979
Capela; A;29209;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29288;ES1110013.0357;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3778.023979
Capela; A;29210;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29287;ES1110013.0357;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;3778.023979
Capela; A;29211;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29286;ES1110013.0357;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;3778.023979
Capela; A;29212;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29285;ES1110013.0357;1;S;3260;3260;;Ríos dos pisos basal a montano;3778.023979
Capela; A;29213;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29283;ES1110013.0357;1;V;3130;3130;;Augas oligotróficas ou mesotróficas;3778.023979
Capela; A;29214;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29276;ES1110013.0357;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;3778.023979
Capela; A;29215;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29281;ES1110013.0357;1;V;7110*;7110;X;Turbeiras altas activas;3778.023979
Capela; A;29216;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29280;ES1110013.0357;1;V;6410;6410;;Prados con Molinia;3778.023979
Capela; A;29217;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29279;ES1110013.0357;1;V;6230*;6230;X;Formacións herbáceas con Nardus;3778.023979
Capela; A;29218;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29278;ES1110013.0357;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;3778.023979
Capela; A;29219;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29277;ES1110013.0357;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;3778.023979
Capela; A;29220;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29284;ES1110013.0357;1;V;3160;3160;;Lagos e charcas distróficos naturais;3778.023979
