concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Cervo;101995;67752;ES1120015.2115;UA631;24.11183837;UA600;4947.859291;102063.0;ES1120015.2115;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4947.859291;
Cervo;102205;68927;ES1120015.2201;UA411;203.731124;UA400;14903.59616;102274.0;ES1120015.2201;1;V;9380;9380;;Bosques de Ilex aquifolium;14903.59616;
Cervo;102206;68927;ES1120015.2201;UA411;203.731124;UA400;14903.59616;102275.0;ES1120015.2201;1;V;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;14903.59616;
Cervo;102207;68927;ES1120015.2201;UA411;203.731124;UA400;14903.59616;102276.0;ES1120015.2201;1;S;3260;3260;;Ríos dos pisos basal a montano;14903.59616;
Cervo;102208;68927;ES1120015.2201;UA411;203.731124;UA400;14903.59616;102277.0;ES1120015.2201;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;14903.59616;
Cervo;102209;68927;ES1120015.2201;UA411;203.731124;UA400;14903.59616;102278.0;ES1120015.2201;1;S;4030;4030;;Queirogais secos europeos;14903.59616;
Cervo;102210;68927;ES1120015.2201;UA411;203.731124;UA400;14903.59616;102273.0;ES1120015.2201;4;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;14903.59616;
Cervo;102220;68925;ES1120015.2212;UA240;50.54971405;UA200;3829.587344;102288.0;ES1120015.2212;5;P;7120;7120;;Turbeiras altas degradadas;3829.587344;
Cervo;102221;68925;ES1120015.2212;UA240;50.54971405;UA200;3829.587344;102289.0;ES1120015.2212;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;3829.587344;
Cervo;102230;67807;ES1120015.2215;UA320;47.38269417;UA300;6529.487448;102298.0;ES1120015.2215;5;V;4030;4030;;Queirogais secos europeos;6529.487448;
Cervo;102231;67807;ES1120015.2215;UA320;47.38269417;UA300;6529.487448;102299.0;ES1120015.2215;1;S;3260;3260;;Ríos dos pisos basal a montano;6529.487448;
Cervo;102232;67807;ES1120015.2215;UA320;47.38269417;UA300;6529.487448;102300.0;ES1120015.2215;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;6529.487448;
Cervo;102233;67807;ES1120015.2215;UA320;47.38269417;UA300;6529.487448;102301.0;ES1120015.2215;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;6529.487448;
Cervo;105979;68930;ES1120015.3451;UA230;188.0226933;UA200;29843.41449;106048.0;ES1120015.3451;1;V;3160;3160;;Lagos e charcas distróficos naturais;29843.41449;
Cervo;105980;68930;ES1120015.3451;UA230;188.0226933;UA200;29843.41449;106047.0;ES1120015.3451;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);29843.41449;
Cervo;105981;68932;ES1120015.3452;UA270;80.05635508;UA200;6316.667924;106054.0;ES1120015.3452;3;S;6410;6410;;Prados con Molinia;6316.667924;
Cervo;105982;68932;ES1120015.3452;UA270;80.05635508;UA200;6316.667924;106053.0;ES1120015.3452;1;V;3160;3160;;Lagos e charcas distróficos naturais;6316.667924;
Cervo;105983;68932;ES1120015.3452;UA270;80.05635508;UA200;6316.667924;106052.0;ES1120015.3452;1;V;7140;7140;;Turbeiras de transición e inllós;6316.667924;
Cervo;105984;68932;ES1120015.3452;UA270;80.05635508;UA200;6316.667924;106051.0;ES1120015.3452;2;V;7110*;7110;X;Turbeiras altas activas;6316.667924;
Cervo;105985;68932;ES1120015.3452;UA270;80.05635508;UA200;6316.667924;106049.0;ES1120015.3452;4;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;6316.667924;
Cervo;105986;68932;ES1120015.3452;UA270;80.05635508;UA200;6316.667924;106050.0;ES1120015.3452;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;6316.667924;
