concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Chantada;88237;58223;ES1120008.0225;UA320;6.954961115;UA300;2315.514916;88307.0;ES1120008.0225;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2315.514916;
Chantada;88238;58223;ES1120008.0225;UA320;6.954961115;UA300;2315.514916;88305.0;ES1120008.0225;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2315.514916;
Chantada;88239;58223;ES1120008.0225;UA320;6.954961115;UA300;2315.514916;88306.0;ES1120008.0225;5;V;4030;4030;;Queirogais secos europeos;2315.514916;
Chantada;88244;58322;ES1120008.0234;UA411;44.70870955;UA400;10315.13919;88312.0;ES1120008.0234;5;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;10315.13919;
Chantada;88245;58322;ES1120008.0234;UA411;44.70870955;UA400;10315.13919;88313.0;ES1120008.0234;1;S;3260;3260;;Ríos dos pisos basal a montano;10315.13919;
Chantada;88246;58322;ES1120008.0234;UA411;44.70870955;UA400;10315.13919;88314.0;ES1120008.0234;1;S;4030;4030;;Queirogais secos europeos;10315.13919;
Chantada;88249;58234;ES1120008.0239;UA320;142.2870324;UA300;14551.35828;88324.0;ES1120008.0239;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;14551.35828;
Chantada;88250;58234;ES1120008.0239;UA320;142.2870324;UA300;14551.35828;88317.0;ES1120008.0239;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;14551.35828;
Chantada;88251;58234;ES1120008.0239;UA320;142.2870324;UA300;14551.35828;88318.0;ES1120008.0239;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;14551.35828;
Chantada;88252;58234;ES1120008.0239;UA320;142.2870324;UA300;14551.35828;88319.0;ES1120008.0239;1;V;4030;4030;;Queirogais secos europeos;14551.35828;
Chantada;88253;58234;ES1120008.0239;UA320;142.2870324;UA300;14551.35828;88320.0;ES1120008.0239;5;V;4030;4030;;Queirogais secos europeos;14551.35828;
Chantada;88254;58234;ES1120008.0239;UA320;142.2870324;UA300;14551.35828;88321.0;ES1120008.0239;1;V;4030;4030;;Queirogais secos europeos;14551.35828;
Chantada;88255;58234;ES1120008.0239;UA320;142.2870324;UA300;14551.35828;88322.0;ES1120008.0239;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;14551.35828;
Chantada;88256;58234;ES1120008.0239;UA320;142.2870324;UA300;14551.35828;88323.0;ES1120008.0239;1;S;3260;3260;;Ríos dos pisos basal a montano;14551.35828;
Chantada;88328;58277;ES1120008.0284;UA320;24.93271588;UA300;4758.163497;88396.0;ES1120008.0284;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;4758.163497;
Chantada;88329;58277;ES1120008.0284;UA320;24.93271588;UA300;4758.163497;88397.0;ES1120008.0284;5;V;4030;4030;;Queirogais secos europeos;4758.163497;
Chantada;88330;58277;ES1120008.0284;UA320;24.93271588;UA300;4758.163497;88398.0;ES1120008.0284;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4758.163497;
