concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Coristanco;32512;27092;ES1110015.0144;UA270;7.160865436;UA200;1524.178262;32580.0;ES1110015.0144;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1524.178262;
Coristanco;32513;27092;ES1110015.0144;UA270;7.160865436;UA200;1524.178262;32581.0;ES1110015.0144;1;S;4030;4030;;Queirogais secos europeos;1524.178262;
Coristanco;32694;27181;ES1110015.0240;UA220;9.358446215;UA200;31165.65746;32762.0;ES1110015.0240;5;P;3260;3260;;Ríos dos pisos basal a montano;31165.65746;
Coristanco;32695;27181;ES1110015.0240;UA220;9.358446215;UA200;31165.65746;32763.0;ES1110015.0240;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;31165.65746;
Coristanco;32696;27181;ES1110015.0240;UA220;9.358446215;UA200;31165.65746;32764.0;ES1110015.0240;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;31165.65746;
Coristanco;32707;27190;ES1110015.0249;UA270;3.104522764;UA200;981.5855419;32775.0;ES1110015.0249;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;981.5855419;
Coristanco;32939;27332;ES1110015.0417;UA531;29.32941816;UA500;4255.190695;33007.0;ES1110015.0417;5;V;6510;6510;;Prados de sega de baixa altitude;4255.190695;
Coristanco;32940;27332;ES1110015.0417;UA531;29.32941816;UA500;4255.190695;33008.0;ES1110015.0417;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4255.190695;
Coristanco;32941;27332;ES1110015.0417;UA531;29.32941816;UA500;4255.190695;33009.0;ES1110015.0417;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4255.190695;
Coristanco;32942;27332;ES1110015.0417;UA531;29.32941816;UA500;4255.190695;33010.0;ES1110015.0417;1;S;6410;6410;;Prados con Molinia;4255.190695;
Coristanco;32943;27333;ES1110015.0418;UA531;16.35353533;UA500;2425.551908;33013.0;ES1110015.0418;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2425.551908;
Coristanco;32944;27333;ES1110015.0418;UA531;16.35353533;UA500;2425.551908;33012.0;ES1110015.0418;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2425.551908;
Coristanco;32945;27333;ES1110015.0418;UA531;16.35353533;UA500;2425.551908;33011.0;ES1110015.0418;5;V;6510;6510;;Prados de sega de baixa altitude;2425.551908;
Coristanco;32946;27333;ES1110015.0418;UA531;16.35353533;UA500;2425.551908;33014.0;ES1110015.0418;1;S;6410;6410;;Prados con Molinia;2425.551908;
Coristanco;33282;27468;ES1110015.0594;UA220;0.662342185;UA200;2219.453851;33350.0;ES1110015.0594;5;P;3260;3260;;Ríos dos pisos basal a montano;2219.453851;
Coristanco;33283;27468;ES1110015.0594;UA220;0.662342185;UA200;2219.453851;33351.0;ES1110015.0594;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2219.453851;
Coristanco;33284;27468;ES1110015.0594;UA220;0.662342185;UA200;2219.453851;33352.0;ES1110015.0594;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2219.453851;
