concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Fonsagrada; A;83326;53740;ES1120004.0205;UA411;33.23370624;UA400;11062.8889;83396;ES1120004.0205;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;11062.8889
Fonsagrada; A;83327;53740;ES1120004.0205;UA411;33.23370624;UA400;11062.8889;83394;ES1120004.0205;5;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;11062.8889
Fonsagrada; A;83328;53740;ES1120004.0205;UA411;33.23370624;UA400;11062.8889;83395;ES1120004.0205;1;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;11062.8889
Fonsagrada; A;83676;53560;ES1120004.0442;UA310;253.9485269;UA300;21283.96609;83745;ES1120004.0442;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;21283.96609
Fonsagrada; A;83677;53560;ES1120004.0442;UA310;253.9485269;UA300;21283.96609;83746;ES1120004.0442;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;21283.96609
Fonsagrada; A;83678;53560;ES1120004.0442;UA310;253.9485269;UA300;21283.96609;83747;ES1120004.0442;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;21283.96609
Fonsagrada; A;83679;53560;ES1120004.0442;UA310;253.9485269;UA300;21283.96609;83744;ES1120004.0442;5;P;4030;4030;;Queirogais secos europeos;21283.96609
Fonsagrada; A;83694;53563;ES1120004.0449;UA260;2.214271688;UA200;6793.749995;83762;ES1120004.0449;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6793.749995
Fonsagrada; A;83695;53563;ES1120004.0449;UA260;2.214271688;UA200;6793.749995;83763;ES1120004.0449;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6793.749995
Fonsagrada; A;83738;53580;ES1120004.0473;UA425;17.66973904;UA400;5850.644478;83807;ES1120004.0473;1;S;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;5850.644478
Fonsagrada; A;83739;53580;ES1120004.0473;UA425;17.66973904;UA400;5850.644478;83808;ES1120004.0473;1;S;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5850.644478
Fonsagrada; A;83740;53580;ES1120004.0473;UA425;17.66973904;UA400;5850.644478;83806;ES1120004.0473;5;P;9260;9260;;Soutos;5850.644478
