concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Forcarei;202539;119350;ES1140013.0894;UA220;1.082150927;UA200;10820.88967;202549.0;ES1140013.0894;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;10820.88967;
Forcarei;202540;119350;ES1140013.0894;UA220;1.082150927;UA200;10820.88967;202550.0;ES1140013.0894;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;10820.88967;
Forcarei;202541;119350;ES1140013.0894;UA220;1.082150927;UA200;10820.88967;202548.0;ES1140013.0894;5;P;3260;3260;;Ríos dos pisos basal a montano;10820.88967;
Forcarei;202997;120306;ES1140014.0019;UA220;1.21377239;UA200;12137.39021;203006.0;ES1140014.0019;5;P;3260;3260;;Ríos dos pisos basal a montano;12137.39021;
Forcarei;202998;120306;ES1140014.0019;UA220;1.21377239;UA200;12137.39021;203008.0;ES1140014.0019;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;12137.39021;
Forcarei;202999;120306;ES1140014.0019;UA220;1.21377239;UA200;12137.39021;203007.0;ES1140014.0019;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;12137.39021;
Forcarei;203024;120447;ES1140014.0027;UA630;32.64095068;UA600;3675.509566;203033.0;ES1140014.0027;1;S;3260;3260;;Ríos dos pisos basal a montano;3675.509566;
Forcarei;203025;120447;ES1140014.0027;UA630;32.64095068;UA600;3675.509566;203034.0;ES1140014.0027;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3675.509566;
Forcarei;203032;120191;ES1140014.0030;UA220;0.838024364;UA200;8379.253626;203041.0;ES1140014.0030;5;P;3260;3260;;Ríos dos pisos basal a montano;8379.253626;
Forcarei;203033;120191;ES1140014.0030;UA220;0.838024364;UA200;8379.253626;203042.0;ES1140014.0030;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8379.253626;
Forcarei;203034;120191;ES1140014.0030;UA220;0.838024364;UA200;8379.253626;203043.0;ES1140014.0030;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8379.253626;
Forcarei;203035;120309;ES1140014.0031;UA220;0.726611508;UA200;7268.43783;203046.0;ES1140014.0031;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7268.43783;
Forcarei;203036;120309;ES1140014.0031;UA220;0.726611508;UA200;7268.43783;203044.0;ES1140014.0031;5;P;3260;3260;;Ríos dos pisos basal a montano;7268.43783;
Forcarei;203037;120309;ES1140014.0031;UA220;0.726611508;UA200;7268.43783;203045.0;ES1140014.0031;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;7268.43783;
Forcarei;203041;120323;ES1140014.0033;UA220;1.651112233;UA200;6899.462325;203050.0;ES1140014.0033;5;P;3260;3260;;Ríos dos pisos basal a montano;6899.462325;
Forcarei;203042;120323;ES1140014.0033;UA220;1.651112233;UA200;6899.462325;203051.0;ES1140014.0033;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6899.462325;
Forcarei;203043;120323;ES1140014.0033;UA220;1.651112233;UA200;6899.462325;203052.0;ES1140014.0033;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6899.462325;
Forcarei;203073;120181;ES1140014.0043;UA411;46.18575035;UA400;7948.691083;203085.0;ES1140014.0043;1;S;4030;4030;;Queirogais secos europeos;7948.691083;
Forcarei;203074;120181;ES1140014.0043;UA411;46.18575035;UA400;7948.691083;203088.0;ES1140014.0043;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7948.691083;
Forcarei;203075;120181;ES1140014.0043;UA411;46.18575035;UA400;7948.691083;203086.0;ES1140014.0043;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;7948.691083;
Forcarei;203076;120181;ES1140014.0043;UA411;46.18575035;UA400;7948.691083;203084.0;ES1140014.0043;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7948.691083;
Forcarei;203077;120181;ES1140014.0043;UA411;46.18575035;UA400;7948.691083;203083.0;ES1140014.0043;1;S;3260;3260;;Ríos dos pisos basal a montano;7948.691083;
Forcarei;203078;120181;ES1140014.0043;UA411;46.18575035;UA400;7948.691083;203082.0;ES1140014.0043;5;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;7948.691083;
Forcarei;203079;120181;ES1140014.0043;UA411;46.18575035;UA400;7948.691083;203087.0;ES1140014.0043;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;7948.691083;
Forcarei;203777;120450;ES1140014.0254;UA630;19.6878918;UA600;3976.203312;203786.0;ES1140014.0254;1;S;3260;3260;;Ríos dos pisos basal a montano;3976.203312;
Forcarei;203778;120450;ES1140014.0254;UA630;19.6878918;UA600;3976.203312;203787.0;ES1140014.0254;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3976.203312;
Forcarei;203791;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203804.0;ES1140014.0258;1;S;4030;4030;;Queirogais secos europeos;4698.278452;
Forcarei;203792;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203807.0;ES1140014.0258;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4698.278452;
Forcarei;203793;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203805.0;ES1140014.0258;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;4698.278452;
Forcarei;203794;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203800.0;ES1140014.0258;1;V;6510;6510;;Prados de sega de baixa altitude;4698.278452;
Forcarei;203795;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203802.0;ES1140014.0258;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4698.278452;
Forcarei;203796;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203801.0;ES1140014.0258;1;S;3260;3260;;Ríos dos pisos basal a montano;4698.278452;
Forcarei;203797;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203803.0;ES1140014.0258;1;S;6410;6410;;Prados con Molinia;4698.278452;
Forcarei;203798;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203806.0;ES1140014.0258;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;4698.278452;
Forcarei;203852;120175;ES1140014.0274;UA420;1.79680138;UA400;634.9174211;203861.0;ES1140014.0274;5;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;634.9174211;
Forcarei;204769;120445;ES1140014.0705;UA320;6.940311842;UA300;1516.797762;204781.0;ES1140014.0705;2;V;4030;4030;;Queirogais secos europeos;1516.797762;
Forcarei;204770;120445;ES1140014.0705;UA320;6.940311842;UA300;1516.797762;204783.0;ES1140014.0705;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1516.797762;
Forcarei;204771;120445;ES1140014.0705;UA320;6.940311842;UA300;1516.797762;204782.0;ES1140014.0705;2;V;4030;4030;;Queirogais secos europeos;1516.797762;
Forcarei;204772;120445;ES1140014.0705;UA320;6.940311842;UA300;1516.797762;204780.0;ES1140014.0705;3;V;4030;4030;;Queirogais secos europeos;1516.797762;
Forcarei;204773;120445;ES1140014.0705;UA320;6.940311842;UA300;1516.797762;204778.0;ES1140014.0705;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1516.797762;
Forcarei;204774;120445;ES1140014.0705;UA320;6.940311842;UA300;1516.797762;204779.0;ES1140014.0705;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1516.797762;
Forcarei;205590;120620;ES1140014.0911;UA220;1.113612921;UA200;11139.48959;205599.0;ES1140014.0911;5;P;3260;3260;;Ríos dos pisos basal a montano;11139.48959;
Forcarei;205591;120620;ES1140014.0911;UA220;1.113612921;UA200;11139.48959;205600.0;ES1140014.0911;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;11139.48959;
Forcarei;205592;120620;ES1140014.0911;UA220;1.113612921;UA200;11139.48959;205601.0;ES1140014.0911;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;11139.48959;
Forcarei;205601;120321;ES1140014.0915;UA220;0.295535787;UA200;2956.831602;205610.0;ES1140014.0915;5;P;3260;3260;;Ríos dos pisos basal a montano;2956.831602;
Forcarei;205602;120321;ES1140014.0915;UA220;0.295535787;UA200;2956.831602;205611.0;ES1140014.0915;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2956.831602;
