concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Foz;90581;61728;ES1120011.0175;UA320;0.78645514;UA300;457.373651;90649.0;ES1120011.0175;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;457.373651;
Foz;90582;61728;ES1120011.0175;UA320;0.78645514;UA300;457.373651;90650.0;ES1120011.0175;5;V;4030;4030;;Queirogais secos europeos;457.373651;
Foz;90583;61728;ES1120011.0175;UA320;0.78645514;UA300;457.373651;90651.0;ES1120011.0175;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;457.373651;
Foz;90584;61728;ES1120011.0175;UA320;0.78645514;UA300;457.373651;90652.0;ES1120011.0175;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;457.373651;
Foz;90682;61994;ES1120011.0224;UA630;11.76682587;UA600;2026.203187;90750.0;ES1120011.0224;1;S;4030;4030;;Queirogais secos europeos;2026.203187;
Foz;90683;61994;ES1120011.0224;UA630;11.76682587;UA600;2026.203187;90751.0;ES1120011.0224;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2026.203187;
Foz;90684;61994;ES1120011.0224;UA630;11.76682587;UA600;2026.203187;90752.0;ES1120011.0224;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2026.203187;
Foz;90800;61639;ES1120011.0287;UA220;3.589871557;UA200;14357.57922;90869.0;ES1120011.0287;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;14357.57922;
Foz;90801;61639;ES1120011.0287;UA220;3.589871557;UA200;14357.57922;90868.0;ES1120011.0287;5;P;3260;3260;;Ríos dos pisos basal a montano;14357.57922;
Foz;90930;61990;ES1120011.0366;UA631;44.30988767;UA600;4908.684038;91000.0;ES1120011.0366;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4908.684038;
Foz;90931;61990;ES1120011.0366;UA631;44.30988767;UA600;4908.684038;90998.0;ES1120011.0366;1;S;4030;4030;;Queirogais secos europeos;4908.684038;
Foz;90932;61990;ES1120011.0366;UA631;44.30988767;UA600;4908.684038;90999.0;ES1120011.0366;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;4908.684038;
Foz;90934;61857;ES1120011.0368;UA530;13.36004019;UA500;2902.864528;91002.0;ES1120011.0368;1;V;6510;6510;;Prados de sega de baixa altitude;2902.864528;
Foz;90935;61857;ES1120011.0368;UA530;13.36004019;UA500;2902.864528;91003.0;ES1120011.0368;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2902.864528;
