concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Monfero;6531;7962;ES1110003.0603;UA220;0.54538932;UA200;2755.109037;6599.0;ES1110003.0603;5;P;3260;3260;;Ríos dos pisos basal a montano;2755.109037;
Monfero;6532;7962;ES1110003.0603;UA220;0.54538932;UA200;2755.109037;6600.0;ES1110003.0603;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2755.109037;
Monfero;6553;7973;ES1110003.0620;UA220;0.250885321;UA200;1266.255484;6621.0;ES1110003.0620;5;P;3260;3260;;Ríos dos pisos basal a montano;1266.255484;
Monfero;6554;7973;ES1110003.0620;UA220;0.250885321;UA200;1266.255484;6622.0;ES1110003.0620;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1266.255484;
Monfero;6565;7979;ES1110003.0626;UA220;1.689353221;UA200;8453.152352;6633.0;ES1110003.0626;5;P;3260;3260;;Ríos dos pisos basal a montano;8453.152352;
Monfero;6566;7979;ES1110003.0626;UA220;1.689353221;UA200;8453.152352;6634.0;ES1110003.0626;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8453.152352;
Monfero;6659;8026;ES1110003.0673;UA220;0.688902178;UA200;3463.297067;6727.0;ES1110003.0673;5;P;3260;3260;;Ríos dos pisos basal a montano;3463.297067;
Monfero;6660;8026;ES1110003.0673;UA220;0.688902178;UA200;3463.297067;6728.0;ES1110003.0673;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3463.297067;
Monfero;6703;8048;ES1110003.0695;UA220;0.483500194;UA200;2421.957321;6771.0;ES1110003.0695;5;P;3260;3260;;Ríos dos pisos basal a montano;2421.957321;
Monfero;6704;8048;ES1110003.0695;UA220;0.483500194;UA200;2421.957321;6772.0;ES1110003.0695;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2421.957321;
Monfero;6713;8053;ES1110003.0700;UA220;0.64003861;UA200;3208.417538;6781.0;ES1110003.0700;5;P;3260;3260;;Ríos dos pisos basal a montano;3208.417538;
Monfero;6714;8053;ES1110003.0700;UA220;0.64003861;UA200;3208.417538;6782.0;ES1110003.0700;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3208.417538;
Monfero;6715;8054;ES1110003.0701;UA220;1.067081197;UA200;5342.353031;6783.0;ES1110003.0701;5;P;3260;3260;;Ríos dos pisos basal a montano;5342.353031;
Monfero;6716;8054;ES1110003.0701;UA220;1.067081197;UA200;5342.353031;6784.0;ES1110003.0701;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5342.353031;
Monfero;6972;8204;ES1110003.0870;UA420;7.45703382;UA400;1583.704851;7040.0;ES1110003.0870;5;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1583.704851;
Monfero;6973;8204;ES1110003.0870;UA420;7.45703382;UA400;1583.704851;7041.0;ES1110003.0870;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1583.704851;
Monfero;6974;8205;ES1110003.0871;UA420;8.578931984;UA400;2883.685543;7042.0;ES1110003.0871;5;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;2883.685543;
Monfero;6975;8205;ES1110003.0871;UA420;8.578931984;UA400;2883.685543;7043.0;ES1110003.0871;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2883.685543;
Monfero;7504;8630;ES1110003.1301;UA320;295.2046691;UA300;20852.90889;7578.0;ES1110003.1301;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;20852.90889;
Monfero;7505;8630;ES1110003.1301;UA320;295.2046691;UA300;20852.90889;7581.0;ES1110003.1301;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;20852.90889;
Monfero;7506;8630;ES1110003.1301;UA320;295.2046691;UA300;20852.90889;7580.0;ES1110003.1301;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;20852.90889;
