concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Muras;99771;69309;ES1120015.1077;UA532;3.840990534;UA500;807.3290686;99839.0;ES1120015.1077;5;V;6510;6510;;Prados de sega de baixa altitude;807.3290686;
Muras;99816;69314;ES1120015.1097;UA320;0.937983679;UA300;622.2977965;99884.0;ES1120015.1097;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;622.2977965;
Muras;99817;69314;ES1120015.1097;UA320;0.937983679;UA300;622.2977965;99885.0;ES1120015.1097;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;622.2977965;
Muras;99818;69314;ES1120015.1097;UA320;0.937983679;UA300;622.2977965;99886.0;ES1120015.1097;2;V;4030;4030;;Queirogais secos europeos;622.2977965;
Muras;99819;69314;ES1120015.1097;UA320;0.937983679;UA300;622.2977965;99887.0;ES1120015.1097;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;622.2977965;
Muras;100781;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100855.0;ES1120015.1584;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;87671.77496;
Muras;100782;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100856.0;ES1120015.1584;3;S;4030;4030;;Queirogais secos europeos;87671.77496;
Muras;100783;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100854.0;ES1120015.1584;1;V;3160;3160;;Lagos e charcas distróficos naturais;87671.77496;
Muras;100784;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100853.0;ES1120015.1584;1;V;7140;7140;;Turbeiras de transición e inllós;87671.77496;
Muras;100785;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100851.0;ES1120015.1584;1;V;7110*;7110;X;Turbeiras altas activas;87671.77496;
Muras;100786;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100850.0;ES1120015.1584;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;87671.77496;
Muras;100787;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100849.0;ES1120015.1584;4;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;87671.77496;
Muras;100788;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100852.0;ES1120015.1584;2;V;7110*;7110;X;Turbeiras altas activas;87671.77496;
Muras;102923;69919;ES1120015.2446;UA230;2232.594149;UA200;178365.2656;102991.0;ES1120015.2446;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);178365.2656;
Muras;102924;69919;ES1120015.2446;UA230;2232.594149;UA200;178365.2656;102992.0;ES1120015.2446;1;V;3160;3160;;Lagos e charcas distróficos naturais;178365.2656;
Muras;103108;69307;ES1120015.2511;UA220;1.797871888;UA200;25684.77507;103176.0;ES1120015.2511;5;P;3260;3260;;Ríos dos pisos basal a montano;25684.77507;
Muras;103109;69307;ES1120015.2511;UA220;1.797871888;UA200;25684.77507;103177.0;ES1120015.2511;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;25684.77507;
Muras;103110;69307;ES1120015.2511;UA220;1.797871888;UA200;25684.77507;103178.0;ES1120015.2511;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;25684.77507;
Muras;103724;70161;ES1120015.2660;UA270;274.4281262;UA200;27355.98492;103799.0;ES1120015.2660;1;V;7110*;7110;X;Turbeiras altas activas;27355.98492;
Muras;103725;70161;ES1120015.2660;UA270;274.4281262;UA200;27355.98492;103804.0;ES1120015.2660;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;27355.98492;
Muras;103726;70161;ES1120015.2660;UA270;274.4281262;UA200;27355.98492;103803.0;ES1120015.2660;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;27355.98492;
Muras;103727;70161;ES1120015.2660;UA270;274.4281262;UA200;27355.98492;103802.0;ES1120015.2660;1;S;4030;4030;;Queirogais secos europeos;27355.98492;
Muras;103728;70161;ES1120015.2660;UA270;274.4281262;UA200;27355.98492;103805.0;ES1120015.2660;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;27355.98492;
Muras;103729;70161;ES1120015.2660;UA270;274.4281262;UA200;27355.98492;103800.0;ES1120015.2660;1;V;7140;7140;;Turbeiras de transición e inllós;27355.98492;
Muras;103730;70161;ES1120015.2660;UA270;274.4281262;UA200;27355.98492;103797.0;ES1120015.2660;1;V;7110*;7110;X;Turbeiras altas activas;27355.98492;
Muras;103731;70161;ES1120015.2660;UA270;274.4281262;UA200;27355.98492;103796.0;ES1120015.2660;1;V;6230*;6230;X;Formacións herbáceas con Nardus;27355.98492;
Muras;103732;70161;ES1120015.2660;UA270;274.4281262;UA200;27355.98492;103795.0;ES1120015.2660;1;V;7110*;7110;X;Turbeiras altas activas;27355.98492;
Muras;103733;70161;ES1120015.2660;UA270;274.4281262;UA200;27355.98492;103794.0;ES1120015.2660;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;27355.98492;
Muras;103734;70161;ES1120015.2660;UA270;274.4281262;UA200;27355.98492;103793.0;ES1120015.2660;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;27355.98492;
Muras;103735;70161;ES1120015.2660;UA270;274.4281262;UA200;27355.98492;103792.0;ES1120015.2660;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;27355.98492;
Muras;103736;70161;ES1120015.2660;UA270;274.4281262;UA200;27355.98492;103798.0;ES1120015.2660;1;V;7110*;7110;X;Turbeiras altas activas;27355.98492;
Muras;103737;70161;ES1120015.2660;UA270;274.4281262;UA200;27355.98492;103801.0;ES1120015.2660;1;V;3160;3160;;Lagos e charcas distróficos naturais;27355.98492;
Muras;104054;69316;ES1120015.2764;UA270;171.8499702;UA200;23568.13898;104127.0;ES1120015.2764;1;V;7110*;7110;X;Turbeiras altas activas;23568.13898;
Muras;104055;69316;ES1120015.2764;UA270;171.8499702;UA200;23568.13898;104134.0;ES1120015.2764;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;23568.13898;
Muras;104056;69316;ES1120015.2764;UA270;171.8499702;UA200;23568.13898;104133.0;ES1120015.2764;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;23568.13898;
Muras;104057;69316;ES1120015.2764;UA270;171.8499702;UA200;23568.13898;104132.0;ES1120015.2764;1;S;4030;4030;;Queirogais secos europeos;23568.13898;
Muras;104058;69316;ES1120015.2764;UA270;171.8499702;UA200;23568.13898;104131.0;ES1120015.2764;1;V;3160;3160;;Lagos e charcas distróficos naturais;23568.13898;
Muras;104059;69316;ES1120015.2764;UA270;171.8499702;UA200;23568.13898;104130.0;ES1120015.2764;1;V;7140;7140;;Turbeiras de transición e inllós;23568.13898;
Muras;104060;69316;ES1120015.2764;UA270;171.8499702;UA200;23568.13898;104128.0;ES1120015.2764;1;V;7110*;7110;X;Turbeiras altas activas;23568.13898;
Muras;104061;69316;ES1120015.2764;UA270;171.8499702;UA200;23568.13898;104126.0;ES1120015.2764;1;V;6230*;6230;X;Formacións herbáceas con Nardus;23568.13898;
Muras;104062;69316;ES1120015.2764;UA270;171.8499702;UA200;23568.13898;104125.0;ES1120015.2764;1;V;7110*;7110;X;Turbeiras altas activas;23568.13898;
Muras;104063;69316;ES1120015.2764;UA270;171.8499702;UA200;23568.13898;104124.0;ES1120015.2764;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;23568.13898;
Muras;104064;69316;ES1120015.2764;UA270;171.8499702;UA200;23568.13898;104123.0;ES1120015.2764;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;23568.13898;
Muras;104065;69316;ES1120015.2764;UA270;171.8499702;UA200;23568.13898;104122.0;ES1120015.2764;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;23568.13898;
Muras;104066;69316;ES1120015.2764;UA270;171.8499702;UA200;23568.13898;104135.0;ES1120015.2764;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;23568.13898;
Muras;104067;69316;ES1120015.2764;UA270;171.8499702;UA200;23568.13898;104129.0;ES1120015.2764;1;V;7110*;7110;X;Turbeiras altas activas;23568.13898;
Muras;104114;69447;ES1120015.2802;UA270;142.3968861;UA200;27293.01548;104190.0;ES1120015.2802;1;V;7140;7140;;Turbeiras de transición e inllós;27293.01548;
Muras;104115;69447;ES1120015.2802;UA270;142.3968861;UA200;27293.01548;104195.0;ES1120015.2802;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;27293.01548;
Muras;104116;69447;ES1120015.2802;UA270;142.3968861;UA200;27293.01548;104194.0;ES1120015.2802;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;27293.01548;
Muras;104117;69447;ES1120015.2802;UA270;142.3968861;UA200;27293.01548;104193.0;ES1120015.2802;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;27293.01548;
Muras;104118;69447;ES1120015.2802;UA270;142.3968861;UA200;27293.01548;104183.0;ES1120015.2802;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;27293.01548;
Muras;104119;69447;ES1120015.2802;UA270;142.3968861;UA200;27293.01548;104192.0;ES1120015.2802;1;S;4030;4030;;Queirogais secos europeos;27293.01548;
Muras;104120;69447;ES1120015.2802;UA270;142.3968861;UA200;27293.01548;104191.0;ES1120015.2802;1;V;3160;3160;;Lagos e charcas distróficos naturais;27293.01548;
Muras;104121;69447;ES1120015.2802;UA270;142.3968861;UA200;27293.01548;104189.0;ES1120015.2802;1;V;7110*;7110;X;Turbeiras altas activas;27293.01548;
Muras;104122;69447;ES1120015.2802;UA270;142.3968861;UA200;27293.01548;104188.0;ES1120015.2802;1;V;7110*;7110;X;Turbeiras altas activas;27293.01548;
Muras;104123;69447;ES1120015.2802;UA270;142.3968861;UA200;27293.01548;104187.0;ES1120015.2802;1;V;7110*;7110;X;Turbeiras altas activas;27293.01548;
