concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Muxía;13404;12340;ES1110005.1120;UA532;10.74195469;UA500;2178.692652;13472.0;ES1110005.1120;2;V;6510;6510;;Prados de sega de baixa altitude;2178.692652;
Muxía;13405;12340;ES1110005.1120;UA532;10.74195469;UA500;2178.692652;13473.0;ES1110005.1120;2;V;6510;6510;;Prados de sega de baixa altitude;2178.692652;
Muxía;13406;12340;ES1110005.1120;UA532;10.74195469;UA500;2178.692652;13474.0;ES1110005.1120;1;V;6410;6410;;Prados con Molinia;2178.692652;
Muxía;13407;12340;ES1110005.1120;UA532;10.74195469;UA500;2178.692652;13475.0;ES1110005.1120;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2178.692652;
Muxía;13408;12340;ES1110005.1120;UA532;10.74195469;UA500;2178.692652;13476.0;ES1110005.1120;1;S;6410;6410;;Prados con Molinia;2178.692652;
Muxía;13409;12340;ES1110005.1120;UA532;10.74195469;UA500;2178.692652;13477.0;ES1110005.1120;1;S;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;2178.692652;
Muxía;15817;14085;ES1110005.2960;UA320;207.632518;UA300;16776.09978;15885.0;ES1110005.2960;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;16776.09978;
Muxía;15818;14085;ES1110005.2960;UA320;207.632518;UA300;16776.09978;15886.0;ES1110005.2960;5;V;4030;4030;;Queirogais secos europeos;16776.09978;
Muxía;15819;14085;ES1110005.2960;UA320;207.632518;UA300;16776.09978;15887.0;ES1110005.2960;1;V;4030;4030;;Queirogais secos europeos;16776.09978;
Muxía;15820;14085;ES1110005.2960;UA320;207.632518;UA300;16776.09978;15888.0;ES1110005.2960;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;16776.09978;
Muxía;15821;14085;ES1110005.2960;UA320;207.632518;UA300;16776.09978;15889.0;ES1110005.2960;1;S;3260;3260;;Ríos dos pisos basal a montano;16776.09978;
Muxía;15822;14085;ES1110005.2960;UA320;207.632518;UA300;16776.09978;15890.0;ES1110005.2960;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;16776.09978;
