concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Ortigueira;1578;1516;ES1110001.0723;UA220;8.716338776;UA200;15038.64972;1648.0;ES1110001.0723;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;15038.64972;
Ortigueira;1579;1516;ES1110001.0723;UA220;8.716338776;UA200;15038.64972;1647.0;ES1110001.0723;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;15038.64972;
Ortigueira;1580;1516;ES1110001.0723;UA220;8.716338776;UA200;15038.64972;1646.0;ES1110001.0723;5;P;3260;3260;;Ríos dos pisos basal a montano;15038.64972;
Ortigueira;1581;1470;ES1110001.0728;UA220;8.422530407;UA200;16843.49485;1649.0;ES1110001.0728;5;P;3260;3260;;Ríos dos pisos basal a montano;16843.49485;
Ortigueira;1582;1470;ES1110001.0728;UA220;8.422530407;UA200;16843.49485;1650.0;ES1110001.0728;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;16843.49485;
Ortigueira;1583;1470;ES1110001.0728;UA220;8.422530407;UA200;16843.49485;1651.0;ES1110001.0728;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;16843.49485;
Ortigueira;1785;1082;ES1110001.0858;UA531;8.992995766;UA500;2086.961036;1853.0;ES1110001.0858;3;V;6510;6510;;Prados de sega de baixa altitude;2086.961036;
Ortigueira;1786;1083;ES1110001.0859;UA531;4.891103795;UA500;1979.019179;1854.0;ES1110001.0859;3;V;6510;6510;;Prados de sega de baixa altitude;1979.019179;
Ortigueira;2185;1544;ES1110001.1244;UA220;2.683653206;UA200;5383.922062;2253.0;ES1110001.1244;5;P;3260;3260;;Ríos dos pisos basal a montano;5383.922062;
Ortigueira;2186;1544;ES1110001.1244;UA220;2.683653206;UA200;5383.922062;2254.0;ES1110001.1244;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5383.922062;
Ortigueira;2187;1544;ES1110001.1244;UA220;2.683653206;UA200;5383.922062;2255.0;ES1110001.1244;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5383.922062;
Ortigueira;2225;1245;ES1110001.1262;UA260;0.629388789;UA200;2247.41625;2293.0;ES1110001.1262;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2247.41625;
Ortigueira;2226;1245;ES1110001.1262;UA260;0.629388789;UA200;2247.41625;2294.0;ES1110001.1262;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2247.41625;
Ortigueira;2227;1465;ES1110001.1263;UA260;1.688810345;UA200;2692.483676;2295.0;ES1110001.1263;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2692.483676;
Ortigueira;2228;1465;ES1110001.1263;UA260;1.688810345;UA200;2692.483676;2296.0;ES1110001.1263;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2692.483676;
Ortigueira;2441;1417;ES1110001.1410;UA220;6.973421977;UA200;13958.06367;2509.0;ES1110001.1410;5;P;3260;3260;;Ríos dos pisos basal a montano;13958.06367;
Ortigueira;2442;1417;ES1110001.1410;UA220;6.973421977;UA200;13958.06367;2510.0;ES1110001.1410;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;13958.06367;
Ortigueira;2443;1417;ES1110001.1410;UA220;6.973421977;UA200;13958.06367;2511.0;ES1110001.1410;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;13958.06367;
