concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Ourol;91965;62290;ES1120012.0436;UA631;4.744822618;UA600;1822.165479;92036.0;ES1120012.0436;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1822.165479;
Ourol;91966;62290;ES1120012.0436;UA631;4.744822618;UA600;1822.165479;92033.0;ES1120012.0436;1;S;4030;4030;;Queirogais secos europeos;1822.165479;
Ourol;91967;62290;ES1120012.0436;UA631;4.744822618;UA600;1822.165479;92034.0;ES1120012.0436;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;1822.165479;
Ourol;91968;62290;ES1120012.0436;UA631;4.744822618;UA600;1822.165479;92035.0;ES1120012.0436;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1822.165479;
Ourol;91971;62450;ES1120012.0438;UA631;113.8208815;UA600;9922.555162;92042.0;ES1120012.0438;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;9922.555162;
Ourol;91972;62450;ES1120012.0438;UA631;113.8208815;UA600;9922.555162;92039.0;ES1120012.0438;1;S;4030;4030;;Queirogais secos europeos;9922.555162;
Ourol;91973;62450;ES1120012.0438;UA631;113.8208815;UA600;9922.555162;92040.0;ES1120012.0438;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;9922.555162;
Ourol;91974;62450;ES1120012.0438;UA631;113.8208815;UA600;9922.555162;92041.0;ES1120012.0438;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;9922.555162;
Ourol;92062;62415;ES1120012.0475;UA631;13.82069556;UA600;2396.238989;92130.0;ES1120012.0475;1;S;4030;4030;;Queirogais secos europeos;2396.238989;
Ourol;92063;62415;ES1120012.0475;UA631;13.82069556;UA600;2396.238989;92131.0;ES1120012.0475;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2396.238989;
Ourol;92064;62415;ES1120012.0475;UA631;13.82069556;UA600;2396.238989;92132.0;ES1120012.0475;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2396.238989;
Ourol;92065;62415;ES1120012.0475;UA631;13.82069556;UA600;2396.238989;92133.0;ES1120012.0475;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2396.238989;
Ourol;92066;62287;ES1120012.0478;UA631;81.81834362;UA600;11073.86195;92137.0;ES1120012.0478;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;11073.86195;
Ourol;92067;62287;ES1120012.0478;UA631;81.81834362;UA600;11073.86195;92136.0;ES1120012.0478;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;11073.86195;
Ourol;92068;62287;ES1120012.0478;UA631;81.81834362;UA600;11073.86195;92135.0;ES1120012.0478;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;11073.86195;
