concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Pontes de García Rodríguez; As;6405;7899;ES1110003.0533;UA220;0.340384339;UA200;1709.26363;6473;ES1110003.0533;5;P;3260;3260;;Ríos dos pisos basal a montano;1709.26363
Pontes de García Rodríguez; As;6406;7899;ES1110003.0533;UA220;0.340384339;UA200;1709.26363;6474;ES1110003.0533;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1709.26363
Pontes de García Rodríguez; As;6407;7900;ES1110003.0534;UA220;0.454776743;UA200;2281.465274;6475;ES1110003.0534;5;P;3260;3260;;Ríos dos pisos basal a montano;2281.465274
Pontes de García Rodríguez; As;6408;7900;ES1110003.0534;UA220;0.454776743;UA200;2281.465274;6476;ES1110003.0534;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2281.465274
Pontes de García Rodríguez; As;6409;7901;ES1110003.0535;UA220;0.555691028;UA200;2785.748238;6478;ES1110003.0535;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2785.748238
Pontes de García Rodríguez; As;6410;7901;ES1110003.0535;UA220;0.555691028;UA200;2785.748238;6477;ES1110003.0535;5;P;3260;3260;;Ríos dos pisos basal a montano;2785.748238
Pontes de García Rodríguez; As;6683;8038;ES1110003.0685;UA220;1.97380748;UA200;9875.63173;6751;ES1110003.0685;5;P;3260;3260;;Ríos dos pisos basal a montano;9875.63173
Pontes de García Rodríguez; As;6684;8038;ES1110003.0685;UA220;1.97380748;UA200;9875.63173;6752;ES1110003.0685;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;9875.63173
Pontes de García Rodríguez; As;6685;8039;ES1110003.0686;UA220;0.613989817;UA200;3079.060413;6753;ES1110003.0686;5;P;3260;3260;;Ríos dos pisos basal a montano;3079.060413
Pontes de García Rodríguez; As;6686;8039;ES1110003.0686;UA220;0.613989817;UA200;3079.060413;6754;ES1110003.0686;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3079.060413
Pontes de García Rodríguez; As;6689;8041;ES1110003.0688;UA220;0.643886231;UA200;3226.859782;6757;ES1110003.0688;5;P;3260;3260;;Ríos dos pisos basal a montano;3226.859782
Pontes de García Rodríguez; As;6690;8041;ES1110003.0688;UA220;0.643886231;UA200;3226.859782;6758;ES1110003.0688;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3226.859782
Pontes de García Rodríguez; As;6691;8042;ES1110003.0689;UA220;1.127320354;UA200;5643.390592;6759;ES1110003.0689;5;P;3260;3260;;Ríos dos pisos basal a montano;5643.390592
Pontes de García Rodríguez; As;6692;8042;ES1110003.0689;UA220;1.127320354;UA200;5643.390592;6760;ES1110003.0689;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5643.390592
Pontes de García Rodríguez; As;6987;8267;ES1110003.0936;UA220;9.834103726;UA200;14095.92274;7055;ES1110003.0936;5;P;3260;3260;;Ríos dos pisos basal a montano;14095.92274
Pontes de García Rodríguez; As;28999;25151;ES1110013.0319;UA240;2.899234817;UA200;853.4781566;29068;ES1110013.0319;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;853.4781566
Pontes de García Rodríguez; As;29000;25151;ES1110013.0319;UA240;2.899234817;UA200;853.4781566;29075;ES1110013.0319;2;V;3160;3160;;Lagos e charcas distróficos naturais;853.4781566
Pontes de García Rodríguez; As;29001;25151;ES1110013.0319;UA240;2.899234817;UA200;853.4781566;29074;ES1110013.0319;1;V;7140;7140;;Turbeiras de transición e inllós;853.4781566
Pontes de García Rodríguez; As;29002;25151;ES1110013.0319;UA240;2.899234817;UA200;853.4781566;29073;ES1110013.0319;1;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;853.4781566
Pontes de García Rodríguez; As;29003;25151;ES1110013.0319;UA240;2.899234817;UA200;853.4781566;29072;ES1110013.0319;1;V;6410;6410;;Prados con Molinia;853.4781566
Pontes de García Rodríguez; As;29004;25151;ES1110013.0319;UA240;2.899234817;UA200;853.4781566;29071;ES1110013.0319;1;V;6230*;6230;X;Formacións herbáceas con Nardus;853.4781566
Pontes de García Rodríguez; As;29005;25151;ES1110013.0319;UA240;2.899234817;UA200;853.4781566;29069;ES1110013.0319;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;853.4781566
Pontes de García Rodríguez; As;29006;25151;ES1110013.0319;UA240;2.899234817;UA200;853.4781566;29067;ES1110013.0319;5;P;7110*;7110;X;Turbeiras altas activas;853.4781566
Pontes de García Rodríguez; As;29007;25151;ES1110013.0319;UA240;2.899234817;UA200;853.4781566;29070;ES1110013.0319;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;853.4781566
Pontes de García Rodríguez; As;29208;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29282;ES1110013.0357;1;V;7140;7140;;Turbeiras de transición e inllós;3778.023979
Pontes de García Rodríguez; As;29209;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29288;ES1110013.0357;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3778.023979
Pontes de García Rodríguez; As;29210;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29287;ES1110013.0357;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;3778.023979
Pontes de García Rodríguez; As;29211;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29286;ES1110013.0357;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;3778.023979
Pontes de García Rodríguez; As;29212;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29285;ES1110013.0357;1;S;3260;3260;;Ríos dos pisos basal a montano;3778.023979
Pontes de García Rodríguez; As;29213;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29283;ES1110013.0357;1;V;3130;3130;;Augas oligotróficas ou mesotróficas;3778.023979
Pontes de García Rodríguez; As;29214;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29276;ES1110013.0357;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;3778.023979
Pontes de García Rodríguez; As;29215;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29281;ES1110013.0357;1;V;7110*;7110;X;Turbeiras altas activas;3778.023979
Pontes de García Rodríguez; As;29216;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29280;ES1110013.0357;1;V;6410;6410;;Prados con Molinia;3778.023979
Pontes de García Rodríguez; As;29217;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29279;ES1110013.0357;1;V;6230*;6230;X;Formacións herbáceas con Nardus;3778.023979
Pontes de García Rodríguez; As;29218;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29278;ES1110013.0357;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;3778.023979
Pontes de García Rodríguez; As;29219;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29277;ES1110013.0357;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;3778.023979
Pontes de García Rodríguez; As;29220;25184;ES1110013.0357;UA270;21.38388994;UA200;3778.023979;29284;ES1110013.0357;1;V;3160;3160;;Lagos e charcas distróficos naturais;3778.023979
Pontes de García Rodríguez; As;29221;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29299;ES1110013.0358;1;V;7110*;7110;X;Turbeiras altas activas;7138.20758
Pontes de García Rodríguez; As;29222;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29300;ES1110013.0358;1;V;7140;7140;;Turbeiras de transición e inllós;7138.20758
Pontes de García Rodríguez; As;29223;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29302;ES1110013.0358;1;V;3160;3160;;Lagos e charcas distróficos naturais;7138.20758
Pontes de García Rodríguez; As;29224;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29304;ES1110013.0358;1;S;3260;3260;;Ríos dos pisos basal a montano;7138.20758
Pontes de García Rodríguez; As;29225;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29305;ES1110013.0358;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;7138.20758
Pontes de García Rodríguez; As;29226;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29307;ES1110013.0358;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7138.20758
Pontes de García Rodríguez; As;29227;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29301;ES1110013.0358;1;V;3130;3130;;Augas oligotróficas ou mesotróficas;7138.20758
Pontes de García Rodríguez; As;29228;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29298;ES1110013.0358;1;V;7110*;7110;X;Turbeiras altas activas;7138.20758
Pontes de García Rodríguez; As;29229;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29306;ES1110013.0358;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;7138.20758
Pontes de García Rodríguez; As;29230;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29296;ES1110013.0358;2;V;6410;6410;;Prados con Molinia;7138.20758
Pontes de García Rodríguez; As;29231;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29295;ES1110013.0358;1;V;7110*;7110;X;Turbeiras altas activas;7138.20758
Pontes de García Rodríguez; As;29232;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29289;ES1110013.0358;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;7138.20758
Pontes de García Rodríguez; As;29233;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29294;ES1110013.0358;2;V;6230*;6230;X;Formacións herbáceas con Nardus;7138.20758
Pontes de García Rodríguez; As;29234;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29303;ES1110013.0358;1;V;7120;7120;;Turbeiras altas degradadas;7138.20758
Pontes de García Rodríguez; As;29235;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29293;ES1110013.0358;1;V;7110*;7110;X;Turbeiras altas activas;7138.20758
Pontes de García Rodríguez; As;29236;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29292;ES1110013.0358;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;7138.20758
Pontes de García Rodríguez; As;29237;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29291;ES1110013.0358;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;7138.20758
Pontes de García Rodríguez; As;29238;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29290;ES1110013.0358;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;7138.20758
Pontes de García Rodríguez; As;29239;25738;ES1110013.0358;UA270;45.67855284;UA200;7138.20758;29297;ES1110013.0358;1;V;7110*;7110;X;Turbeiras altas activas;7138.20758
Pontes de García Rodríguez; As;29240;25185;ES1110013.0359;UA240;12.7750445;UA200;8476.617985;29315;ES1110013.0359;4;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;8476.617985
Pontes de García Rodríguez; As;29241;25185;ES1110013.0359;UA240;12.7750445;UA200;8476.617985;29316;ES1110013.0359;1;V;7140;7140;;Turbeiras de transición e inllós;8476.617985
Pontes de García Rodríguez; As;29242;25185;ES1110013.0359;UA240;12.7750445;UA200;8476.617985;29314;ES1110013.0359;1;V;6410;6410;;Prados con Molinia;8476.617985
Pontes de García Rodríguez; As;29243;25185;ES1110013.0359;UA240;12.7750445;UA200;8476.617985;29313;ES1110013.0359;1;V;6230*;6230;X;Formacións herbáceas con Nardus;8476.617985
Pontes de García Rodríguez; As;29244;25185;ES1110013.0359;UA240;12.7750445;UA200;8476.617985;29311;ES1110013.0359;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;8476.617985
Pontes de García Rodríguez; As;29245;25185;ES1110013.0359;UA240;12.7750445;UA200;8476.617985;29310;ES1110013.0359;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;8476.617985
Pontes de García Rodríguez; As;29246;25185;ES1110013.0359;UA240;12.7750445;UA200;8476.617985;29309;ES1110013.0359;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;8476.617985
Pontes de García Rodríguez; As;29247;25185;ES1110013.0359;UA240;12.7750445;UA200;8476.617985;29308;ES1110013.0359;5;P;7110*;7110;X;Turbeiras altas activas;8476.617985
Pontes de García Rodríguez; As;29248;25185;ES1110013.0359;UA240;12.7750445;UA200;8476.617985;29312;ES1110013.0359;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;8476.617985
Pontes de García Rodríguez; As;29249;25185;ES1110013.0359;UA240;12.7750445;UA200;8476.617985;29317;ES1110013.0359;1;V;3160;3160;;Lagos e charcas distróficos naturais;8476.617985
Pontes de García Rodríguez; As;29309;25810;ES1110013.0378;UA270;554.1460669;UA200;32090.9651;29385;ES1110013.0378;1;V;3160;3160;;Lagos e charcas distróficos naturais;32090.9651
Pontes de García Rodríguez; As;29310;25810;ES1110013.0378;UA270;554.1460669;UA200;32090.9651;29377;ES1110013.0378;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;32090.9651
Pontes de García Rodríguez; As;29311;25810;ES1110013.0378;UA270;554.1460669;UA200;32090.9651;29389;ES1110013.0378;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;32090.9651
Pontes de García Rodríguez; As;29312;25810;ES1110013.0378;UA270;554.1460669;UA200;32090.9651;29390;ES1110013.0378;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;32090.9651
