concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Silleda;181200;104779;ES1140001.1387;UA220;1.773645534;UA200;5925.541017;181277.0;ES1140001.1387;5;P;3260;3260;;Ríos dos pisos basal a montano;5925.541017;
Silleda;181201;104779;ES1140001.1387;UA220;1.773645534;UA200;5925.541017;181278.0;ES1140001.1387;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5925.541017;
Silleda;181202;104779;ES1140001.1387;UA220;1.773645534;UA200;5925.541017;181279.0;ES1140001.1387;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5925.541017;
Silleda;181206;106764;ES1140001.1390;UA220;13.29731834;UA200;44157.3955;181283.0;ES1140001.1390;5;P;3260;3260;;Ríos dos pisos basal a montano;44157.3955;
Silleda;181207;106764;ES1140001.1390;UA220;13.29731834;UA200;44157.3955;181284.0;ES1140001.1390;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;44157.3955;
Silleda;181208;106764;ES1140001.1390;UA220;13.29731834;UA200;44157.3955;181285.0;ES1140001.1390;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;44157.3955;
Silleda;181969;104802;ES1140001.1685;UA220;3.386117091;UA200;6451.093992;182046.0;ES1140001.1685;5;P;3260;3260;;Ríos dos pisos basal a montano;6451.093992;
Silleda;181970;104802;ES1140001.1685;UA220;3.386117091;UA200;6451.093992;182047.0;ES1140001.1685;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6451.093992;
Silleda;182094;104934;ES1140001.1727;UA220;5.634484391;UA200;9883.687561;182171.0;ES1140001.1727;5;P;3260;3260;;Ríos dos pisos basal a montano;9883.687561;
Silleda;182095;104934;ES1140001.1727;UA220;5.634484391;UA200;9883.687561;182172.0;ES1140001.1727;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;9883.687561;
Silleda;182107;104877;ES1140001.1730;UA631;34.391537;UA600;5429.778518;182185.0;ES1140001.1730;1;S;6410;6410;;Prados con Molinia;5429.778518;
Silleda;182108;104877;ES1140001.1730;UA631;34.391537;UA600;5429.778518;182184.0;ES1140001.1730;1;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;5429.778518;
Silleda;182142;104887;ES1140001.1740;UA320;4.388535568;UA300;1843.214674;182219.0;ES1140001.1740;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1843.214674;
Silleda;182143;104887;ES1140001.1740;UA320;4.388535568;UA300;1843.214674;182220.0;ES1140001.1740;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1843.214674;
