concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Triacastela;39093;33068;Es1120001.0108;UA220;0.139709893;UA200;1445.106176;39161.0;Es1120001.0108;5;P;3260;3260;;Ríos dos pisos basal a montano;1445.106176;
Triacastela;39094;33068;Es1120001.0108;UA220;0.139709893;UA200;1445.106176;39162.0;Es1120001.0108;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1445.106176;
Triacastela;39095;33068;Es1120001.0108;UA220;0.139709893;UA200;1445.106176;39163.0;Es1120001.0108;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1445.106176;
Triacastela;39402;33167;Es1120001.0214;UA220;1.404487233;UA200;13828.87769;39470.0;Es1120001.0214;5;P;3260;3260;;Ríos dos pisos basal a montano;13828.87769;
Triacastela;39403;33167;Es1120001.0214;UA220;1.404487233;UA200;13828.87769;39471.0;Es1120001.0214;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;13828.87769;
Triacastela;39404;33167;Es1120001.0214;UA220;1.404487233;UA200;13828.87769;39472.0;Es1120001.0214;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;13828.87769;
Triacastela;40740;33619;Es1120001.0672;UA422;39.0549247;UA400;5889.750469;40808.0;Es1120001.0672;1;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;5889.750469;
Triacastela;40741;33619;Es1120001.0672;UA422;39.0549247;UA400;5889.750469;40809.0;Es1120001.0672;1;V;9380;9380;;Bosques de Ilex aquifolium;5889.750469;
Triacastela;41016;33744;Es1120001.0799;UA422;42.41497269;UA400;9240.549592;41084.0;Es1120001.0799;1;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;9240.549592;
Triacastela;41017;33744;Es1120001.0799;UA422;42.41497269;UA400;9240.549592;41085.0;Es1120001.0799;1;V;9380;9380;;Bosques de Ilex aquifolium;9240.549592;
Triacastela;42536;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42605.0;Es1120001.1188;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;162005.1581;
Triacastela;42537;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42610.0;Es1120001.1188;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;162005.1581;
Triacastela;42538;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42611.0;Es1120001.1188;1;S;8310;8310;;Covas non explotadas polo turismo;162005.1581;
Triacastela;42539;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42609.0;Es1120001.1188;1;S;3260;3260;;Ríos dos pisos basal a montano;162005.1581;
Triacastela;42540;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42608.0;Es1120001.1188;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;162005.1581;
Triacastela;42541;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42606.0;Es1120001.1188;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;162005.1581;
Triacastela;42542;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42604.0;Es1120001.1188;5;P;4030;4030;;Queirogais secos europeos;162005.1581;
Triacastela;42543;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42607.0;Es1120001.1188;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;162005.1581;
Triacastela;44670;34471;Es1120001.1557;UA310;56.69541959;UA300;10090.56463;44739.0;Es1120001.1557;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;10090.56463;
Triacastela;44671;34471;Es1120001.1557;UA310;56.69541959;UA300;10090.56463;44744.0;Es1120001.1557;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;10090.56463;
Triacastela;44672;34471;Es1120001.1557;UA310;56.69541959;UA300;10090.56463;44745.0;Es1120001.1557;1;S;8310;8310;;Covas non explotadas polo turismo;10090.56463;
Triacastela;44673;34471;Es1120001.1557;UA310;56.69541959;UA300;10090.56463;44743.0;Es1120001.1557;1;S;3260;3260;;Ríos dos pisos basal a montano;10090.56463;
Triacastela;44674;34471;Es1120001.1557;UA310;56.69541959;UA300;10090.56463;44742.0;Es1120001.1557;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;10090.56463;
Triacastela;44675;34471;Es1120001.1557;UA310;56.69541959;UA300;10090.56463;44740.0;Es1120001.1557;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;10090.56463;
Triacastela;44676;34471;Es1120001.1557;UA310;56.69541959;UA300;10090.56463;44738.0;Es1120001.1557;5;P;4030;4030;;Queirogais secos europeos;10090.56463;
Triacastela;44677;34471;Es1120001.1557;UA310;56.69541959;UA300;10090.56463;44741.0;Es1120001.1557;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;10090.56463;
Triacastela;51308;36706;Es1120001.3814;UA425;50.85900261;UA400;4756.165389;51377.0;Es1120001.3814;1;S;3260;3260;;Ríos dos pisos basal a montano;4756.165389;
Triacastela;51309;36706;Es1120001.3814;UA425;50.85900261;UA400;4756.165389;51378.0;Es1120001.3814;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4756.165389;
Triacastela;51310;36706;Es1120001.3814;UA425;50.85900261;UA400;4756.165389;51379.0;Es1120001.3814;1;S;4030;4030;;Queirogais secos europeos;4756.165389;
