concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Valadouro; O;99691;69048;ES1120015.1033;UA532;0.497810957;UA500;299.7342734;99759;ES1120015.1033;3;V;6510;6510;;Prados de sega de baixa altitude;299.7342734
Valadouro; O;99732;69038;ES1120015.1056;UA230;13.05903244;UA200;1632.508799;99800;ES1120015.1056;5;P;7130;7130;;Turbeiras de cobertor (* para turbeiras activas);1632.508799
Valadouro; O;99733;69038;ES1120015.1056;UA230;13.05903244;UA200;1632.508799;99801;ES1120015.1056;5;V;7140;7140;;Turbeiras de transición e inllós;1632.508799
Valadouro; O;99789;69341;ES1120015.1084;UA270;2.622122707;UA200;1827.411462;99859;ES1120015.1084;1;V;6230*;6230;X;Formacións herbáceas con Nardus;1827.411462
Valadouro; O;99790;69341;ES1120015.1084;UA270;2.622122707;UA200;1827.411462;99860;ES1120015.1084;2;V;7110*;7110;X;Turbeiras altas activas;1827.411462
Valadouro; O;99791;69341;ES1120015.1084;UA270;2.622122707;UA200;1827.411462;99858;ES1120015.1084;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1827.411462
Valadouro; O;99792;69341;ES1120015.1084;UA270;2.622122707;UA200;1827.411462;99857;ES1120015.1084;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1827.411462
Valadouro; O;99887;69339;ES1120015.1114;UA240;32.34301378;UA200;4064.907034;99955;ES1120015.1114;5;P;7120;7120;;Turbeiras altas degradadas;4064.907034
Valadouro; O;99888;69339;ES1120015.1114;UA240;32.34301378;UA200;4064.907034;99956;ES1120015.1114;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4064.907034
Valadouro; O;99921;69338;ES1120015.1122;UA320;1.517206816;UA300;969.1284048;99989;ES1120015.1122;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;969.1284048
Valadouro; O;99922;69338;ES1120015.1122;UA320;1.517206816;UA300;969.1284048;99990;ES1120015.1122;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;969.1284048
Valadouro; O;99923;69338;ES1120015.1122;UA320;1.517206816;UA300;969.1284048;99991;ES1120015.1122;2;V;4030;4030;;Queirogais secos europeos;969.1284048
Valadouro; O;99924;69338;ES1120015.1122;UA320;1.517206816;UA300;969.1284048;99992;ES1120015.1122;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;969.1284048
Valadouro; O;102003;68953;ES1120015.2123;UA230;197.6995491;UA200;21330.5123;102071;ES1120015.2123;5;P;7130;7130;;Turbeiras de cobertor (* para turbeiras activas);21330.5123
Valadouro; O;102004;68953;ES1120015.2123;UA230;197.6995491;UA200;21330.5123;102072;ES1120015.2123;5;V;7140;7140;;Turbeiras de transición e inllós;21330.5123
Valadouro; O;102058;68404;ES1120015.2152;UA631;10.42797248;UA600;1992.151361;102126;ES1120015.2152;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1992.151361
Valadouro; O;102060;68408;ES1120015.2155;UA420;2.080983675;UA400;2133.83792;102128;ES1120015.2155;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2133.83792
Valadouro; O;102092;68411;ES1120015.2174;UA631;52.2723809;UA600;6081.352506;102160;ES1120015.2174;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;6081.352506
Valadouro; O;102105;67786;ES1120015.2177;UA530;33.21972692;UA500;4906.89968;102173;ES1120015.2177;5;V;6510;6510;;Prados de sega de baixa altitude;4906.89968
Valadouro; O;102106;67786;ES1120015.2177;UA530;33.21972692;UA500;4906.89968;102174;ES1120015.2177;1;S;6410;6410;;Prados con Molinia;4906.89968
Valadouro; O;102216;68916;ES1120015.2210;UA630;240.3816038;UA600;21442.98849;102284;ES1120015.2210;1;S;7110*;7110;X;Turbeiras altas activas;21442.98849
Valadouro; O;102217;68916;ES1120015.2210;UA630;240.3816038;UA600;21442.98849;102285;ES1120015.2210;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;21442.98849
Valadouro; O;102577;68757;ES1120015.2322;UA420;24.91716006;UA400;4304.874752;102647;ES1120015.2322;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4304.874752
Valadouro; O;102578;68757;ES1120015.2322;UA420;24.91716006;UA400;4304.874752;102645;ES1120015.2322;5;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;4304.874752
Valadouro; O;102579;68757;ES1120015.2322;UA420;24.91716006;UA400;4304.874752;102646;ES1120015.2322;1;V;9380;9380;;Bosques de Ilex aquifolium;4304.874752
Valadouro; O;102582;69453;ES1120015.2326;UA270;542.9969564;UA200;39342.73831;102658;ES1120015.2326;1;V;7140;7140;;Turbeiras de transición e inllós;39342.73831
