concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Vila de Cruces;181969;104802;ES1140001.1685;UA220;3.386117091;UA200;6451.093992;182046.0;ES1140001.1685;5;P;3260;3260;;Ríos dos pisos basal a montano;6451.093992;
Vila de Cruces;181970;104802;ES1140001.1685;UA220;3.386117091;UA200;6451.093992;182047.0;ES1140001.1685;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6451.093992;
Vila de Cruces;182094;104934;ES1140001.1727;UA220;5.634484391;UA200;9883.687561;182171.0;ES1140001.1727;5;P;3260;3260;;Ríos dos pisos basal a montano;9883.687561;
Vila de Cruces;182095;104934;ES1140001.1727;UA220;5.634484391;UA200;9883.687561;182172.0;ES1140001.1727;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;9883.687561;
Vila de Cruces;182134;104888;ES1140001.1739;UA420;12.11089766;UA400;3633.19656;182216.0;ES1140001.1739;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;3633.19656;
Vila de Cruces;182135;104888;ES1140001.1739;UA420;12.11089766;UA400;3633.19656;182215.0;ES1140001.1739;1;S;4030;4030;;Queirogais secos europeos;3633.19656;
Vila de Cruces;182136;104888;ES1140001.1739;UA420;12.11089766;UA400;3633.19656;182218.0;ES1140001.1739;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3633.19656;
Vila de Cruces;182137;104888;ES1140001.1739;UA420;12.11089766;UA400;3633.19656;182211.0;ES1140001.1739;5;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;3633.19656;
Vila de Cruces;182138;104888;ES1140001.1739;UA420;12.11089766;UA400;3633.19656;182213.0;ES1140001.1739;1;S;3260;3260;;Ríos dos pisos basal a montano;3633.19656;
Vila de Cruces;182139;104888;ES1140001.1739;UA420;12.11089766;UA400;3633.19656;182214.0;ES1140001.1739;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3633.19656;
Vila de Cruces;182140;104888;ES1140001.1739;UA420;12.11089766;UA400;3633.19656;182212.0;ES1140001.1739;1;V;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;3633.19656;
Vila de Cruces;182141;104888;ES1140001.1739;UA420;12.11089766;UA400;3633.19656;182217.0;ES1140001.1739;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;3633.19656;
Vila de Cruces;182142;104887;ES1140001.1740;UA320;4.388535568;UA300;1843.214674;182219.0;ES1140001.1740;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1843.214674;
Vila de Cruces;182143;104887;ES1140001.1740;UA320;4.388535568;UA300;1843.214674;182220.0;ES1140001.1740;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1843.214674;
Vila de Cruces;182144;104887;ES1140001.1740;UA320;4.388535568;UA300;1843.214674;182221.0;ES1140001.1740;2;V;4030;4030;;Queirogais secos europeos;1843.214674;
Vila de Cruces;182145;104887;ES1140001.1740;UA320;4.388535568;UA300;1843.214674;182222.0;ES1140001.1740;1;V;4030;4030;;Queirogais secos europeos;1843.214674;
Vila de Cruces;182146;104887;ES1140001.1740;UA320;4.388535568;UA300;1843.214674;182223.0;ES1140001.1740;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1843.214674;
Vila de Cruces;182147;104887;ES1140001.1740;UA320;4.388535568;UA300;1843.214674;182224.0;ES1140001.1740;1;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1843.214674;
Vila de Cruces;182148;104884;ES1140001.1741;UA630;24.33284138;UA600;3861.281479;182225.0;ES1140001.1741;2;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;3861.281479;
Vila de Cruces;182149;104884;ES1140001.1741;UA630;24.33284138;UA600;3861.281479;182226.0;ES1140001.1741;1;S;6410;6410;;Prados con Molinia;3861.281479;
Vila de Cruces;182150;104709;ES1140001.1742;UA320;2.980768935;UA300;1402.902753;182229.0;ES1140001.1742;5;V;4030;4030;;Queirogais secos europeos;1402.902753;
Vila de Cruces;182151;104709;ES1140001.1742;UA320;2.980768935;UA300;1402.902753;182230.0;ES1140001.1742;1;V;4030;4030;;Queirogais secos europeos;1402.902753;
Vila de Cruces;182152;104709;ES1140001.1742;UA320;2.980768935;UA300;1402.902753;182228.0;ES1140001.1742;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1402.902753;
Vila de Cruces;182153;104709;ES1140001.1742;UA320;2.980768935;UA300;1402.902753;182227.0;ES1140001.1742;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1402.902753;
Vila de Cruces;182154;104709;ES1140001.1742;UA320;2.980768935;UA300;1402.902753;182231.0;ES1140001.1742;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1402.902753;
Vila de Cruces;182155;104881;ES1140001.1743;UA420;25.23048885;UA400;7235.246079;182237.0;ES1140001.1743;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;7235.246079;
Vila de Cruces;182156;104881;ES1140001.1743;UA420;25.23048885;UA400;7235.246079;182238.0;ES1140001.1743;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7235.246079;
Vila de Cruces;182157;104881;ES1140001.1743;UA420;25.23048885;UA400;7235.246079;182236.0;ES1140001.1743;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;7235.246079;
Vila de Cruces;182158;104881;ES1140001.1743;UA420;25.23048885;UA400;7235.246079;182235.0;ES1140001.1743;1;S;4030;4030;;Queirogais secos europeos;7235.246079;
Vila de Cruces;182159;104881;ES1140001.1743;UA420;25.23048885;UA400;7235.246079;182234.0;ES1140001.1743;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7235.246079;
Vila de Cruces;182160;104881;ES1140001.1743;UA420;25.23048885;UA400;7235.246079;182233.0;ES1140001.1743;1;S;3260;3260;;Ríos dos pisos basal a montano;7235.246079;
Vila de Cruces;182161;104881;ES1140001.1743;UA420;25.23048885;UA400;7235.246079;182232.0;ES1140001.1743;5;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;7235.246079;
Vila de Cruces;182162;104881;ES1140001.1743;UA420;25.23048885;UA400;7235.246079;182239.0;ES1140001.1743;1;S;6510;6510;;Prados de sega de baixa altitude;7235.246079;
Vila de Cruces;182180;104868;ES1140001.1748;UA420;11.96421964;UA400;3152.864109;182261.0;ES1140001.1748;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;3152.864109;
Vila de Cruces;182181;104868;ES1140001.1748;UA420;11.96421964;UA400;3152.864109;182264.0;ES1140001.1748;1;S;6410;6410;;Prados con Molinia;3152.864109;
Vila de Cruces;182182;104868;ES1140001.1748;UA420;11.96421964;UA400;3152.864109;182262.0;ES1140001.1748;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;3152.864109;
