concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Aranga;"Parque Eólico Cordal de Montouto
";22086;20053;ES1110007.1215;UA220;17.6436010347;UA200;44188.9705941;22154;ES1110007.1215;5.0;P;3260;3260;;Ríos dos pisos basal a montano;44188.9705941
Aranga;"Parque Eólico Cordal de Montouto
";22087;20053;ES1110007.1215;UA220;17.6436010347;UA200;44188.9705941;22155;ES1110007.1215;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;44188.9705941
Aranga;"Parque Eólico Cordal de Montouto
";22118;18506;ES1110007.1259;UA531;2.21295085264;UA500;1082.86598623;22187;ES1110007.1259;1.0;S;6410;6410;;Prados con Molinia;1082.86598623
Aranga;"Parque Eólico Cordal de Montouto
";22119;18506;ES1110007.1259;UA531;2.21295085264;UA500;1082.86598623;22186;ES1110007.1259;3.0;V;6510;6510;;Prados de sega de baixa altitude;1082.86598623
Aranga;"Parque Eólico Cordal de Montouto
";22172;18497;ES1110007.1316;UA531;10.4589229543;UA500;1799.08536987;22240;ES1110007.1316;5.0;V;6510;6510;;Prados de sega de baixa altitude;1799.08536987
Aranga;"Parque Eólico Cordal de Montouto
";22173;18497;ES1110007.1316;UA531;10.4589229543;UA500;1799.08536987;22241;ES1110007.1316;2.0;S;6410;6410;;Prados con Molinia;1799.08536987
Aranga;"Parque Eólico Cordal de Montouto
";22174;18497;ES1110007.1316;UA531;10.4589229543;UA500;1799.08536987;22242;ES1110007.1316;1.0;S;6410;6410;;Prados con Molinia;1799.08536987
Aranga;"Parque Eólico Cordal de Montouto
";22175;18515;ES1110007.1317;UA531;4.66066176292;UA500;1761.69712155;22244;ES1110007.1317;1.0;S;6410;6410;;Prados con Molinia;1761.69712155
Aranga;"Parque Eólico Cordal de Montouto
";22176;18515;ES1110007.1317;UA531;4.66066176292;UA500;1761.69712155;22243;ES1110007.1317;3.0;V;6510;6510;;Prados de sega de baixa altitude;1761.69712155
Aranga;"Parque Eólico Cordal de Montouto
";22177;18507;ES1110007.1318;UA631;2.75265760459;UA600;973.794380857;22245;ES1110007.1318;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;973.794380857
Aranga;"Parque Eólico Cordal de Montouto
";22179;18509;ES1110007.1320;UA531;0.650367403783;UA500;409.249647675;22247;ES1110007.1320;3.0;V;6510;6510;;Prados de sega de baixa altitude;409.249647675
Aranga;"Parque Eólico Cordal de Montouto
";22180;18509;ES1110007.1320;UA531;0.650367403783;UA500;409.249647675;22248;ES1110007.1320;1.0;S;6410;6410;;Prados con Molinia;409.249647675
Aranga;"Parque Eólico Cordal de Montouto
";22181;18496;ES1110007.1321;UA531;1.89267435191;UA500;556.316673227;22249;ES1110007.1321;3.0;V;6510;6510;;Prados de sega de baixa altitude;556.316673227
Aranga;"Parque Eólico Cordal de Montouto
";22182;18496;ES1110007.1321;UA531;1.89267435191;UA500;556.316673227;22250;ES1110007.1321;1.0;S;6410;6410;;Prados con Molinia;556.316673227
Aranga;"Parque Eólico Cordal de Montouto
";22183;18635;ES1110007.1324;UA531;0.493491011116;UA500;512.577270464;22252;ES1110007.1324;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;512.577270464
Aranga;"Parque Eólico Cordal de Montouto
";22184;18635;ES1110007.1324;UA531;0.493491011116;UA500;512.577270464;22253;ES1110007.1324;1.0;S;6410;6410;;Prados con Molinia;512.577270464
Aranga;"Parque Eólico Cordal de Montouto
";22185;18635;ES1110007.1324;UA531;0.493491011116;UA500;512.577270464;22251;ES1110007.1324;3.0;V;6510;6510;;Prados de sega de baixa altitude;512.577270464
Aranga;"Parque Eólico Cordal de Montouto
";22187;18513;ES1110007.1326;UA531;2.91369761381;UA500;939.300150361;22255;ES1110007.1326;3.0;V;6510;6510;;Prados de sega de baixa altitude;939.300150361
Aranga;"Parque Eólico Cordal de Montouto
";22188;18513;ES1110007.1326;UA531;2.91369761381;UA500;939.300150361;22256;ES1110007.1326;1.0;S;6410;6410;;Prados con Molinia;939.300150361
Aranga;"Parque Eólico Cordal de Montouto
";22189;18508;ES1110007.1327;UA530;1.4255208246;UA500;1001.07641385;22257;ES1110007.1327;3.0;V;6510;6510;;Prados de sega de baixa altitude;1001.07641385
Aranga;"Parque Eólico Cordal de Montouto
";22190;18508;ES1110007.1327;UA530;1.4255208246;UA500;1001.07641385;22258;ES1110007.1327;1.0;S;6410;6410;;Prados con Molinia;1001.07641385
Aranga;"Parque Eólico Cordal de Montouto
";22191;18512;ES1110007.1329;UA531;0.267371394742;UA500;234.22879446;22260;ES1110007.1329;1.0;S;6410;6410;;Prados con Molinia;234.22879446
Aranga;"Parque Eólico Cordal de Montouto
";22192;18512;ES1110007.1329;UA531;0.267371394742;UA500;234.22879446;22259;ES1110007.1329;3.0;V;6510;6510;;Prados de sega de baixa altitude;234.22879446
Aranga;"Parque Eólico Cordal de Montouto
";22193;18646;ES1110007.1337;UA531;1.64984313952;UA500;1025.90505597;22263;ES1110007.1337;1.0;S;6410;6410;;Prados con Molinia;1025.90505597
Aranga;"Parque Eólico Cordal de Montouto
";22194;18646;ES1110007.1337;UA531;1.64984313952;UA500;1025.90505597;22262;ES1110007.1337;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1025.90505597
Aranga;"Parque Eólico Cordal de Montouto
";22195;18646;ES1110007.1337;UA531;1.64984313952;UA500;1025.90505597;22261;ES1110007.1337;3.0;V;6510;6510;;Prados de sega de baixa altitude;1025.90505597
Aranga;"Parque Eólico Cordal de Montouto
";22197;18563;ES1110007.1341;UA320;21.7489467077;UA300;4316.89854066;22265;ES1110007.1341;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;4316.89854066
Aranga;"Parque Eólico Cordal de Montouto
";22198;18563;ES1110007.1341;UA320;21.7489467077;UA300;4316.89854066;22266;ES1110007.1341;5.0;V;4030;4030;;Queirogais secos europeos;4316.89854066
Aranga;"Parque Eólico Cordal de Montouto
";22199;18563;ES1110007.1341;UA320;21.7489467077;UA300;4316.89854066;22267;ES1110007.1341;1.0;V;4030;4030;;Queirogais secos europeos;4316.89854066
Aranga;"Parque Eólico Cordal de Montouto
";22200;18563;ES1110007.1341;UA320;21.7489467077;UA300;4316.89854066;22268;ES1110007.1341;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4316.89854066
Aranga;"Parque Eólico Cordal de Montouto
";22201;18636;ES1110007.1346;UA631;1.68888687842;UA600;991.605960208;22269;ES1110007.1346;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;991.605960208
Aranga;"Parque Eólico Cordal de Montouto
";22202;18653;ES1110007.1347;UA420;20.9279377114;UA400;7184.14230242;22270;ES1110007.1347;5.0;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;7184.14230242
Aranga;"Parque Eólico Cordal de Montouto
";22203;18653;ES1110007.1347;UA420;20.9279377114;UA400;7184.14230242;22271;ES1110007.1347;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7184.14230242
Aranga;"Parque Eólico Cordal de Montouto
";22204;18596;ES1110007.1349;UA320;0.978927519404;UA300;513.950203003;22272;ES1110007.1349;5.0;V;4030;4030;;Queirogais secos europeos;513.950203003
Aranga;"Parque Eólico Cordal de Montouto
";22205;18564;ES1110007.1350;UA320;10.351391337;UA300;2743.54798632;22273;ES1110007.1350;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2743.54798632
Aranga;"Parque Eólico Cordal de Montouto
";22206;18564;ES1110007.1350;UA320;10.351391337;UA300;2743.54798632;22274;ES1110007.1350;5.0;V;4030;4030;;Queirogais secos europeos;2743.54798632
Aranga;"Parque Eólico Cordal de Montouto
";22207;18564;ES1110007.1350;UA320;10.351391337;UA300;2743.54798632;22275;ES1110007.1350;1.0;V;4030;4030;;Queirogais secos europeos;2743.54798632
Aranga;"Parque Eólico Cordal de Montouto
";22208;18564;ES1110007.1350;UA320;10.351391337;UA300;2743.54798632;22276;ES1110007.1350;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2743.54798632
Aranga;"Parque Eólico Cordal de Montouto
";22239;18838;ES1110007.1387;UA420;3.29427075505;UA400;3183.84244216;22309;ES1110007.1387;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;3183.84244216
Aranga;"Parque Eólico Cordal de Montouto
";22240;18838;ES1110007.1387;UA420;3.29427075505;UA400;3183.84244216;22310;ES1110007.1387;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3183.84244216
Aranga;"Parque Eólico Cordal de Montouto
";22241;18838;ES1110007.1387;UA420;3.29427075505;UA400;3183.84244216;22307;ES1110007.1387;5.0;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;3183.84244216
Aranga;"Parque Eólico Cordal de Montouto
";22242;18838;ES1110007.1387;UA420;3.29427075505;UA400;3183.84244216;22308;ES1110007.1387;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;3183.84244216
Aranga;"Parque Eólico Cordal de Montouto
";22260;18534;ES1110007.1408;UA531;3.20478879262;UA500;1087.95239138;22328;ES1110007.1408;3.0;V;6510;6510;;Prados de sega de baixa altitude;1087.95239138
Aranga;"Parque Eólico Cordal de Montouto
";22261;18534;ES1110007.1408;UA531;3.20478879262;UA500;1087.95239138;22329;ES1110007.1408;1.0;S;6410;6410;;Prados con Molinia;1087.95239138
Aranga;"Parque Eólico Cordal de Montouto
";22262;20061;ES1110007.1409;UA531;83.1232212469;UA500;12223.670209;22333;ES1110007.1409;1.0;S;6410;6410;;Prados con Molinia;12223.670209
Aranga;"Parque Eólico Cordal de Montouto
";22263;20061;ES1110007.1409;UA531;83.1232212469;UA500;12223.670209;22330;ES1110007.1409;3.0;V;6510;6510;;Prados de sega de baixa altitude;12223.670209
Aranga;"Parque Eólico Cordal de Montouto
";22264;20061;ES1110007.1409;UA531;83.1232212469;UA500;12223.670209;22331;ES1110007.1409;1.0;S;3260;3260;;Ríos dos pisos basal a montano;12223.670209
Aranga;"Parque Eólico Cordal de Montouto
";22265;20061;ES1110007.1409;UA531;83.1232212469;UA500;12223.670209;22332;ES1110007.1409;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;12223.670209
Aranga;"Parque Eólico Cordal de Montouto
";22266;20060;ES1110007.1410;UA320;14.133509445;UA300;3383.59792484;22339;ES1110007.1410;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3383.59792484
Aranga;"Parque Eólico Cordal de Montouto
";22267;20060;ES1110007.1410;UA320;14.133509445;UA300;3383.59792484;22338;ES1110007.1410;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;3383.59792484
Aranga;"Parque Eólico Cordal de Montouto
";22268;20060;ES1110007.1410;UA320;14.133509445;UA300;3383.59792484;22337;ES1110007.1410;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3383.59792484
