concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Baltar;A Guioncha;119864;80979;ES1130001.0001;UA532;91.0886690632;UA500;16131.7505391;119948;ES1130001.0001;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;16131.7505391
Baltar;A Guioncha;119865;80979;ES1130001.0001;UA532;91.0886690632;UA500;16131.7505391;119952;ES1130001.0001;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;16131.7505391
Baltar;A Guioncha;119866;80979;ES1130001.0001;UA532;91.0886690632;UA500;16131.7505391;119953;ES1130001.0001;1.0;S;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;16131.7505391
Baltar;A Guioncha;119867;80979;ES1130001.0001;UA532;91.0886690632;UA500;16131.7505391;119951;ES1130001.0001;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;16131.7505391
Baltar;A Guioncha;119868;80979;ES1130001.0001;UA532;91.0886690632;UA500;16131.7505391;119950;ES1130001.0001;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;16131.7505391
Baltar;A Guioncha;119869;80979;ES1130001.0001;UA532;91.0886690632;UA500;16131.7505391;119949;ES1130001.0001;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;16131.7505391
Baltar;A Guioncha;119870;80979;ES1130001.0001;UA532;91.0886690632;UA500;16131.7505391;119946;ES1130001.0001;1.0;S;4030;4030;;Queirogais secos europeos;16131.7505391
Baltar;A Guioncha;119871;80979;ES1130001.0001;UA532;91.0886690632;UA500;16131.7505391;119945;ES1130001.0001;1.0;S;6410;6410;;Prados con Molinia;16131.7505391
Baltar;A Guioncha;119872;80979;ES1130001.0001;UA532;91.0886690632;UA500;16131.7505391;119944;ES1130001.0001;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;16131.7505391
Baltar;A Guioncha;119873;80979;ES1130001.0001;UA532;91.0886690632;UA500;16131.7505391;119943;ES1130001.0001;1.0;S;3260;3260;;Ríos dos pisos basal a montano;16131.7505391
Baltar;A Guioncha;119874;80979;ES1130001.0001;UA532;91.0886690632;UA500;16131.7505391;119941;ES1130001.0001;1.0;V;6510;6510;;Prados de sega de baixa altitude;16131.7505391
Baltar;A Guioncha;119875;80979;ES1130001.0001;UA532;91.0886690632;UA500;16131.7505391;119947;ES1130001.0001;1.0;S;4030;4030;;Queirogais secos europeos;16131.7505391
Baltar;A Guioncha;119876;80979;ES1130001.0001;UA532;91.0886690632;UA500;16131.7505391;119942;ES1130001.0001;1.0;V;6510;6510;;Prados de sega de baixa altitude;16131.7505391
Baltar;A Guioncha;119915;80924;ES1130001.0009;UA532;69.7824222716;UA500;5487.54708127;119998;ES1130001.0009;1.0;S;4030;4030;;Queirogais secos europeos;5487.54708127
Baltar;A Guioncha;119916;80924;ES1130001.0009;UA532;69.7824222716;UA500;5487.54708127;120002;ES1130001.0009;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;5487.54708127
Baltar;A Guioncha;119917;80924;ES1130001.0009;UA532;69.7824222716;UA500;5487.54708127;120001;ES1130001.0009;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;5487.54708127
Baltar;A Guioncha;119918;80924;ES1130001.0009;UA532;69.7824222716;UA500;5487.54708127;119999;ES1130001.0009;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;5487.54708127
Baltar;A Guioncha;119919;80924;ES1130001.0009;UA532;69.7824222716;UA500;5487.54708127;119997;ES1130001.0009;1.0;S;4030;4030;;Queirogais secos europeos;5487.54708127
Baltar;A Guioncha;119920;80924;ES1130001.0009;UA532;69.7824222716;UA500;5487.54708127;119996;ES1130001.0009;1.0;S;6410;6410;;Prados con Molinia;5487.54708127
Baltar;A Guioncha;119921;80924;ES1130001.0009;UA532;69.7824222716;UA500;5487.54708127;119995;ES1130001.0009;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5487.54708127
Baltar;A Guioncha;119922;80924;ES1130001.0009;UA532;69.7824222716;UA500;5487.54708127;119994;ES1130001.0009;1.0;S;3260;3260;;Ríos dos pisos basal a montano;5487.54708127
Baltar;A Guioncha;119923;80924;ES1130001.0009;UA532;69.7824222716;UA500;5487.54708127;119993;ES1130001.0009;1.0;V;6510;6510;;Prados de sega de baixa altitude;5487.54708127
Baltar;A Guioncha;119924;80924;ES1130001.0009;UA532;69.7824222716;UA500;5487.54708127;119992;ES1130001.0009;1.0;V;6510;6510;;Prados de sega de baixa altitude;5487.54708127
Baltar;A Guioncha;119925;80924;ES1130001.0009;UA532;69.7824222716;UA500;5487.54708127;120000;ES1130001.0009;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;5487.54708127
Baltar;A Guioncha;123059;80738;ES1130001.0923;UA220;1.22789697841;UA200;3485.92111575;123136;ES1130001.0923;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3485.92111575
Baltar;A Guioncha;123060;80738;ES1130001.0923;UA220;1.22789697841;UA200;3485.92111575;123137;ES1130001.0923;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3485.92111575
Baltar;A Guioncha;123061;80738;ES1130001.0923;UA220;1.22789697841;UA200;3485.92111575;123138;ES1130001.0923;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3485.92111575
Baltar;A Guioncha;123062;80740;ES1130001.0924;UA260;8.32991971745;UA200;4271.98701313;123139;ES1130001.0924;4.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4271.98701313
Baltar;A Guioncha;123063;80740;ES1130001.0924;UA260;8.32991971745;UA200;4271.98701313;123140;ES1130001.0924;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4271.98701313
Baltar;A Guioncha;123064;80740;ES1130001.0924;UA260;8.32991971745;UA200;4271.98701313;123141;ES1130001.0924;2.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;4271.98701313
Baltar;A Guioncha;123065;80737;ES1130001.0926;UA532;2.63529974329;UA500;1245.41164136;123142;ES1130001.0926;1.0;V;6510;6510;;Prados de sega de baixa altitude;1245.41164136
Baltar;A Guioncha;123066;80737;ES1130001.0926;UA532;2.63529974329;UA500;1245.41164136;123143;ES1130001.0926;1.0;V;6510;6510;;Prados de sega de baixa altitude;1245.41164136
Baltar;A Guioncha;123067;80737;ES1130001.0926;UA532;2.63529974329;UA500;1245.41164136;123144;ES1130001.0926;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1245.41164136
Baltar;A Guioncha;123068;80737;ES1130001.0926;UA532;2.63529974329;UA500;1245.41164136;123145;ES1130001.0926;1.0;S;6410;6410;;Prados con Molinia;1245.41164136
Baltar;A Guioncha;123091;80739;ES1130001.0931;UA532;2.17624700322;UA500;1106.91025272;123168;ES1130001.0931;1.0;V;6510;6510;;Prados de sega de baixa altitude;1106.91025272
Baltar;A Guioncha;123092;80739;ES1130001.0931;UA532;2.17624700322;UA500;1106.91025272;123169;ES1130001.0931;5.0;V;6510;6510;;Prados de sega de baixa altitude;1106.91025272
Baltar;A Guioncha;123093;80739;ES1130001.0931;UA532;2.17624700322;UA500;1106.91025272;123170;ES1130001.0931;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1106.91025272
Baltar;A Guioncha;123094;80739;ES1130001.0931;UA532;2.17624700322;UA500;1106.91025272;123171;ES1130001.0931;1.0;S;6410;6410;;Prados con Molinia;1106.91025272
Baltar;A Guioncha;123369;80873;ES1130001.1033;UA532;28.5704543598;UA500;7423.47217096;123452;ES1130001.1033;1.0;S;4030;4030;;Queirogais secos europeos;7423.47217096
Baltar;A Guioncha;123370;80873;ES1130001.1033;UA532;28.5704543598;UA500;7423.47217096;123456;ES1130001.1033;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;7423.47217096
Baltar;A Guioncha;123371;80873;ES1130001.1033;UA532;28.5704543598;UA500;7423.47217096;123455;ES1130001.1033;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7423.47217096
Baltar;A Guioncha;123372;80873;ES1130001.1033;UA532;28.5704543598;UA500;7423.47217096;123453;ES1130001.1033;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;7423.47217096
Baltar;A Guioncha;123373;80873;ES1130001.1033;UA532;28.5704543598;UA500;7423.47217096;123451;ES1130001.1033;1.0;S;4030;4030;;Queirogais secos europeos;7423.47217096
