concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Barreiros;Poligonal Borrasca;90592;61735;ES1120011.0180;UA530;28.800285422;UA500;5218.63170775;90661;ES1120011.0180;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5218.63170775
Barreiros;Poligonal Borrasca;90593;61735;ES1120011.0180;UA530;28.800285422;UA500;5218.63170775;90660;ES1120011.0180;1.0;V;6510;6510;;Prados de sega de baixa altitude;5218.63170775
Barreiros;Poligonal Borrasca;90596;61868;ES1120011.0182;UA630;200.926904781;UA600;15183.3798711;90664;ES1120011.0182;1.0;S;4030;4030;;Queirogais secos europeos;15183.3798711
Barreiros;Poligonal Borrasca;90597;61868;ES1120011.0182;UA630;200.926904781;UA600;15183.3798711;90665;ES1120011.0182;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;15183.3798711
Barreiros;Poligonal Borrasca;90598;61868;ES1120011.0182;UA630;200.926904781;UA600;15183.3798711;90666;ES1120011.0182;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;15183.3798711
Barreiros;Poligonal Borrasca;90788;61640;ES1120011.0281;UA220;0.372541300651;UA200;1498.19830078;90856;ES1120011.0281;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1498.19830078
Barreiros;Poligonal Borrasca;90789;61640;ES1120011.0281;UA220;0.372541300651;UA200;1498.19830078;90857;ES1120011.0281;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1498.19830078
Barreiros;Poligonal Borrasca;91085;61679;ES1120011.0459;UA631;12.9858030597;UA600;2244.26661513;91153;ES1120011.0459;1.0;S;4030;4030;;Queirogais secos europeos;2244.26661513
Barreiros;Poligonal Borrasca;91086;61679;ES1120011.0459;UA631;12.9858030597;UA600;2244.26661513;91154;ES1120011.0459;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2244.26661513
Barreiros;Poligonal Borrasca;91087;61679;ES1120011.0459;UA631;12.9858030597;UA600;2244.26661513;91155;ES1120011.0459;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2244.26661513
Barreiros;Poligonal P.E FONTE BARREIROS;90700;61451;ES1120011.0236;UA220;0.431470589302;UA200;1735.07144412;90768;ES1120011.0236;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1735.07144412
Barreiros;Poligonal P.E FONTE BARREIROS;90701;61451;ES1120011.0236;UA220;0.431470589302;UA200;1735.07144412;90769;ES1120011.0236;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1735.07144412
Barreiros;Poligonal P.E FONTE BARREIROS;90704;61452;ES1120011.0238;UA220;1.21873764971;UA200;4884.65402271;90773;ES1120011.0238;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4884.65402271
Barreiros;Poligonal P.E FONTE BARREIROS;90705;61452;ES1120011.0238;UA220;1.21873764971;UA200;4884.65402271;90772;ES1120011.0238;5.0;P;3260;3260;;Ríos dos pisos basal a montano;4884.65402271
Barreiros;Poligonal P.E FONTE BARREIROS;90708;61453;ES1120011.0240;UA220;0.202605603907;UA200;820.253091072;90776;ES1120011.0240;5.0;P;3260;3260;;Ríos dos pisos basal a montano;820.253091072
Barreiros;Poligonal P.E FONTE BARREIROS;90709;61453;ES1120011.0240;UA220;0.202605603907;UA200;820.253091072;90777;ES1120011.0240;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;820.253091072
Barreiros;Poligonal P.E FONTE BARREIROS;90710;61454;ES1120011.0241;UA220;0.740567415522;UA200;2974.3081272;90779;ES1120011.0241;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2974.3081272
Barreiros;Poligonal P.E FONTE BARREIROS;90711;61454;ES1120011.0241;UA220;0.740567415522;UA200;2974.3081272;90778;ES1120011.0241;5.0;P;3260;3260;;Ríos dos pisos basal a montano;2974.3081272
Barreiros;Poligonal P.E FONTE BARREIROS;90714;61872;ES1120011.0243;UA220;2.58608695763;UA200;10354.3545584;90782;ES1120011.0243;5.0;P;3260;3260;;Ríos dos pisos basal a montano;10354.3545584
Barreiros;Poligonal P.E FONTE BARREIROS;90715;61872;ES1120011.0243;UA220;2.58608695763;UA200;10354.3545584;90783;ES1120011.0243;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;10354.3545584
