concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Becerreá;Poligonal P.E SERRA DO FURCO;86437;57320;ES1120007.0003;UA320;23.9895404736;UA300;2821.29963897;86511;ES1120007.0003;1.0;S;3260;3260;;Ríos dos pisos basal a montano;2821.29963897
Becerreá;Poligonal P.E SERRA DO FURCO;86438;57320;ES1120007.0003;UA320;23.9895404736;UA300;2821.29963897;86510;ES1120007.0003;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2821.29963897
Becerreá;Poligonal P.E SERRA DO FURCO;86439;57320;ES1120007.0003;UA320;23.9895404736;UA300;2821.29963897;86509;ES1120007.0003;2.0;V;4030;4030;;Queirogais secos europeos;2821.29963897
Becerreá;Poligonal P.E SERRA DO FURCO;86440;57320;ES1120007.0003;UA320;23.9895404736;UA300;2821.29963897;86508;ES1120007.0003;4.0;V;4030;4030;;Queirogais secos europeos;2821.29963897
Becerreá;Poligonal P.E SERRA DO FURCO;86441;57320;ES1120007.0003;UA320;23.9895404736;UA300;2821.29963897;86507;ES1120007.0003;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2821.29963897
Becerreá;Poligonal P.E SERRA DO FURCO;86442;57320;ES1120007.0003;UA320;23.9895404736;UA300;2821.29963897;86505;ES1120007.0003;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2821.29963897
Becerreá;Poligonal P.E SERRA DO FURCO;86443;57320;ES1120007.0003;UA320;23.9895404736;UA300;2821.29963897;86506;ES1120007.0003;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;2821.29963897
Becerreá;Poligonal P.E SERRA DO FURCO;86450;57324;ES1120007.0008;UA540;0.547593744547;UA500;329.677181613;86518;ES1120007.0008;1.0;V;6510;6510;;Prados de sega de baixa altitude;329.677181613
Becerreá;Poligonal P.E SERRA DO FURCO;86451;57324;ES1120007.0008;UA540;0.547593744547;UA500;329.677181613;86519;ES1120007.0008;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;329.677181613
Becerreá;Poligonal P.E SERRA DO FURCO;86452;57325;ES1120007.0009;UA540;0.897037152856;UA500;544.346815634;86521;ES1120007.0009;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;544.346815634
Becerreá;Poligonal P.E SERRA DO FURCO;86453;57325;ES1120007.0009;UA540;0.897037152856;UA500;544.346815634;86520;ES1120007.0009;1.0;V;6510;6510;;Prados de sega de baixa altitude;544.346815634
Becerreá;Poligonal P.E SERRA DO FURCO;86462;57330;ES1120007.0014;UA540;1.49030090185;UA500;573.932419808;86530;ES1120007.0014;1.0;V;6510;6510;;Prados de sega de baixa altitude;573.932419808
Becerreá;Poligonal P.E SERRA DO FURCO;86463;57330;ES1120007.0014;UA540;1.49030090185;UA500;573.932419808;86531;ES1120007.0014;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;573.932419808
Becerreá;Poligonal P.E SERRA DO FURCO;86469;57334;ES1120007.0020;UA540;62.7729331262;UA500;9129.57416307;86537;ES1120007.0020;1.0;V;6510;6510;;Prados de sega de baixa altitude;9129.57416307
Becerreá;Poligonal P.E SERRA DO FURCO;86470;57334;ES1120007.0020;UA540;62.7729331262;UA500;9129.57416307;86540;ES1120007.0020;1.0;S;4030;4030;;Queirogais secos europeos;9129.57416307
Becerreá;Poligonal P.E SERRA DO FURCO;86471;57334;ES1120007.0020;UA540;62.7729331262;UA500;9129.57416307;86538;ES1120007.0020;1.0;S;3260;3260;;Ríos dos pisos basal a montano;9129.57416307
Becerreá;Poligonal P.E SERRA DO FURCO;86472;57334;ES1120007.0020;UA540;62.7729331262;UA500;9129.57416307;86539;ES1120007.0020;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;9129.57416307
Becerreá;Poligonal P.E SERRA DO FURCO;86723;57471;ES1120007.0189;UA540;32.3002347769;UA500;8566.25503438;86791;ES1120007.0189;1.0;V;6510;6510;;Prados de sega de baixa altitude;8566.25503438
Becerreá;Poligonal P.E SERRA DO FURCO;86724;57471;ES1120007.0189;UA540;32.3002347769;UA500;8566.25503438;86792;ES1120007.0189;1.0;S;3260;3260;;Ríos dos pisos basal a montano;8566.25503438
Becerreá;Poligonal P.E SERRA DO FURCO;86725;57471;ES1120007.0189;UA540;32.3002347769;UA500;8566.25503438;86793;ES1120007.0189;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8566.25503438
Becerreá;Poligonal P.E SERRA DO FURCO;86726;57471;ES1120007.0189;UA540;32.3002347769;UA500;8566.25503438;86794;ES1120007.0189;1.0;S;4030;4030;;Queirogais secos europeos;8566.25503438
Becerreá;Poligonal P.E SERRA DO FURCO;86914;57708;ES1120007.0345;UA425;102.404755934;UA400;19837.5447858;86987;ES1120007.0345;1.0;S;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;19837.5447858
Becerreá;Poligonal P.E SERRA DO FURCO;86915;57708;ES1120007.0345;UA425;102.404755934;UA400;19837.5447858;86992;ES1120007.0345;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;19837.5447858
Becerreá;Poligonal P.E SERRA DO FURCO;86916;57708;ES1120007.0345;UA425;102.404755934;UA400;19837.5447858;86989;ES1120007.0345;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;19837.5447858
Becerreá;Poligonal P.E SERRA DO FURCO;86917;57708;ES1120007.0345;UA425;102.404755934;UA400;19837.5447858;86990;ES1120007.0345;1.0;S;8210;8210;;Encostas rochosas calcícolas con vexetación casmofítica;19837.5447858
Becerreá;Poligonal P.E SERRA DO FURCO;86918;57708;ES1120007.0345;UA425;102.404755934;UA400;19837.5447858;86988;ES1120007.0345;1.0;S;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;19837.5447858
Becerreá;Poligonal P.E SERRA DO FURCO;86919;57708;ES1120007.0345;UA425;102.404755934;UA400;19837.5447858;86985;ES1120007.0345;1.0;S;4030;4030;;Queirogais secos europeos;19837.5447858
Becerreá;Poligonal P.E SERRA DO FURCO;86920;57708;ES1120007.0345;UA425;102.404755934;UA400;19837.5447858;86991;ES1120007.0345;1.0;S;6210*;6210;X;Prados secos seminaturais (Festuco-Brometalia);19837.5447858
Becerreá;Poligonal P.E SERRA DO FURCO;86921;57708;ES1120007.0345;UA425;102.404755934;UA400;19837.5447858;86984;ES1120007.0345;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;19837.5447858
Becerreá;Poligonal P.E SERRA DO FURCO;86922;57708;ES1120007.0345;UA425;102.404755934;UA400;19837.5447858;86983;ES1120007.0345;1.0;S;3260;3260;;Ríos dos pisos basal a montano;19837.5447858
Becerreá;Poligonal P.E SERRA DO FURCO;86923;57708;ES1120007.0345;UA425;102.404755934;UA400;19837.5447858;86982;ES1120007.0345;5.0;P;9260;9260;;Soutos;19837.5447858
Becerreá;Poligonal P.E SERRA DO FURCO;86924;57708;ES1120007.0345;UA425;102.404755934;UA400;19837.5447858;86986;ES1120007.0345;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;19837.5447858
Becerreá;Poligonal P.E SERRA DO FURCO;86977;57907;ES1120007.0376;UA420;17.8270514424;UA400;3666.30585942;87051;ES1120007.0376;1.0;S;6510;6510;;Prados de sega de baixa altitude;3666.30585942
Becerreá;Poligonal P.E SERRA DO FURCO;86978;57907;ES1120007.0376;UA420;17.8270514424;UA400;3666.30585942;87046;ES1120007.0376;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3666.30585942
Becerreá;Poligonal P.E SERRA DO FURCO;86979;57907;ES1120007.0376;UA420;17.8270514424;UA400;3666.30585942;87047;ES1120007.0376;1.0;S;4030;4030;;Queirogais secos europeos;3666.30585942
Becerreá;Poligonal P.E SERRA DO FURCO;86980;57907;ES1120007.0376;UA420;17.8270514424;UA400;3666.30585942;87048;ES1120007.0376;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;3666.30585942
Becerreá;Poligonal P.E SERRA DO FURCO;86981;57907;ES1120007.0376;UA420;17.8270514424;UA400;3666.30585942;87049;ES1120007.0376;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;3666.30585942
