concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Brión;Olerón;179517;105040;ES1140001.0823;UA220;6.9793175542;UA200;23269.1090376;179594;ES1140001.0823;5.0;P;3260;3260;;Ríos dos pisos basal a montano;23269.1090376
Brión;Olerón;179518;105040;ES1140001.0823;UA220;6.9793175542;UA200;23269.1090376;179595;ES1140001.0823;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;23269.1090376
Brión;Olerón;181010;105045;ES1140001.1311;UA220;18.1324559992;UA200;60408.5262981;181089;ES1140001.1311;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;60408.5262981
Brión;Olerón;181011;105045;ES1140001.1311;UA220;18.1324559992;UA200;60408.5262981;181087;ES1140001.1311;5.0;P;3260;3260;;Ríos dos pisos basal a montano;60408.5262981
Brión;Olerón;181012;105045;ES1140001.1311;UA220;18.1324559992;UA200;60408.5262981;181088;ES1140001.1311;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;60408.5262981
Brión;Poligonal Cova da vella,Poligonal P.E HURACÁN;26729;23992;ES1110011.0379;UA631;102.219223018;UA600;7977.2399742;26797;ES1110011.0379;1.0;S;4030;4030;;Queirogais secos europeos;7977.2399742
Brión;Poligonal Cova da vella,Poligonal P.E HURACÁN;26731;23992;ES1110011.0379;UA631;102.219223018;UA600;7977.2399742;26799;ES1110011.0379;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7977.2399742
Brión;Poligonal Cova da vella,Poligonal P.E HURACÁN;26913;23622;ES1110011.0471;UA220;2.23601411606;UA200;11182.5870284;26981;ES1110011.0471;5.0;P;3260;3260;;Ríos dos pisos basal a montano;11182.5870284
Brión;Poligonal Cova da vella,Poligonal P.E HURACÁN;26915;23622;ES1110011.0471;UA220;2.23601411606;UA200;11182.5870284;26983;ES1110011.0471;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;11182.5870284
Brión;Poligonal Cova da vella,Poligonal P.E HURACÁN;26944;23592;ES1110011.0490;UA220;0.488807511746;UA200;2450.92430126;27013;ES1110011.0490;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2450.92430126
Brión;Poligonal Cova da vella,Poligonal P.E HURACÁN;27693;23990;ES1110011.0813;UA220;0.953919781998;UA200;3192.77859746;27761;ES1110011.0813;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3192.77859746
Brión;Poligonal Cova da vella,Poligonal P.E HURACÁN;27695;23990;ES1110011.0813;UA220;0.953919781998;UA200;3192.77859746;27763;ES1110011.0813;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3192.77859746
Brión;Poligonal Cova da vella,Poligonal P.E HURACÁN;27722;23991;ES1110011.0839;UA631;23.7028758786;UA600;4257.26220757;27789;ES1110011.0839;1.0;S;4030;4030;;Queirogais secos europeos;4257.26220757
Brión;Poligonal P.E HURACÁN;26761;23981;ES1110011.0389;UA411;47.9781153106;UA400;6410.8109435;26833;ES1110011.0389;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6410.8109435
